Gene	Resolved_Isoform
Csd	XP_026295217.1
CSP1	NP_001071288.1
CSP2	NP_001071278.1
CSP3	NP_001011583.1
CSP4	NP_001071282.1
CSP6	NP_001071287.1
CTL5	NP_001229926.1
CUTA	NP_001229386.1
Cyp314a1	NP_001035347.1
Cyp4g11	NP_001035323.1
CYP6AQ1	NP_001191991.1
Cyp6as5	NP_001035324.1
CytC	NP_001170961.1
Dat	NP_001139210.1
Dcr-1	NP_001116485.2
Def1	NP_001011616.2
Def2	NP_001011638.1
DHRS4	NP_001263356.1
Dl	NP_001164477.1
Dll	NP_001124509.1
Dnmt1a	NP_001164522.1
Dnmt3	NP_001177350.1
Dop1	NP_001011595.1
Dop3	NP_001014983.1
DopR2	NP_001011567.1
Dscam	NP_001014991.1
Dsx	NP_001128408.1
E74	NP_001011631.1
E75	NP_001073579.1
Eaat-2	NP_001011597.1
ecd	NP_001229364.1
Ecr	NP_001091685.2
Ef-1a-f1	NP_001011628.1
EF1a-F2	NP_001014993.1
egh	NP_001229485.1
Eif3h	NP_001229449.1
Eif4g	NP_001177977.2
Emc	NP_001135436.1
EphR	NP_001013024.1
Err	NP_001155988.1
Est-6	NP_001119716.1
Eth	NP_001136079.1
Ets97D-like	NP_001229471.1
eve	NP_001239357.1
Eyg	NP_001107660.1
Fabp	NP_001011636.1
FAR1	NP_001180219.1
Fem	NP_001128300.1
Fibroin1	NP_001129678.1
Fibroin2	NP_001129679.1
Fibroin3	NP_001129680.1
Fibroin4	NP_001129681.1
For	NP_001011581.1
Foxp	NP_001098419.1
Fstl5	NP_001027532.1
Gat-1B	NP_001011643.1
Gat-a	NP_001128406.1
Gb15078	NP_001035293.1
Gfat2	NP_001128421.1
GlnS	NP_001164445.1
Glob1	NP_001071291.1
GluCl	NP_001071277.1
Glurb	NP_001011623.1
Gpdh	NP_001014994.1
Gr10	NP_001229923.1
Grd	NP_001292813.1
Grp	NP_001136109.1
Gstcd	NP_001193395.1
GstD1	NP_001171499.1
GstS1	NP_001153742.1
GstS4	NP_001136128.1
Gtpx1	NP_001171493.1
Gycbeta1	NP_001011632.1
Hbg2	NP_001035349.1
Hbg3	NP_001011608.1
Hb	NP_001239355.1
Hex110	NP_001094493.1
Hex70a	NP_001104234.1
HEX70b	NP_001011600.1
Hex70c	NP_001092187.1
Hiscl1	NP_001071279.1
H	NP_001124510.1
Ho	NP_001011641.1
Hsc70-3	NP_001153524.1
Hsc70-4	NP_001153522.1
Hsc70-5	NP_001153520.1
Hsp90	NP_001153536.1
IF-2mt	NP_001011586.1
ILP-2	NP_001171374.1
Imd	NP_001157189.1
Ing3	NP_001229446.1
InR-2	NP_001233596.1
INTS8	NP_001229315.1
Ip3k	NP_001014992.2
JHBP-1	NP_001011640.1
Jhe	NP_001011563.1
Jtb	NP_001193396.1
KAT2A	NP_001229397.1
Kr-h1	NP_001011566.1
Kr	NP_001239353.1
LCCH3	NP_001071280.1
Lin-52	NP_001158282.1
LOC100187599	NP_001127805.1
LOC100188904	NP_001128141.1
LOC100188940	NP_001128194.1
LOC100217360	NP_001136165.1
LOC100302106	NP_001155260.1
LOC100379261	NP_001166189.1
LOC100576082	XP_016771904.2
LOC100576085	XP_026298573.1
LOC100576088	XP_026302044.1
LOC100576093	XP_006558247.3
LOC100576096	XP_026297964.1
LOC100576097	XP_026301346.1
LOC100576098	XP_026295387.1
LOC100576099	XP_006564549.1
LOC100576100	XP_016767406.1
LOC100576101	XP_016767636.1
LOC100576104	XP_003251352.1
LOC100576106	XP_003251506.2
LOC100576110	XP_016768576.2
LOC100576115	XP_026301415.1
LOC100576116	XP_003250417.1
LOC100576118	XP_006568995.1
LOC100576121	XP_003249151.1
LOC100576125	XP_006562710.2
LOC100576126	XP_026297916.1
LOC100576128	XP_026300973.1
LOC100576129	XP_006565631.1
LOC100576130	XP_026299101.1
LOC100576131	XP_006569625.1
LOC100576132	XP_003251757.2
LOC100576134	XP_006557857.1
LOC100576135	XP_026295988.1
LOC100576136	XP_016771932.2
LOC100576140	XP_003250480.1
LOC100576143	XP_003251662.1
LOC100576146	XP_016768578.1
LOC100576147	XP_006559945.2
LOC100576150	XP_003250331.2
LOC100576151	XP_003250418.1
LOC100576152	XP_003250708.2
LOC100576153	XP_026299403.1
LOC100576155	XP_026296577.1
LOC100576157	XP_026299858.1
LOC100576159	XP_026301425.1
LOC100576162	XP_003250108.1
LOC100576163	XP_003250155.1
LOC100576165	XP_003250517.1
LOC100576167	XP_016769530.1
LOC100576169	XP_003251700.2
LOC100576170	XP_003251865.2
LOC100576172	XP_016768115.2
LOC100576174	XP_003249688.1
LOC100576176	XP_016770410.1
LOC100576179	XP_026297187.1
LOC100576182	XP_003249871.1
LOC100576184	XP_003250709.1
LOC100576185	XP_026299720.1
LOC100576186	XP_006566668.2
LOC100576187	XP_026298571.1
LOC100576192	XP_006561939.1
LOC100576193	XP_006562941.1
LOC100576194	XP_003250310.2
LOC100576195	XP_003250551.1
LOC100576196	XP_006565642.2
LOC100576198	XP_003251162.2
LOC100576212	XP_003249267.2
LOC100576215	XP_003250495.1
LOC100576216	XP_016767897.1
LOC100576217	XP_026299157.1
LOC100576220	XP_003249297.2
LOC100576221	XP_026301142.1
LOC100576222	XP_003250109.1
LOC100576223	XP_026299180.1
LOC100576224	XP_016772150.1
LOC100576225	XP_026299862.1
LOC100576226	XP_006565007.3
LOC100576227	XP_003250613.3
LOC100576231	XP_026302063.1
LOC100576233	XP_026297166.1
LOC100576236	XP_006562979.1
LOC100576242	XP_026295568.1
LOC100576246	XP_003249268.2
LOC100576247	XP_006559289.1
LOC100576248	XP_026300423.1
LOC100576249	XP_016766410.2
LOC100576251	XP_016771752.1
LOC100576253	XP_006568298.3
LOC100576258	XP_003251741.1
LOC100576260	XP_006557735.1
LOC100576261	XP_016769520.2
LOC100576262	XP_006560760.1
LOC100576263	XP_026297483.1
LOC100576265	XP_026300706.1
LOC100576266	XP_003250614.1
LOC100576270	XP_003251902.3
LOC100576271	XP_006561700.2
LOC100576272	XP_003249995.1
LOC100576273	XP_003250259.1
LOC100576274	XP_006564292.2
LOC100576279	XP_003251544.2
LOC100576282	XP_006558389.2
LOC100576284	XP_003250738.3
LOC100576286	XP_026299728.1
LOC100576288	XP_006568171.1
LOC100576289	XP_003249427.1
LOC100576290	XP_006561020.1
LOC100576291	XP_016767975.2
LOC100576293	XP_003250662.1
LOC100576296	XP_003251824.1
LOC100576298	XP_026297645.1
LOC100576300	XP_016769141.2
LOC100576304	XP_026297186.1
LOC100576307	XP_006570560.1
LOC100576320	XP_006561220.1
LOC100576321	XP_026295289.1
LOC100576326	XP_016769185.2
LOC100576330	XP_006563622.1
LOC100576333	XP_003251353.1
LOC100576336	XP_026297357.1
LOC100576337	XP_026296912.1
LOC100576346	XP_006569999.3
LOC100576348	XP_006572020.1
LOC100576349	XP_003251882.2
LOC100576355	XP_003251034.1
LOC100576359	XP_016767931.1
LOC100576361	XP_016767529.2
LOC100576366	XP_003251354.2
LOC100576369	XP_003249075.1
LOC100576370	XP_026299536.1
LOC100576373	XP_016771115.2
LOC100576374	XP_026301029.1
LOC100576378	XP_026296549.1
LOC100576381	XP_016769137.1
LOC100576382	XP_026298355.1
LOC100576383	XP_026296272.1
LOC100576384	XP_026301675.1
LOC100576387	XP_026299068.1
LOC100576392	XP_016770395.1
LOC100576400	XP_003250111.1
LOC100576401	XP_006564751.1
LOC100576402	XP_006565864.2
LOC100576404	XP_006570014.1
LOC100576405	XP_003249244.1
LOC100576410	XP_016772443.2
LOC100576411	XP_003250261.1
LOC100576412	XP_003250992.1
LOC100576413	XP_026296841.1
LOC100576414	NP_001314876.1
LOC100576418	XP_006561108.1
LOC100576421	XP_006566791.1
LOC100576422	XP_006566942.2
LOC100576425	XP_006571760.3
LOC100576428	XP_006558364.1
LOC100576432	XP_003250286.1
LOC100576433	XP_003250740.3
LOC100576434	XP_006569961.1
LOC100576435	XP_006570884.1
LOC100576436	XP_026298451.1
LOC100576438	XP_026299121.1
LOC100576439	XP_026298731.1
LOC100576444	XP_003250085.1
LOC100576446	XP_006570176.2
LOC100576447	NP_001265267.1
LOC100576449	XP_006557966.1
LOC100576453	XP_006569404.2
LOC100576454	XP_006571440.2
LOC100576457	XP_003249153.1
LOC100576458	XP_006558393.2
LOC100576460	XP_003250394.3
LOC100576461	XP_026301018.1
LOC100576462	XP_003250826.2
LOC100576467	XP_003249300.1
LOC100576471	XP_003249875.4
LOC100576472	XP_026299031.1
LOC100576473	XP_016770287.1
LOC100576476	XP_026296203.1
LOC100576482	XP_006565410.2
LOC100576484	XP_003250976.2
LOC100576487	XP_003249154.1
LOC100576488	XP_016770842.2
LOC100576492	XP_016768733.1
LOC100576497	XP_003251223.2
LOC100576498	XP_026295994.1
LOC100576502	XP_026295294.1
LOC100576504	XP_006567504.2
LOC100576505	XP_016773333.1
LOC100576506	XP_026295325.1
LOC100576508	XP_016771214.2
LOC100576512	XP_003249809.1
LOC100576514	XP_016767522.2
LOC100576515	XP_003250349.1
LOC100576519	XP_016770402.1
LOC100576522	XP_026296493.1
LOC100576527	XP_003249317.1
LOC100576528	XP_026297781.1
LOC100576529	XP_003250263.2
LOC100576530	XP_006565703.1
LOC100576531	XP_026299116.1
LOC100576532	XP_006566544.2
LOC100576534	XP_026298613.1
LOC100576540	XP_006559915.2
LOC100576542	XP_003249646.1
LOC100576543	XP_003249830.1
LOC100576544	XP_003249852.1
LOC100576547	XP_003250229.1
LOC100576552	XP_016770522.2
LOC100576554	XP_003249479.3
LOC100576555	XP_003249671.1
LOC100576557	XP_026299382.1
LOC100576559	XP_003251400.1
LOC100576563	XP_006557754.2
LOC100576565	XP_006560498.1
LOC100576568	XP_016768244.1
LOC100576569	XP_003250264.2
LOC100576571	XP_026294856.1
LOC100576572	XP_026299008.1
LOC100576584	XP_026296532.1
LOC100576586	XP_026301974.1
LOC100576590	XP_026301501.1
LOC100576591	XP_026300789.1
LOC100576592	XP_026301323.1
LOC100576597	XP_026296836.1
LOC100576600	XP_006569556.2
LOC100576603	XP_006559838.1
LOC100576606	XP_026297495.1
LOC100576608	XP_003250715.2
LOC100576610	XP_003251071.2
LOC100576612	XP_026301335.1
LOC100576614	XP_026301316.1
LOC100576615	XP_003249647.1
LOC100576617	XP_026300586.1
LOC100576619	XP_003250601.1
LOC100576620	XP_026295328.1
LOC100576621	XP_003251572.1
LOC100576623	XP_006572180.1
LOC100576625	XP_026301145.1
LOC100576637	XP_026297220.1
LOC100576638	XP_026295320.1
LOC100576640	XP_016769448.2
LOC100576645	XP_006564568.1
LOC100576646	XP_026299440.1
LOC100576647	XP_026299546.1
LOC100576649	XP_026302188.1
LOC100576660	XP_003251546.2
LOC100576662	XP_003251744.2
LOC100576666	XP_006565429.2
LOC100576667	XP_006567936.1
LOC100576669	XP_006570983.1
LOC100576671	XP_006558576.2
LOC100576677	XP_026295466.1
LOC100576679	XP_016769680.1
LOC100576683	XP_026296768.1
LOC100576687	XP_026297507.1
LOC100576688	XP_026300914.1
LOC100576690	XP_006562355.1
LOC100576700	XP_006558615.1
LOC100576702	XP_003249924.2
LOC100576703	XP_026297145.1
LOC100576705	XP_026300237.1
LOC100576706	XP_003251298.1
LOC100576708	XP_026298720.1
LOC100576709	XP_026301657.1
LOC100576717	XP_003250928.2
LOC100576718	XP_003251443.1
LOC100576722	XP_016771416.1
LOC100576730	XP_003251489.1
LOC100576733	XP_026295015.1
LOC100576734	XP_026300764.1
LOC100576735	XP_006558776.1
LOC100576736	XP_003249482.1
LOC100576737	XP_003249546.2
LOC100576738	XP_003249603.2
LOC100576740	XP_026301408.1
LOC100576741	XP_026297508.1
LOC100576742	XP_003250860.1
LOC100576744	XP_003250895.2
LOC100576745	XP_003250993.1
LOC100576746	XP_003251243.2
LOC100576747	XP_026302004.1
LOC100576748	XP_006571877.3
LOC100576754	XP_006558271.2
LOC100576758	XP_006564116.2
LOC100576759	XP_006564844.1
LOC100576760	XP_003251427.1
LOC100576761	XP_006570533.1
LOC100576765	XP_026295876.1
LOC100576767	XP_003249650.2
LOC100576768	XP_003249693.1
LOC100576770	XP_006565363.2
LOC100576773	XP_016770623.2
LOC100576774	XP_016770872.1
LOC100576775	XP_006571844.1
LOC100576779	XP_026301689.1
LOC100576781	XP_006560175.1
LOC100576783	XP_006565964.1
LOC100576784	XP_003251225.1
LOC100576789	XP_003249351.3
LOC100576794	XP_003251125.1
LOC100576795	XP_003251210.1
LOC100576796	XP_003251276.1
LOC100576797	XP_026296169.1
LOC100576799	XP_026301456.1
LOC100576801	XP_006558968.1
LOC100576803	XP_026300819.1
LOC100576805	XP_003250539.1
LOC100576812	XP_003249221.1
LOC100576814	XP_026300866.1
LOC100576816	XP_016773535.1
LOC100576817	XP_016767771.1
LOC100576818	XP_026302224.1
LOC100576819	XP_026300395.1
LOC100576820	XP_026301834.1
LOC100576826	XP_006567941.1
LOC100576828	XP_006572034.2
LOC100576829	XP_006572185.1
LOC100576831	XP_016769263.1
LOC100576836	XP_026296905.1
LOC100576838	XP_006570995.1
LOC100576839	XP_003249278.2
LOC100576840	XP_006559331.1
LOC100576843	XP_003250399.1
LOC100576847	XP_006568940.1
LOC100576848	XP_026296419.1
LOC100576850	XP_006557405.1
LOC100576851	XP_026300353.1
LOC100576855	XP_026301363.1
LOC100576859	XP_006567940.1
LOC100576862	XP_026294736.1
LOC100576863	XP_003249525.1
LOC100576864	XP_006559976.1
LOC100576866	XP_003249694.1
LOC100576871	XP_026299913.1
LOC100576872	XP_003251445.2
LOC100576876	XP_006561668.2
LOC100576878	XP_006562667.1
LOC100576879	XP_026300456.1
LOC100576881	XP_026294957.1
LOC100576882	XP_006566136.2
LOC100576885	XP_026298618.1
LOC100576886	XP_006572354.1
LOC100576891	XP_003250269.4
LOC100576894	XP_026295819.1
LOC100576895	XP_026297083.1
LOC100576896	XP_006572186.2
LOC100576898	XP_026295859.1
LOC100576901	XP_026295426.1
LOC100576902	XP_026298617.1
LOC100576903	XP_003250043.1
LOC100576908	XP_003251511.1
LOC100576912	XP_003250132.2
LOC100576914	XP_006565958.1
LOC100576915	XP_016769823.2
LOC100576916	XP_006568328.1
LOC100576918	XP_016771938.1
LOC100576919	XP_003251907.2
LOC100576924	XP_006560482.1
LOC100576930	XP_003251848.1
LOC100576932	XP_003249224.3
LOC100576934	XP_026300920.1
LOC100576935	XP_003249929.1
LOC100576936	XP_003251245.2
LOC100576938	XP_026301896.1
LOC100576940	XP_026300229.1
LOC100576944	XP_003250750.1
LOC100576945	XP_003250831.1
LOC100576947	XP_006566798.2
LOC100576948	XP_026297445.1
LOC100576949	XP_006568972.2
LOC100576951	XP_003251908.1
LOC100576953	XP_026295422.1
LOC100576956	XP_006562314.1
LOC100576957	XP_016769709.1
LOC100576958	XP_016772312.2
LOC100576960	XP_003250450.1
LOC100576961	XP_026296301.1
LOC100576963	XP_003250810.2
LOC100576964	XP_003250996.1
LOC100576965	XP_016767618.1
LOC100576966	XP_003251531.2
LOC100576967	XP_006572119.2
LOC100576968	XP_003249526.1
LOC100576972	XP_026298081.1
LOC100576974	XP_003251227.1
LOC100576975	XP_003251246.1
LOC100576976	XP_006571002.1
LOC100576982	XP_003250133.2
LOC100576983	XP_006563068.1
LOC100576984	XP_003250751.1
LOC100576985	XP_006566801.1
LOC100576986	XP_003251314.2
LOC100576989	XP_016770369.1
LOC100576990	XP_026295303.1
LOC100576992	XP_026300227.1
LOC100576993	XP_006557404.1
LOC100576994	XP_026300548.1
LOC100576996	XP_016771820.2
LOC100577000	XP_003250023.2
LOC100577002	XP_006565014.2
LOC100577003	XP_003250617.1
LOC100577004	XP_006566225.2
LOC100577014	XP_026299634.1
LOC100577015	XP_026296420.1
LOC100577017	XP_026298943.1
LOC100577018	XP_026297555.1
LOC100577019	XP_026302000.1
LOC100577020	XP_003251670.2
LOC100577024	XP_003249281.2
LOC100577026	XP_016768754.2
LOC100577027	XP_003249834.2
LOC100577028	XP_026297928.1
LOC100577030	XP_026300934.1
LOC100577033	XP_003251429.1
LOC100577039	XP_026296943.1
LOC100577041	XP_006566554.2
LOC100577043	XP_006571499.1
LOC100577044	XP_026295418.1
LOC100577045	XP_006558592.1
LOC100577046	XP_026301690.1
LOC100577047	XP_016766585.2
LOC100577050	XP_026300995.1
LOC100577053	XP_026298096.1
LOC100577054	XP_026296014.1
LOC100577057	XP_026297190.1
LOC100577060	XP_003249119.1
LOC100577064	XP_026298463.1
LOC100577065	XP_016771718.2
LOC100577068	XP_016773539.1
LOC100577069	XP_026299131.1
LOC100577071	XP_026298206.1
LOC100577073	XP_006570344.1
LOC100577080	XP_003249877.1
LOC100577081	XP_003250270.2
LOC100577082	XP_026301804.1
LOC100577091	XP_026300389.1
LOC100577092	XP_006565118.2
LOC100577094	XP_026296677.1
LOC100577098	XP_003249566.1
LOC100577101	XP_003250754.2
LOC100577102	XP_006566152.2
LOC100577106	XP_003251315.1
LOC100577107	XP_003251470.2
LOC100577110	XP_003249878.1
LOC100577112	XP_003250271.1
LOC100577113	XP_026301808.1
LOC100577118	XP_026297873.1
LOC100577120	XP_003249302.2
LOC100577121	XP_006560271.1
LOC100577122	XP_003249792.1
LOC100577127	XP_006569243.1
LOC100577128	XP_003251403.2
LOC100577132	XP_003249567.2
LOC100577135	XP_003250135.2
LOC100577136	XP_006565026.1
LOC100577138	XP_006566236.2
LOC100577139	XP_016773563.2
LOC100577140	XP_006569652.1
LOC100577142	XP_026302035.1
LOC100577143	XP_003251890.1
LOC100577145	XP_003249139.1
LOC100577146	XP_026300474.1
LOC100577147	XP_026295318.1
LOC100577149	XP_003249630.1
LOC100577150	XP_003249879.2
LOC100577151	XP_003249931.1
LOC100577155	XP_003250542.1
LOC100577156	XP_003250667.2
LOC100577159	XP_026297567.1
LOC100577161	XP_003251870.2
LOC100577163	XP_016772428.2
LOC100577165	XP_016769724.2
LOC100577168	XP_006570741.1
LOC100577174	XP_016766736.1
LOC100577178	XP_026295386.1
LOC100577180	XP_006565809.1
LOC100577188	XP_026299134.1
LOC100577192	XP_003250467.2
LOC100577194	XP_026301011.1
LOC100577196	XP_006567442.2
LOC100577197	XP_026300198.1
LOC100577198	XP_026299274.1
LOC100577202	XP_016770987.1
LOC100577209	XP_006563667.1
LOC100577213	XP_003251580.2
LOC100577214	XP_003251601.2
LOC100577220	XP_003249454.1
LOC100577221	XP_003249568.2
LOC100577222	XP_006560380.1
LOC100577224	XP_026295434.1
LOC100577226	XP_016773534.1
LOC100577228	XP_026295420.1
LOC100577229	XP_003249529.1
LOC100577231	XP_026296582.1
LOC100577235	XP_026297713.1
LOC100577237	XP_003251129.1
LOC100577239	NP_001314877.1
LOC100577242	XP_026295591.1
LOC100577250	XP_026299575.1
LOC100577252	XP_016769495.1
LOC100577253	XP_006564069.2
LOC100577254	XP_026301885.1
LOC100577255	XP_026294826.1
LOC100577263	XP_026300766.1
LOC100577268	XP_006563808.2
LOC100577269	XP_016769171.1
LOC100577272	XP_006569341.2
LOC100577273	NP_001314878.1
LOC100577279	XP_026300921.1
LOC100577280	XP_026298307.1
LOC100577283	XP_003251247.2
LOC100577285	XP_006569198.1
LOC100577288	XP_003249880.3
LOC100577293	XP_003250933.1
LOC100577295	XP_003251098.2
LOC100577296	XP_003251418.2
LOC100577300	XP_003249198.1
LOC100577302	XP_026298327.1
LOC100577308	XP_006566106.1
LOC100577320	XP_003250293.1
LOC100577322	XP_006568109.1
LOC100577324	XP_003251447.1
LOC100577325	XP_003249360.1
LOC100577327	XP_016767007.1
LOC100577331	XP_003250137.2
LOC100577332	XP_026298101.1
LOC100577334	XP_026294903.1
LOC100577335	XP_006567859.1
LOC100577341	XP_003249755.1
LOC100577342	XP_006561985.2
LOC100577343	XP_006564512.1
LOC100577344	XP_003250883.1
LOC100577346	XP_003251651.1
LOC100577347	XP_026301702.1
LOC100577348	XP_026300648.1
LOC100577351	XP_006564732.1
LOC100577358	XP_026298459.1
LOC100577359	XP_003250047.3
LOC100577362	XP_003250694.2
LOC100577363	XP_026298240.1
LOC100577364	XP_016770218.1
LOC100577365	XP_006571146.2
LOC100577367	XP_016771378.2
LOC100577369	XP_003249984.2
LOC100577376	NP_001306197.1
LOC100577377	XP_026294728.1
LOC100577378	XP_006557527.1
LOC100577381	XP_003250048.2
LOC100577382	XP_003250338.1
LOC100577385	XP_026297671.1
LOC100577386	XP_006565420.1
LOC100577387	XP_003250695.1
LOC100577393	XP_026297218.1
LOC100577394	XP_006563555.1
LOC100577396	XP_026296693.1
LOC100577397	XP_006569362.2
LOC100577401	XP_026299095.1
LOC100577408	XP_026298283.1
LOC100577409	XP_006561855.2
LOC100577410	XP_016767801.2
LOC100577418	XP_003249249.1
LOC100577423	XP_016769989.1
LOC100577425	XP_026300779.1
LOC100577430	XP_026300877.1
LOC100577436	XP_026295465.1
LOC100577440	XP_026298585.1
LOC100577441	XP_003250005.2
LOC100577449	XP_026299432.1
LOC100577450	XP_006571647.1
LOC100577451	XP_003249179.2
LOC100577452	XP_003249531.1
LOC100577453	XP_026297478.1
LOC100577454	XP_003249985.1
LOC100577455	XP_006563366.1
LOC100577456	XP_026299688.1
LOC100577464	XP_016772176.1
LOC100577466	XP_006562906.1
LOC100577472	XP_006572054.1
LOC100577481	XP_006565364.1
LOC100577488	XP_006559528.1
LOC100577489	XP_003249634.1
LOC100577491	XP_003250092.1
LOC100577492	XP_006562750.2
LOC100577493	XP_016770071.2
LOC100577496	XP_026294745.1
LOC100577497	XP_006569369.2
LOC100577498	XP_003251389.3
LOC100577499	XP_003251494.2
LOC100577501	XP_003251725.1
LOC100577504	XP_006557476.2
LOC100577506	XP_003249657.1
LOC100577507	XP_003249756.3
LOC100577510	XP_003250581.2
LOC100577513	XP_003251343.2
LOC100577515	XP_016771436.2
LOC100577516	XP_006563218.1
LOC100577517	XP_026297095.1
LOC100577519	XP_026297817.1
LOC100577520	XP_003251533.1
LOC100577521	XP_026296525.1
LOC100577522	XP_026295914.1
LOC100577525	XP_006560546.1
LOC100577527	XP_003250139.1
LOC100577530	XP_006568247.2
LOC100577533	XP_026300657.1
LOC100577537	XP_006557479.1
LOC100577541	XP_016768476.1
LOC100577543	XP_003249677.2
LOC100577544	XP_016772177.1
LOC100577546	XP_003250507.1
LOC100577548	XP_006567221.1
LOC100577551	XP_003250296.1
LOC100577552	XP_026296921.1
LOC100577553	XP_003251001.1
LOC100577561	XP_003249908.1
LOC100577562	XP_006562676.2
LOC100577569	XP_026300536.1
LOC100577573	XP_006566247.1
LOC100577574	XP_016766732.1
LOC100577575	XP_026298265.1
LOC100577576	XP_003251344.1
LOC100577577	XP_003251791.2
LOC100577578	XP_006571913.1
LOC100577579	XP_003251833.2
LOC100577580	XP_003251943.1
LOC100577582	XP_003249512.1
LOC100577584	XP_026296751.1
LOC100577585	XP_003250233.1
LOC100577587	XP_026298137.1
LOC100577590	XP_003250765.1
LOC100577594	XP_006572369.1
LOC100577596	XP_003249400.1
LOC100577598	XP_016766411.2
LOC100577600	XP_026298372.1
LOC100577602	XP_026299147.1
LOC100577603	XP_026299236.1
LOC100577605	XP_026295048.1
LOC100577606	XP_003251299.1
LOC100577607	XP_026298954.1
LOC100577610	XP_006557805.2
LOC100577614	XP_026295857.1
LOC100577620	XP_006569319.1
LOC100577623	XP_026299766.1
LOC100577629	XP_003249612.2
LOC100577632	XP_003250697.2
LOC100577634	XP_026294956.1
LOC100577635	XP_003251317.2
LOC100577636	XP_003251584.1
LOC100577638	XP_003249304.2
LOC100577640	XP_026301116.1
LOC100577641	XP_003249659.1
LOC100577644	XP_026299605.1
LOC100577648	XP_026297106.1
LOC100577649	XP_026299610.1
LOC100577651	XP_016770518.1
LOC100577655	XP_006562840.1
LOC100577656	XP_026301422.1
LOC100577661	XP_003251281.1
LOC100577667	XP_016769463.1
LOC100577669	XP_006565401.1
LOC100577670	XP_006565903.1
LOC100577671	XP_003250767.2
LOC100577672	XP_006566114.1
LOC100577673	XP_006567053.2
LOC100577675	XP_006569265.3
LOC100577676	XP_026298045.1
LOC100577678	XP_003249200.2
LOC100577679	XP_026301427.1
LOC100577680	XP_003249362.1
LOC100577681	XP_026295460.1
LOC100577682	XP_003249660.1
LOC100577683	XP_016767867.1
LOC100577687	XP_006566600.1
LOC100577689	XP_003251728.1
LOC100577690	XP_006572135.2
LOC100577692	XP_026297287.1
LOC100577693	XP_006557488.1
LOC100577694	XP_016771928.1
LOC100577696	XP_003249678.1
LOC100577697	XP_016772437.2
LOC100577698	XP_003250093.1
LOC100577699	XP_003250452.1
LOC100577702	XP_003251076.1
LOC100577707	XP_003249455.1
LOC100577711	XP_026298376.1
LOC100577712	XP_006564146.2
LOC100577715	XP_016773523.1
LOC100577717	XP_003251106.1
LOC100577719	XP_006569119.1
LOC100577722	XP_026298359.1
LOC100577724	XP_006561531.1
LOC100577725	XP_003250141.2
LOC100577727	XP_006564676.1
LOC100577735	XP_026299564.1
LOC100577739	XP_026300732.1
LOC100577742	XP_003251266.1
LOC100577743	XP_026295504.1
LOC100577746	XP_026298373.1
LOC100577748	XP_006566250.1
LOC100577749	XP_026294930.1
LOC100577751	XP_026294969.1
LOC100577752	XP_016772904.2
LOC100577753	XP_026301982.1
LOC100577754	XP_006557653.2
LOC100577755	XP_003249229.1
LOC100577756	XP_006559590.1
LOC100577758	XP_016770008.1
LOC100577759	XP_026299004.1
LOC100577763	XP_026297432.1
LOC100577764	XP_026296924.1
