#CREATED MARCH 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#TABLE OF GENES, CORRESPONDING TRANSRIPTS (VARIANT-RESOLVED) AND PRODUCT DESCRIPTION FROM APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2)
GeneID	TranscriptID	Gene_Desc
sGCbeta-3	NM_001012627.1	 soluble guanylyl cyclase beta-3 
NOS	NM_001012962.1	 nitric oxide synthase 
Crz	NM_001012963.1	 corazonin 
EphR	NM_001013006.1	 Eph receptor tyrosine kinase 
Acph-1	NM_001013359.2	 venom acid phosphatase 
18-w	NM_001013361.1	 18-wheeler 
Mrjp7	NM_001014429.1	 major royal jelly protein 7 
TpnCI	NM_001014430.1	 troponin C type I 
Dop3	NM_001014983.1	 D2-like dopamine receptor 
Dscam	NM_001014991.1	 Down syndrome cell adhesion molecule 
Ip3k	NM_001014992.2	 inositol 1,4,5-triphosphate kinase 
EF1a-F2	NM_001014993.1	 elongation factor 1-alpha F2 
Gpdh	NM_001014994.1	 glycerol-3-phosphate dehydrogenase 
Mrjp9	NM_001024697.1	 major royal jelly protein 9 
Fstl5	NM_001032361.1	 follistatin-like 5 
LOC410755	NM_001037318.2	 tyramine receptor-like 
LOC408985	NM_001039968.1	 pteropsin 
Gb15078	NM_001040203.1	 GB15078 protein 
Obp10	NM_001040204.1	 odorant binding protein 10 
Obp16	NM_001040205.1	 odorant binding protein 16 
Obp21	NM_001040206.1	 odorant binding protein 21 
Obp17	NM_001040207.1	 odorant binding protein 17 
Obp15	NM_001040208.1	 odorant binding protein 15 
Obp19	NM_001040209.1	 odorant binding protein 19 
Obp7	NM_001040220.1	 odorant binding protein 7 
Obp3	NM_001040221.1	 odorant binding protein 3 
Obp14	NM_001040223.1	 odorant binding protein 14 
Obp13	NM_001040224.1	 odorant binding protein 13 
Obp9	NM_001040225.1	 odorant binding protein 9 
Obp11	NM_001040226.1	 odorant binding protein 11 
Obp18	NM_001040227.1	 odorant binding protein 18 
Obp12	NM_001040229.1	 odorant binding protein 12 
AChE-2	NM_001040230.1	 acetylcholinesterase 2 
nanos	NM_001040231.1	 protein nanos 
Cyp4g11	NM_001040233.1	 cytochrome P450 4G11 
Cyp6as5	NM_001040234.1	 cytochrome P450 6AS5 
Abscam	NM_001040235.2	 Dscam family member AbsCAM 
AGLU2	NM_001040236.1	 alpha glucosidase 2 
NFRKB	NM_001040237.1	 nuclear factor related to kappaB binding protein 
vas	NM_001040255.1	 ATP-dependent RNA helicase vasa 
TpnI	NM_001040256.1	 troponin I 
Cyp314a1	NM_001040257.1	 cytochrome P450 314A1 
TpnT	NM_001040258.1	 troponin T, skeletal muscle 
Hbg2	NM_001040259.1	 alpha-glucosidase 
Pburs	NM_001040262.2	 bursicon subunit beta 
Cbs	NM_001040263.1	 cystathionine beta-synthase 
Akhr	NM_001040264.1	 adipokinetic hormone receptor 
LOC551604	NM_001040265.1	 Rh-like protein 
Br-c	NM_001040266.2	 broad-complex 
uzip	NM_001040267.1	 unzipped 
Qbp-1	NM_001040269.1	 Queen brain-selective protein-1 
LOC678674	NM_001040270.1	 venom allergen Api m 6 
Su(var)3-9	NM_001040277.1	 suppressor of variegation 3-9 
Tert	NM_001040681.1	 telomerase reverse transcriptase 
Mad	NM_001042458.1	 MAX dimerization protein 
Metrn	NM_001042460.1	 meteorin 
Ac3	NM_001077808.1	 adenylate cyclase 3 
GluCl	NM_001077809.1	 glutamate-gated chloride channel 
CSP2	NM_001077810.1	 chemosensory protein 2 
Hiscl1	NM_001077811.1	 histamine-gated chloride channel 1 
LCCH3	NM_001077812.1	 ligand-gated chloride channel homolog 3 
Ripk5	NM_001077813.1	 receptor interacting protein kinase 5 
CSP4	NM_001077814.1	 chemosensory protein 4 
LOC552640	NM_001077815.1	 ammonium transporter 1-like 
pHCl	NM_001077816.1	 ligand-gated ion channel pHCl 
Stg-1	NM_001077817.1	 stargazin related protein STG-1 
SsRbeta	NM_001077818.1	 signal sequence receptor beta 
CSP6	NM_001077819.1	 chemosensory protein 6 
CSP1	NM_001077820.1	 chemosensory protein 1 
5-ht7	NM_001077821.1	 serotonin receptor 7 
Amel_8916	NM_001077822.1	 cys-loop ligand-gated ion channel subunit 8916 
Glob1	NM_001077823.2	 globin 1 
Tbh	NM_001077824.1	 tyramine beta hydroxylase 
Lop2	NM_001077825.1	 long wavelength sensitive opsin 2 
LOC751767	NM_001078661.1	 chemosensory protein 5 
nAChRb1	NM_001079560.1	 nicotinic acetylcholine receptor beta1 subunit 
nAChRa3	NM_001079561.1	 nicotinic acetylcholine receptor alpha3 subunit 
LOC411672	NM_001080094.2	 neuropeptides capa receptor-like protein 
nAChRa6	NM_001080095.1	 nicotinic acetylcholine receptor alpha6 subunit 
E75	NM_001080110.1	 ecdysone-induced protein 75 
Stip	NM_001080205.1	 Sip1/TFIP11 interacting protein 
Cry2	NM_001083630.1	 cryptochrome 2 
Apd-3	NM_001085344.1	 apidermin 3 
Apd-1	NM_001085345.1	 apidermin 1 
Apd-2	NM_001085346.1	 apidermin 2 
Tpi	NM_001097154.2	 triosephosphate isomerase 
PRF	NM_001098167.1	 profilin 
Adar	NM_001098214.1	 adenosine deaminase acting on RNA 
Ecr	NM_001098215.2	 ecdysone receptor 
Y-h	NM_001098217.1	 yellow-h 
LOC726755	NM_001098218.1	 pyrokinin-like receptor 2 
LOC551621	NM_001098219.1	 leucine rich repeat G protein coupled receptor 
nAChRa1	NM_001098220.1	 nicotinic acetylcholine receptor alpha1 subunit 
nAChRa4	NM_001098221.1	 nicotinic acetylcholine receptor alpha4 subunit 
Y-y	NM_001098223.1	 yellow-y 
nAChRa9	NM_001098224.2	 nicotinic acetylcholine receptor alpha9 subunit 
Y-e3	NM_001098228.1	 yellow-e3 
nAChRb2	NM_001098229.1	 nicotinic acetylcholine receptor beta2 subunit 
LOC726393	NM_001098232.1	 capa receptor-like GPCR 
Burs	NM_001098234.1	 bursicon subunit alpha 
Hex70c	NM_001098717.1	 hexamerin 70c 
Hex110	NM_001101023.1	 hexamerin 110 
Foxp	NM_001104949.1	 FoxP protein 
Pban	NM_001110712.2	 pheromone biosynthesis-activating neuropeptide 
Hex70a	NM_001110764.1	 hexamerin 70a 
Dsx	NM_001111255.1	 doublesex 
LOC724886	NM_001112670.1	 uncharacterized LOC724886 
LOC410795	NM_001112671.1	 trehalase 
LOC551408	NM_001112672.2	 uncharacterized LOC551408 
SIFR	NM_001113285.1	 SIFamide receptor 
Tret1	NM_001113739.1	 trehalose transporter 1 
Eyg	NM_001114188.1	 eyegone 
A4	NM_001114198.1	 apolipophorin-III-like protein 
Msx	NM_001115078.1	 homeobox protein Msx 
Dcr-1	NM_001123013.2	 endoribonuclease Dicer-1 
LOC410337	NM_001126243.2	 venom dipeptidylpeptidase IV 
Est-6	NM_001126244.1	 venom carboxylesterase-6 
Dll	NM_001131037.1	 distal-less 
H	NM_001131038.1	 hairless 
LOC408474	NM_001134227.1	 apyrase 
LOC100187599	NM_001134333.1	 uncharacterized LOC100187599 
Nrk1	NM_001134371.1	 nicotinamide riboside kinase 
LOC409389	NM_001134668.1	 ubiquitin specific protease-like 
LOC100188904	NM_001134669.1	 uncharacterized LOC100188904 
LOC100188940	NM_001134722.1	 dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4 
Fem	NM_001134828.1	 feminizer 
Gat-a	NM_001134934.1	 GABA neurotransmitter transporter-1A 
Dsx	NM_001134935.1	 doublesex 
Dsx	NM_001134936.1	 doublesex 
Pcl	NM_001134940.1	 polycomblike 
Rnft2	NM_001134942.1	 ring finger protein, transmembrane 2 
Or2	NM_001134943.1	 odorant receptor 2 
LOC406105	NM_001134947.1	 esterase A2 
Pkc	NM_001134948.1	 protein kinase C 
Gfat2	NM_001134949.1	 glucosamine-fructose-6-phosphate aminotransferase 2 
Camkii	NM_001134950.1	 calcium/calmodulin-dependent protein kinase II 
Cryl1	NM_001135735.1	 lambda crystallin-like protein 
Rpl39	NM_001135905.1	 ribosomal protein L39 
Rpl41	NM_001135909.1	 ribosomal protein L41 
LOC725609	NM_001136187.1	 heat shock factor binding protein 1-like 
Fibroin1	NM_001136206.1	 silk fibroin 1 
Fibroin2	NM_001136207.1	 silk fibroin 2 
Fibroin3	NM_001136208.1	 silk fibroin 3 
Fibroin4	NM_001136209.1	 silk fibroin 4 
Emc	NM_001141964.1	 extra macrochaetae 
LOC552484	NM_001142436.1	 uncharacterized LOC552484 
Tmem98	NM_001142461.1	 transmembrane protein 98 
Syt20	NM_001142561.1	 synaptotagmin 20 
Eth	NM_001142607.1	 ecdysis triggering hormone 
LOC726134	NM_001142609.1	 carboxylesterase 
Grp	NM_001142637.1	 glycine-rich cuticle protein 
GstS4	NM_001142656.2	 glutathione S-transferase S4 
LOC100217360	NM_001142693.1	 uncharacterized LOC100217360 
pHCl	NM_001143878.1	 ligand-gated ion channel pHCl 
pHCl	NM_001143879.1	 ligand-gated ion channel pHCl 
pHCl	NM_001143880.1	 ligand-gated ion channel pHCl 
Crzr	NM_001143921.1	 corazonin receptor 
C1q-VP	NM_001144839.2	 C1q-like venom protein 
Syt1	NM_001145735.2	 synaptotagmin 1 
NLG-3	NM_001145736.1	 neuroligin 3 
NLG-4	NM_001145737.1	 neuroligin 4 
Dat	NM_001145738.1	 dopamine transporter 
NLG-5	NM_001145739.1	 neuroligin 5 
Nrx-1	NM_001145740.1	 neurexin 1 
LOC410451	NM_001159303.1	 venom serine carboxypeptidase 
Ecr	NM_001159355.1	 ecdysone receptor 
Hsc70-5	NM_001160048.1	 heat shock protein cognate 5 
Hsc70-4	NM_001160050.1	 heat shock protein cognate 4 
Hsc70-3	NM_001160052.1	 heat shock 70 kDa protein cognate 3 
Hsp90	NM_001160064.1	 heat shock protein 90 
LOC410620	NM_001160072.1	 heat shock protein Hsp70Ab-like 
GstS1	NM_001160270.1	 glutathione S-transferase S1 
Calpb	NM_001160405.2	 calpain-B 
Smb	NM_001161709.2	 small ribonucleoprotein particle protein B 
LOC100302106	NM_001161787.1	 uncharacterized LOC100302106 
LOC100302106	NM_001161788.1	 uncharacterized LOC100302106 
Ndufs5	NM_001161831.1	 NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) 
Tom7	NM_001162398.1	 translocase of outer membrane 7 
Pten	NM_001162513.1	 phosphatase and tensin-like 
Err	NM_001162516.1	 estrogen-related receptor 
Ndufb2	NM_001163463.1	 NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa 
cact1	NM_001163712.1	 NF-kappa-B inhibitor cactus 1 
B-gluc1	NM_001163714.1	 beta-1,3-glucan recognition protein 1 
PGRP-S3	NM_001163715.1	 peptidoglycan recognition protein S3 
Pgrp-s2	NM_001163716.1	 peptidoglycan recognition protein S2 
Imd	NM_001163717.1	 immune deficiency 
LOC551571	NM_001164008.1	 pyrokinin-like receptor 1 
Pet117	NM_001164809.1	 cytochrome c oxidase assembly factor-like 
Lin-52	NM_001164810.1	 lin-52 protein 
Cac	NM_001165904.1	 cacophony 
Para	NM_001165905.1	 sodium channel protein paralytic 
aub	NM_001165906.1	 aubergine 
Apime-ASTA	NM_001167709.1	 allatostatin A 
NPF	NM_001167720.1	 neuropeptide F 
LOC409314	NM_001167836.1	 prohormone-2 
CPR19	NM_001167893.1	 cuticular protein 19 
Snf	NM_001168336.1	 U1 small nuclear ribonucleoprotein A 
Cdk5	NM_001168425.1	 cyclin-dependent kinase 5 
Ubx	NM_001168700.1	 ultrabithorax 
Adk1	NM_001170972.1	 adenylate kinase 1 
Tpx-4	NM_001170973.1	 thioredoxin peroxidase 4 
GlnS	NM_001170974.1	 glutamine synthetase 
Dl	NM_001171006.1	 dorsal 
Dnmt1a	NM_001171051.1	 DNA methyltransferase 1a 
5-HT1	NM_001171108.1	 serotonin receptor 
Su(var)3-9	NM_001171169.1	 suppressor of variegation 3-9 
Cpap3-b	NM_001172378.1	 cuticular protein analogous to peritrophins 3-B 
Cpap3-d	NM_001172379.1	 cuticular protein analogous to peritrophins 3-D 
Cpap3-c	NM_001172389.1	 cuticular protein analogous to peritrophins 3-C 
Cox6b1	NM_001172403.1	 cytochrome c oxidase subunit VIb polypeptide 1 
Ndufs1	NM_001172404.1	 NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase) 
Cox6c	NM_001172405.1	 cytochrome c oxidase subunit VIc 
LOC725372	NM_001172406.1	 uncharacterized LOC725372 
LOC100379261	NM_001172718.1	 uncharacterized LOC100379261 
LOC726031	NM_001174139.1	 uncharacterized LOC726031 
LOC409002	NM_001174140.1	 cuticular protein 
LOC724464	NM_001174141.1	 cuticular protein 
LOC725089	NM_001174142.1	 cuticular protein 
RpL35	NM_001174143.1	 ribosomal protein L35 
LOC727145	NM_001174144.1	 apidermin-like 
apd-3	NM_001174145.1	 apidermin 3 
CytC	NM_001177490.1	 mitochondrial cytochrome C 
ILP-2	NM_001177903.1	 insulin-like peptide 2 
Gtpx1	NM_001178021.1	 glutathione peroxidase-like 1 
Gtpx1	NM_001178022.1	 glutathione peroxidase-like 1 
Tpx-3	NM_001178023.1	 thioredoxin peroxidase 3 
Tpx-3	NM_001178024.1	 thioredoxin peroxidase 3 
Trxr-1	NM_001178025.1	 thioredoxin reductase 1 
Trxr-1	NM_001178026.1	 thioredoxin reductase 1 
Sod1	NM_001178027.1	 superoxide dismutase 1 
GstD1	NM_001178028.1	 glutathione S-transferase D1 
MsrA	NM_001178047.1	 methionine sulphoxide reductase A 
Sod2	NM_001178048.1	 superoxide dismutase 2, mitochondrial 
Coq7	NM_001178067.1	 ubiquinone biosynthesis protein COQ7 
Cat	NM_001178069.1	 catalase 
LOC551163	NM_001185079.1	 LMBR1 domain-containing protein 2 homolog 
BBIP1	NM_001185086.1	 BBSome-interacting protein 1-like 
arm	NM_001185105.1	 armadillo segment polarity protein 
RpLP1	NM_001185144.1	 ribosomal protein LP1 
Arp1	NM_001185145.1	 actin related protein 1 
Arp1	NM_001185146.1	 actin related protein 1 
Dnmt3	NM_001190421.1	 DNA methyltransferase 3 
Uqcr11	NM_001190814.1	 ubiquinol-cytochrome c reductase, complex III subunit XI 
LOC411983	NM_001190920.1	 putative fatty acyl-CoA reductase 
LOC412986	NM_001190921.1	 putative fatty acyl-CoA reductase 
Eif4g	NM_001191048.2	 eukaryotic translation initiation factor 4 gamma 
FAR1	NM_001193290.1	 fatty acyl-CoA reductase 1 
5-HT2alpha	NM_001202460.1	 serotonin receptor 
5-HT2beta	NM_001204249.1	 serotonin receptor 
Nedd9	NM_001204751.1	 neural precursor cell expressed, developmentally down-regulated gene 9 
CYP6AQ1	NM_001205062.1	 cytochrome P450 6AQ1 
RCC1	NM_001205223.1	 regulator of chromosome condensation 1 
Gstcd	NM_001206466.1	 glutathione S-transferase, C-terminal domain containing 
Jtb	NM_001206467.1	 jumping translocation breakpoint protein 
LOC100578482	NM_001206969.1	 zinc finger protein 629-like 
PIH1D1	NM_001206970.1	 PIH1 domain containing 1 
ACSF2	NM_001206973.1	 acyl-CoA synthetase family member 2 
Tpcn1	NM_001214904.1	 two pore segment channel 1 
Prpf3	NM_001220486.1	 PRP3 pre-mRNA processing factor 3 homolog 
LOC724541	NM_001220487.1	 peroxidase 
INTS8	NM_001242386.1	 integrator complex subunit 8 
LOC409697	NM_001242387.1	 filamin-like 
LOC552665	NM_001242431.1	 quinone oxidoreductase-like protein 2-like 
Tg	NM_001242432.1	 transglutaminase 
LOC408324	NM_001242433.1	 T-cell immunomodulatory protein 
LOC727144	NM_001242434.1	 tether containing UBX domain for GLUT4 
ecd	NM_001242435.1	 ecdysoneless 
STT3B	NM_001242436.1	 STT3, subunit of the oligosaccharyltransferase complex, homolog B 
STT3B	NM_001242437.1	 STT3, subunit of the oligosaccharyltransferase complex, homolog B 
WRNexo	NM_001242440.1	 WRN exonuclease 
LOC726239	NM_001242441.1	 putative lipoyltransferase 2, mitochondrial 
UHRF1	NM_001242456.1	 ubiquitin-like with PHD and ring finger domains 1 
CUTA	NM_001242457.1	 cutA divalent cation tolerance homolog 
MARCH6	NM_001242458.1	 membrane-associated ring finger (C3HC4) 6 
LOC409699	NM_001242465.1	 26S proteasome non-ATPase regulatory subunit 1-like 
Chmp1	NM_001242467.1	 chromatin modifying protein 1 
KAT2A	NM_001242468.1	 K(lysine) acetyltransferase 2A 
Rps14	NM_001242469.1	 ribosomal protein S14 
Kr-h1	NM_001242470.1	 kruppel homolog 1 
PDHB	NM_001242513.1	 pyruvate dehydrogenase (lipoamide) beta 
Cdc37	NM_001242514.1	 cell division cycle 37 homolog 
Brd7	NM_001242515.1	 bromodomain containing 7 
Brd7	NM_001242516.1	 bromodomain containing 7 
Ing3	NM_001242517.1	 inhibitor of growth family, member 3 
LOC100578262	NM_001242518.1	 uncharacterized LOC100578262 
Ube2g1	NM_001242519.1	 ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast) 
Eif3h	NM_001242520.1	 eukaryotic translation initiation factor 3, subunit H 
Rpn1	NM_001242522.1	 ribophorin I 
LOC726770	NM_001242523.1	 caskin-1-like 
LOC725187	NM_001242526.1	 putative fatty acyl-CoA reductase CG8306-like 
Vamp7	NM_001242527.1	 vesicle-associated membrane protein 7 
Ets97D-like	NM_001242542.1	 Ets at 97D ortholog 
Ppib	NM_001242544.1	 peptidylprolyl isomerase B (cyclophilin B) 
Rfwd3	NM_001242554.1	 ring finger and WD repeat domain 3 
Slc35b1	NM_001242555.1	 solute carrier family 35, member B1 
egh	NM_001242556.1	 beta-1,4-mannosyltransferase egh 
LOC724300	NM_001242557.1	 uncharacterized LOC724300 
osp	NM_001242574.1	 outspread 
LOC726880	NM_001242576.1	 pancreatic lipase-related protein 2-like 
Sergef	NM_001242577.1	 secretion regulating guanine nucleotide exchange factor 
LOC411721	NM_001242578.1	 uncharacterized LOC411721 
LOC551434	NM_001242579.1	 selenium-binding protein 1-like 
ATP5G2	NM_001242656.1	 ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9) 
ATP5G2	NM_001242657.1	 ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9) 
Or4	NM_001242958.1	 odorant receptor 4 
Or5	NM_001242959.1	 odorant receptor 5 
Or9	NM_001242960.1	 odorant receptor 9 
Or10	NM_001242961.1	 odorant receptor 10 
Or11	NM_001242962.1	 odorant receptor 11 
Or12	NM_001242963.1	 odorant receptor 12 
Or13	NM_001242964.1	 odorant receptor 13 
Or14	NM_001242965.1	 odorant receptor 14 
Or19	NM_001242966.1	 odorant receptor 19 
Or25	NM_001242967.1	 odorant receptor 25 
Or26	NM_001242968.1	 odorant receptor 26 
Or27	NM_001242969.1	 odorant receptor 27 
Or30	NM_001242970.1	 odorant receptor 30 
Or35	NM_001242971.1	 odorant receptor 35 
Or37	NM_001242972.1	 odorant receptor 37 
Or41	NM_001242973.1	 odorant receptor 41 
Or50	NM_001242975.1	 odorant receptor 50 
Or51	NM_001242976.1	 odorant receptor 51 
Or52	NM_001242977.1	 odorant receptor 52 
Or53	NM_001242978.1	 odorant receptor 53 
Or56	NM_001242980.1	 odorant receptor 56 
Or57	NM_001242981.1	 odorant receptor 57 
Or58	NM_001242982.1	 odorant receptor 58 
SPG11	NM_001242983.1	 spatacsin 
Or63	NM_001242984.1	 odorant receptor 63 
Or98	NM_001242985.1	 odorant receptor 98 
Or105	NM_001242986.1	 odorant receptor 105 
Or107	NM_001242987.1	 odorant receptor 107 
Or109	NM_001242988.1	 odorant receptor 109 
Or115	NM_001242989.1	 odorant receptor 115 
Or131	NM_001242990.1	 odorant receptor 131 
Or130	NM_001242991.1	 odorant receptor 130 
Or170	NM_001242993.1	 odorant receptor 170 
Gr10	NM_001242994.1	 gustatory receptor 10 
CTL5	NM_001242997.1	 C-type lectin 5 
LOC411317	NM_001242998.1	 CG1567-like 
LOC100642173	NM_001242999.1	 uncharacterized LOC100642173 
LOC100578542	NM_001246251.2	 FMRFamide 
InR-2	NM_001246667.1	 insulin-like receptor-like 
LOC100820634	NM_001252019.1	 potassium voltage-gated channel protein eag-like 
Kr	NM_001252424.1	 krueppel 
Hb	NM_001252426.1	 hunchback 
eve	NM_001252428.1	 segmentation protein even-skipped 
cad	NM_001252430.1	 homeotic protein caudal 
otd2	NM_001252432.1	 homeotic protein ocelliless 
Reck	NM_001256032.1	 reversion-inducing-cysteine-rich protein with kazal motifs 
Nipped-B	NM_001256034.1	 nipped-B protein 
LOC724290	NM_001256035.1	 uncharacterized LOC724290 
PHRF1	NM_001256037.1	 PHD and ring finger domains 1 
LOC100578205	NM_001256038.1	 uncharacterized LOC100578205 
brp	NM_001256039.1	 bruchpilot 
LOC100859932	NM_001256040.1	 uncharacterized LOC100859932 
tra2	NM_001265585.1	 transformer-2 sex-determining protein 
CPR14	NM_001270813.1	 cuticular protein 14 
CPR22	NM_001270814.1	 cuticular protein 22 
CPR21	NM_001270815.1	 cuticular protein 21 
CPR1	NM_001270817.1	 cuticular protein 1 
CPR2	NM_001270818.1	 cuticular protein 2 
CPR3	NM_001270819.1	 cuticular protein 3 
CPR4	NM_001270820.1	 cuticular protein 4 
CPR5	NM_001270821.1	 cuticular protein 5 
CPR6	NM_001270822.1	 cuticular protein 6 
CPR11	NM_001270823.1	 cuticular protein 11 
CPR12	NM_001270824.1	 cuticular protein 12 
CPR13	NM_001270825.1	 cuticular protein 13 
CPR16	NM_001270826.1	 cuticular protein 16 
CPR17	NM_001270827.1	 cuticular protein 17 
CPR18	NM_001270828.1	 cuticular protein 18 
CPR27	NM_001270829.1	 cuticular protein 27 
CPR28	NM_001270830.1	 cuticular protein 28 
CPF1	NM_001270831.1	 cuticular protein CPF1 
CPF2	NM_001270832.1	 cuticular protein CPF2 
CPF2	NM_001270833.1	 cuticular protein CPF2 
DHRS4	NM_001276427.1	 dehydrogenase/reductase (SDR family) member 4 
LOC410331	NM_001277299.1	 transcription elongation factor SPT6-like 
LOC552738	NM_001277300.1	 2-hydroxyacyl-CoA lyase 1-like 
LOC408316	NM_001277301.1	 uncharacterized LOC408316 
LOC726294	NM_001278325.1	 orcokinin peptides 
Syx1A	NM_001278326.1	 syntaxin 1A 
Rga	NM_001278327.1	 regulator of gene activity protein 
LOC551635	NM_001278328.1	 uncharacterized LOC551635 
rtGEF	NM_001278329.1	 rho-type guanine exchange factor 
Rep	NM_001278330.1	 Rab escort protein 
LOC412643	NM_001278331.1	 uncharacterized LOC412643 
LOC551304	NM_001278332.1	 selenoprotein K-like 
LOC100577883	NM_001278333.1	 cytochrome P450 4aa1-like 
LOC101664701	NM_001278334.1	 PI-PLC X domain-containing protein 1-like 
