Gene	NoSelectedCodons	No_2hitCMD	No_3hitCMD
LOC411744	22	1	0
LOC411772	23	1	1
LOC411794	4	2	3
LOC411833	7	0	0
LOC411919	13	0	3
LOC411920	7	1	4
LOC411930	9	0	0
LOC411978	24	1	0
LOC411981	5	0	0
LOC411982	9	0	1
LOC411997	7	0	0
LOC412002	4	0	0
LOC412008	6	0	0
LOC412034	14	0	0
LOC412069	7	2	1
LOC412081	19	0	0
LOC412099	34	1	0
LOC412103	7	0	0
LOC412119	14	0	0
LOC412167	15	1	0
LOC412278	41	0	0
LOC412464	3	0	0
LOC412488	13	0	0
LOC412510	8	0	0
LOC412616	21	1	0
LOC412665	73	0	0
LOC412690	10	1	0
LOC412748	29	1	0
LOC412775	15	0	0
LOC412815	12	1	0
LOC412817	13	0	0
LOC412825	26	3	0
LOC412855	14	5	1
LOC412858	4	0	0
LOC412859	10	1	0
LOC412897	38	0	0
LOC412919	39	0	0
LOC413018	14	0	0
LOC413024	9	3	3
LOC413086	7	0	0
LOC413089	11	0	0
LOC413106	14	0	0
LOC413113	17	0	0
LOC413120	30	0	0
LOC413132	17	0	0
LOC413133	12	0	0
LOC413134	10	2	0
LOC413153	36	0	0
LOC413170	9	1	1
LOC413200	34	0	0
LOC413242	4	4	0
LOC413270	13	5	2
LOC413310	11	0	0
LOC413383	14	1	0
LOC413408	13	2	0
LOC413523	11	0	0
LOC413557	14	0	0
LOC413576	12	0	0
LOC413594	19	0	0
LOC413607	6	0	0
LOC413759	33	4	1
LOC413805	12	0	0
LOC413810	6	0	0
LOC413814	9	0	1
LOC413854	32	2	0
LOC413906	12	0	0
LOC413907	9	0	0
LOC413936	83	1	1
LOC413977	9	0	0
LOC414017	12	0	0
LOC414035	3	1	0
LOC550716	4	0	1
LOC550791	29	0	0
LOC550941	5	0	0
LOC550964	12	0	0
LOC550978	16	0	0
LOC551041	14	1	0
LOC551086	45	0	3
LOC551130	14	2	1
LOC551133	11	0	0
LOC551168	10	0	1
LOC551212	7	0	0
LOC551225	14	0	1
LOC551227	7	0	0
LOC551331	5	1	1
LOC551375	15	1	0
LOC551425	8	0	0
LOC551432	12	0	0
LOC551433	21	2	0
LOC551462	14	1	1
LOC551477	7	0	0
LOC551506	39	3	1
LOC551549	4	0	0
LOC551566	19	0	0
LOC551576	7	0	0
LOC551587	47	0	0
LOC551604	9	0	0
LOC551659	15	2	0
LOC551677	27	0	1
LOC551730	9	0	0
LOC551772	7	2	1
LOC551774	35	0	0
LOC551780	11	0	0
LOC551782	40	1	0
LOC551840	10	0	2
LOC551847	17	0	0
LOC551871	37	0	0
LOC551895	9	0	0
LOC551919	32	0	0
LOC551984	4	0	0
LOC552017	6	3	0
LOC552074	10	0	0
LOC552128	7	1	0
LOC552153	12	0	0
LOC552259	6	0	0
LOC552289	62	1	0
LOC552358	32	1	0
LOC552373	8	0	0
LOC552428	132	0	0
LOC552440	12	0	0
LOC552449	6	0	0
LOC552468	27	1	0
LOC552496	11	0	0
LOC552502	30	1	1
LOC552578	16	0	0
LOC552624	5	0	0
LOC552625	6	0	0
LOC552663	11	0	0
LOC552674	17	0	0
LOC552724	8	0	0
LOC552746	34	1	0
LOC552814	13	0	0
LOC552851	7	1	0
LOC724215	22	0	0
LOC724220	9	6	5
LOC724244	4	0	0
LOC724285	15	0	0
LOC724290	15	1	0
LOC724292	8	0	2
LOC724315	38	1	0
LOC724322	29	0	3
LOC724328	24	0	0
LOC724356	6	0	0
LOC724358	15	1	0
LOC724442	10	1	5
LOC724450	26	0	0
LOC724468	22	1	0
LOC724487	5	1	3
LOC724517	13	0	1
LOC724552	11	0	0
LOC724592	27	0	2
LOC724593	9	0	0
LOC724603	16	1	1
LOC724608	17	0	0
LOC724656	14	0	0
LOC724660	15	0	0
LOC724672	6	0	0
LOC724700	24	0	0
LOC724787	6	0	0
LOC724823	10	0	1
LOC724843	8	0	0
LOC724859	13	0	0
LOC724863	6	0	0
LOC724912	39	1	0
LOC724917	9	0	0
LOC724933	27	4	0
LOC725003	41	1	0
LOC725026	14	0	0
LOC725036	10	0	0
LOC725044	19	0	0
LOC725101	11	0	0
LOC725192	22	0	0
LOC725220	33	2	0
LOC725327	18	0	0
LOC725328	7	0	0
LOC725336	12	7	0
LOC725354	9	0	0
LOC725408	7	0	0
LOC725427	5	0	0
LOC725453	14	0	0
LOC725495	28	1	0
LOC725546	8	0	0
LOC725596	4	0	0
LOC725606	15	0	0
LOC725611	7	0	0
LOC725623	7	0	0
LOC725662	14	0	0
LOC725682	17	0	0
LOC725710	14	0	2
LOC725837	11	0	1
LOC725860	7	0	0
LOC725864	11	0	0
LOC725908	18	0	0
LOC725960	12	2	0
LOC725992	8	0	0
LOC726045	16	0	0
LOC726068	8	1	0
LOC726093	23	0	2
LOC726107	54	0	0
LOC726129	3	1	2
LOC726164	11	0	0
LOC726167	25	4	0
LOC726180	14	0	1
LOC726215	7	0	0
LOC726315	12	1	0
LOC726339	10	0	0
LOC726348	69	0	0
LOC726354	7	1	0
LOC726380	17	0	0
LOC726418	24	0	0
LOC726529	6	4	0
LOC726579	6	0	0
LOC726643	13	1	0
LOC726657	31	0	0
LOC726673	5	0	0
LOC726735	14	0	0
LOC726895	13	0	0
LOC726914	24	2	2
LOC726947	6	2	1
LOC726989	13	0	0
LOC727022	4	0	0
LOC727027	7	1	0
LOC727108	24	0	3
LOC727150	12	0	0
LOC727180	5	0	0
LOC727415	25	2	0
LOC727447	6	0	0
LOC727596	9	0	1
nAChRa7	6	3	0
Per	4	1	0
Reck	4	0	0
Syt20	10	0	0
Tg	11	2	1
Tspan6	4	3	0
Vg	11	0	0
