Gene	lnL_Null	lnL_Alt	LRT	SocOrigin	Class	Gene_Desc	pvalue	adj_pvalue
Cbs	-7152.582887	-7152.582887	0	AllSol	Random	 cystathionine beta-synthase 	1	1
Cdc37	-4512.911277	-4512.911277	0	AllSol	Random	 cell division cycle 37 homolog 	1	1
Cdk5	-3961.00205	-3961.00205	0	AllSol	Random	 cyclin-dependent kinase 5 	1	1
Chmp1	-1600.825943	-1600.825943	0	AllSol	Random	 chromatin modifying protein 1 	1	1
Coq7	-2704.806137	-2704.799623	0.013028	AllSol	Random	 ubiquinone biosynthesis protein COQ7 	0.909126604251177	1
Cpap3-c	-3085.062914	-3085.062914	0	AllSol	Random	 cuticular protein analogous to peritrophins 3-C 	1	1
CPF1	-1771.870766	-1771.870766	0	AllSol	Random	 cuticular protein CPF1 	1	1
CPR13	-1948.494632	-1948.494632	0	AllSol	Random	 cuticular protein 13 	1	1
CPR16	-5333.979165	-5333.979165	0	AllSol	Random	 cuticular protein 16 	1	1
CPR17	-2461.963273	-2461.963273	0	AllSol	Random	 cuticular protein 17 	1	1
CPR21	-2463.210417	-2463.210417	0	AllSol	Random	 cuticular protein 21 	1	1
CPR22	-1461.334887	-1461.334887	0	AllSol	Random	 cuticular protein 22 	1	1
CPR3	-3726.26949	-3726.26949	0	AllSol	Random	 cuticular protein 3 	1	1
CPR5	-2540.614957	-2540.614957	0	AllSol	Random	 cuticular protein 5 	1	1
Cry2	-6687.409172	-6687.409172	0	AllSol	Random	 cryptochrome 2 	1	1
CSP2	-1508.498088	-1508.498088	0	AllSol	Random	 chemosensory protein 2 	1	1
CSP3	-2834.789691	-2834.48789	0.603602	AllSol	Random	 chemosensory protein 3 	0.437206990786415	1
CSP4	-2556.539721	-2556.460872	0.157698	AllSol	Random	 chemosensory protein 4 	0.691284816051583	1
CUTA	-1697.848389	-1697.848389	0	AllSol	Random	 cutA divalent cation tolerance homolog 	1	1
Cyp4g11	-8667.774278	-8664.888747	5.77106	AllSol	Random	 cytochrome P450 4G11 	0.0162922045262313	1
Dat	-4218.355726	-4218.055357	0.600738	AllSol	Random	 dopamine transporter 	0.438296584114121	1
Dop1	-2668.38655	-2668.38655	0	AllSol	Random	 dopamine receptor, D1 	1	1
DopR2	-6695.836381	-6695.836381	0	AllSol	Random	 dopamine receptor 2 	1	1
E74	-4803.348685	-4803.348685	0	AllSol	Random	 ecdysteroid-regulated gene E74 	1	1
E75	-5786.641402	-5786.641402	0	AllSol	Random	 ecdysone-induced protein 75 	1	1
Eaat-2	-8548.063518	-8547.949772	0.227492	AllSol	Random	 excitatory amino acid transporter 2 	0.63338974062811	1
ecd	-8190.698628	-8190.698628	0	AllSol	Random	 ecdysoneless 	1	1
Ef-1a-f1	-5454.780165	-5454.778866	0.002598	AllSol	Random	 translation elongation factor eEF-1 alpha chain 	0.959348964022926	1
EF1a-F2	-5021.105057	-5021.105057	0	AllSol	Random	 elongation factor 1-alpha F2 	1	1
Eif3h	-3795.929436	-3795.929436	0	AllSol	Random	 eukaryotic translation initiation factor 3, subunit H 	1	1
Eif4g	-17759.365257	-17759.350679	0.029156	AllSol	Random	 eukaryotic translation initiation factor 4 gamma 	0.864419338400085	1
Emc	-1709.819121	-1709.819121	0	AllSol	Random	 extra macrochaetae 	1	1
Err	-4980.740781	-4980.740781	0	AllSol	Random	 estrogen-related receptor 	1	1
Ets97D-like	-5878.60083	-5878.581943	0.037774	AllSol	Random	 Ets at 97D ortholog 	0.845897652945082	1
eve	-3960.20293	-3960.20293	0	AllSol	Random	 segmentation protein even-skipped 	1	1
Fem	-4400.854195	-4400.355653	0.997084	AllSol	Random	 feminizer 	0.318017124743389	1
For	-8389.877701	-8389.877701	0	AllSol	Random	 cGMP-dependent protein kinase foraging 	1	1
Foxp	-5122.803395	-5122.803395	0	AllSol	Random	 FoxP protein 	1	1
Fstl5	-11201.785092	-11201.785092	0	AllSol	Random	 follistatin-like 5 	1	1
Glob1	-2766.45013	-2766.156909	0.586442	AllSol	Random	 globin 1 	0.443798282768457	1
Grd	-6544.404151	-6544.404151	0	AllSol	Random	 GABA-gated ion channel 	1	1
Gstcd	-8378.597844	-8378.597844	0	AllSol	Random	 glutathione S-transferase, C-terminal domain containing 	1	1
Gtpx1	-2618.01961	-2618.01961	0	AllSol	Random	 glutathione peroxidase-like 1 	1	1
Gycbeta1	-5446.663288	-5446.663288	0	AllSol	Random	 guanylate cyclase, soluble, beta 1 	1	1
Hex70a	-12568.369982	-12568.314508	0.110948	AllSol	Random	 hexamerin 70a 	0.739067421912731	1
Ho	-4023.848167	-4023.848167	0	AllSol	Random	 heme oxygenase 	1	1
Hsc70-3	-7829.719437	-7829.719437	0	AllSol	Random	 heat shock 70 kDa protein cognate 3 	1	1
Hsc70-4	-7541.559371	-7541.559371	0	AllSol	Random	 heat shock protein cognate 4 	1	1
Hsc70-5	-3945.545404	-3945.533951	0.022906	AllSol	Random	 heat shock protein cognate 5 	0.879701772574458	1
Hsp90	-8608.042309	-8608.042309	0	AllSol	Random	 heat shock protein 90 	1	1
IF-2mt	-13299.718781	-13299.718781	0	AllSol	Random	 translation initiation factor 2 	1	1
Ing3	-3531.774713	-3531.774713	0	AllSol	Random	 inhibitor of growth family, member 3 	1	1
InR-2	-13261.932914	-13261.932914	0	AllSol	Random	 insulin-like receptor-like 	1	1
Kr	-6018.482687	-6018.482687	0	AllSol	Random	 krueppel 	1	1
Kr-h1	-6636.435477	-6636.435477	0	AllSol	Random	 kruppel homolog 1 	1	1
LCCH3	-6375.071023	-6375.071023	0	AllSol	Random	 ligand-gated chloride channel homolog 3 	1	1
Lin-52	-1313.091873	-1313.091873	0	AllSol	Random	 lin-52 protein 	1	1
LOC100217360	-4487.685085	-4487.685085	0	AllSol	Random	 uncharacterized LOC100217360 	1	1
LOC100576097	-12550.965324	-12550.965324	0	AllSol	Random	 glutamate receptor U1 	1	1
LOC100576100	-4576.154709	-4576.154709	0	AllSol	Random	 protein phosphatase 1 regulatory subunit 42-like 	1	1
LOC100576104	-3597.950353	-3597.950353	0	AllSol	Random	 INO80 complex subunit B 	1	1
LOC100576110	-8736.940126	-8736.940126	0	AllSol	Random	 zinc finger protein GLI4 	1	1
LOC100576116	-12332.375032	-12332.147622	0.45482	AllSol	Random	 protein inscuteable homolog 	0.500054856258513	1
LOC100576128	-5842.553589	-5842.553589	0	AllSol	Random	 cilia- and flagella-associated protein 100 	1	1
LOC100576130	-2165.983133	-2165.983133	0	AllSol	Random	 diuretic hormone 44 	1	1
LOC100576131	-7569.963572	-7569.963572	0	AllSol	Random	 zinc finger protein 267 	1	1
LOC100576132	-3243.483702	-3243.483702	0	AllSol	Random	 uncharacterized LOC100576132 	1	1
LOC100576134	-1777.486097	-1777.486096	2e-06	AllSol	Random	 uncharacterized LOC100576134 	0.998871621209031	1
LOC100576147	-5361.530434	-5361.530434	0	AllSol	Random	 fork head domain-containing protein FD4 	1	1
LOC100576152	-4008.114157	-4008.114157	0	AllSol	Random	 uncharacterized LOC100576152 	1	1
LOC100576162	-10608.145263	-10607.711625	0.867276	AllSol	Random	 uncharacterized protein PF11_0213 	0.351710532419541	1
LOC100576163	-1752.219568	-1751.488337	1.46246	AllSol	Random	 short neuropeptide F 	0.22653911429847	1
LOC100576165	-3239.105229	-3237.517765	3.17493	AllSol	Random	 uncharacterized LOC100576165 	0.0747764159828552	1
LOC100576167	-7723.065523	-7723.065523	0	AllSol	Random	 gustatory and pheromone receptor 32a-like 	1	1
LOC100576169	-21163.132912	-21162.501104	1.26362	AllSol	Random	 uncharacterized LOC100576169 	0.260966984652367	1
LOC100576174	-1831.43627	-1831.43627	0	AllSol	Random	 uncharacterized LOC100576174 	1	1
LOC100576176	-7448.282751	-7448.282751	0	AllSol	Random	 uncharacterized LOC100576176 	1	1
LOC100576182	-3802.055551	-3802.055551	0	AllSol	Random	 pupal cuticle protein G1A 	1	1
LOC100576194	-3996.921301	-3996.921301	0	AllSol	Random	 forkhead box protein J1 	1	1
LOC100576198	-15457.071467	-15457.071467	0	AllSol	Random	 bromodomain-containing protein DDB_G0270170 	1	1
LOC100576215	-1602.602442	-1602.602442	0	AllSol	Random	 pancreas transcription factor 1 subunit alpha 	1	1
LOC100576220	-3243.479212	-3243.479212	0	AllSol	Random	 homeobox protein rough-like 	1	1
LOC100576221	-7483.728848	-7483.728848	0	AllSol	Random	 zinc finger protein 26 	1	1
LOC100576222	-3727.418894	-3727.418894	0	AllSol	Random	 heart- and neural crest derivatives-expressed protein 1 	1	1
LOC100576226	-3317.302358	-3317.302358	0	AllSol	Random	 uncharacterized protein C7orf50 homolog 	1	1
LOC100576227	-15139.367925	-15139.367925	0	AllSol	Random	 probable serine/threonine-protein kinase DDB_G0282963 	1	1
LOC100576247	-7119.627569	-7119.588771	0.077596	AllSol	Random	 frizzled 2 	0.780582063715421	1
LOC100576249	-8002.441209	-8002.441209	0	AllSol	Random	 uncharacterized LOC100576249 	1	1
LOC100576261	-6569.016496	-6569.016496	0	AllSol	Random	 zinc finger protein 569 	1	1
LOC100576266	-7380.918083	-7380.918083	0	AllSol	Random	 uncharacterized LOC100576266 	1	1
LOC100576270	-1899.507628	-1899.461843	0.09157	AllSol	Random	 2-iminobutanoate/2-iminopropanoate deaminase 	0.76219063410817	1
LOC100576272	-4235.704098	-4235.704098	0	AllSol	Random	 tRNA-splicing endonuclease subunit Sen34 	1	1
LOC100576273	-10248.199259	-10248.199259	0	AllSol	Random	 uncharacterized LOC100576273 	1	1
LOC100576274	-4382.850504	-4382.850504	0	AllSol	Random	 zinc finger protein 32 	1	1
LOC100576284	-7116.941628	-7116.478716	0.925824	AllSol	Random	 uncharacterized LOC100576284 	0.335950412277797	1
LOC100576293	-6643.768339	-6643.616674	0.30333	AllSol	Random	 zinc finger protein 182 	0.581802301914134	1
LOC100576298	-5689.516111	-5689.516111	0	AllSol	Random	 uncharacterized LOC100576298 	1	1
LOC100576300	-8907.165963	-8907.165963	0	AllSol	Random	 uncharacterized LOC100576300 	1	1
LOC100576304	-9092.010413	-9092.010413	0	AllSol	Random	 potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1-like 	1	1
LOC100576307	-4659.221716	-4659.221716	0	AllSol	Random	 oocyte zinc finger protein XlCOF8.4 	1	1
LOC100576320	-3280.748063	-3280.748063	0	AllSol	Random	 uncharacterized LOC100576320 	1	1
LOC100576321	-26875.862484	-26875.862484	0	AllSol	Random	 uncharacterized LOC100576321 	1	1
LOC100576333	-4144.367424	-4144.309103	0.116642	AllSol	Random	 nucleoredoxin 	0.73270544071698	1
LOC100576336	-2615.87433	-2615.87433	0	AllSol	Random	 uncharacterized LOC100576336 	1	1
LOC100576346	-27658.999004	-27658.999004	0	AllSol	Random	 protein PFC0760c 	1	1
LOC100576348	-4722.243101	-4722.231081	0.02404	AllSol	Random	 uncharacterized LOC100576348 	0.876783177079369	1
LOC100576349	-2759.038276	-2759.038276	0	AllSol	Random	 growth arrest-specific protein 1 	1	1
LOC100576355	-3256.63969	-3256.63969	0	AllSol	Random	 uncharacterized LOC100576355 	1	1
LOC100576359	-5979.2864	-5979.286338	0.000124	AllSol	Random	 integrator complex subunit 11 	0.991115317170577	1
LOC100576361	-3456.0363	-3456.0363	0	AllSol	Random	 uncharacterized protein C1orf194 	1	1
LOC100576366	-6716.412511	-6716.412511	0	AllSol	Random	 tRNA-splicing endonuclease subunit Sen2 	1	1
LOC100576369	-3163.381209	-3163.381209	0	AllSol	Random	 ets DNA-binding protein pokkuri 	1	1
LOC100576374	-17452.391982	-17452.391982	0	AllSol	Random	 protein MMS22-like 	1	1
LOC100576381	-2574.996894	-2574.996894	0	AllSol	Random	 probable basic-leucine zipper transcription factor Q 	1	1
LOC100576384	-18630.151548	-18630.151548	0	AllSol	Random	 tyrosine-protein phosphatase 10D 	1	1
LOC100576392	-6835.031526	-6835.031526	0	AllSol	Random	 transcriptional regulator Myc-B 	1	1
LOC100576400	-4351.387839	-4351.387839	0	AllSol	Random	 cilia- and flagella-associated protein 97 	1	1
LOC100576402	-31908.486954	-31908.486954	0	AllSol	Random	 serine/threonine-protein kinase atr-like 	1	1
LOC100576414	-9468.340548	-9468.339309	0.002478	AllSol	Random	 putative fatty acyl-CoA reductase CG5065 	0.96029809201269	1
LOC100576422	-2991.465556	-2990.990967	0.949178	AllSol	Random	 mitochondrial import inner membrane translocase subunit Tim22 	0.32992861861788	1
LOC100576432	-11822.25354	-11822.18877	0.12954	AllSol	Random	 uncharacterized LOC100576432 	0.718909460147628	1
LOC100576433	-5822.025562	-5822.025562	0	AllSol	Random	 protein DENND6A 	1	1
LOC100576434	-3281.993136	-3281.993136	0	AllSol	Random	 protein atonal 	1	1
LOC100576435	-7869.999656	-7869.999656	0	AllSol	Random	 shootin-1 	1	1
LOC100576436	-8759.765163	-8759.765163	0	AllSol	Random	 putative ATP-dependent RNA helicase TDRD12 	1	1
LOC100576438	-2841.126084	-2841.126084	0	AllSol	Random	 uncharacterized LOC100576438 	1	1
LOC100576439	-1251.03001	-1251.03001	0	AllSol	Random	 coiled-coil domain-containing protein 40 	1	1
LOC100576447	-1497.3749	-1497.3749	0	AllSol	Random	 DNA damage-regulated autophagy modulator protein 2-like 	1	1
LOC100576453	-1143.843802	-1143.843802	0	AllSol	Random	 protein cornichon 	1	1
LOC100576460	-3661.119981	-3661.119981	0	AllSol	Random	 EF-hand calcium-binding domain-containing protein 1 	1	1
LOC100576461	-7534.149534	-7533.948864	0.40134	AllSol	Random	 uncharacterized LOC100576461 	0.526398035320214	1
LOC100576471	-5823.822709	-5823.822709	0	AllSol	Random	 uncharacterized LOC100576471 	1	1
LOC100576472	-12175.691149	-12175.691149	0	AllSol	Random	 E3 ubiquitin-protein ligase Su(dx) 	1	1
LOC100576487	-2869.240155	-2869.2369	0.00651	AllSol	Random	 apoptosis regulatory protein Siva 	0.935692807353029	1
LOC100576492	-751.694775	-751.694775	0	AllSol	Random	 uncharacterized LOC100576492 	1	1
LOC100576497	-11081.74441	-11081.74441	0	AllSol	Random	 uncharacterized LOC100576497 	1	1
LOC100576506	-2790.58768	-2790.58768	0	AllSol	Random	 uncharacterized LOC100576506 	1	1
LOC100576512	-1151.509219	-1151.509219	0	AllSol	Random	 U8-agatoxin-Ao1a 	1	1
LOC100576515	-1917.428895	-1917.428894	2e-06	AllSol	Random	 protein KRTCAP2 homolog 	0.998871621209031	1
LOC100576528	-1457.362809	-1457.118688	0.488242	AllSol	Random	 uncharacterized LOC100576528 	0.48471255771462	1
LOC100576531	-2419.756174	-2419.756174	0	AllSol	Random	 RNA pseudouridylate synthase domain-containing protein 1-like 	1	1
LOC100576532	-2937.894953	-2937.143264	1.50338	AllSol	Random	 uncharacterized LOC100576532 	0.220152025271576	1
LOC100576542	-993.84052	-993.84052	0	AllSol	Random	 protein POLR1D 	1	1
LOC100576543	-3651.182708	-3651.182708	0	AllSol	Random	 steroid receptor RNA activator 1 	1	1
LOC100576547	-8262.102744	-8262.102744	0	AllSol	Random	 glucose dehydrogenase [FAD, quinone] 	1	1
LOC100576559	-3668.097914	-3668.097914	0	AllSol	Random	 uncharacterized LOC100576559 	1	1
LOC100576565	-4454.612855	-4454.612855	0	AllSol	Random	 zinc finger protein 511 	1	1
LOC100576571	-1283.81217	-1283.81217	0	AllSol	Random	 uncharacterized LOC100576571 	1	1
LOC100576572	-6130.29928	-6130.29928	0	AllSol	Random	 serine/threonine-protein kinase RIO1 	1	1
LOC100576586	-7609.378675	-7608.382276	1.9928	AllSol	Random	 transcriptional repressor CTCFL-like 	0.158048422416055	1
LOC100576592	-3977.360215	-3977.360215	0	AllSol	Random	 uncharacterized LOC100576592 	1	1
LOC100576600	-8810.266335	-8810.266335	0	AllSol	Random	 zinc finger protein 345 	1	1
LOC100576608	-4965.090264	-4962.370015	5.4405	AllSol	Random	 early endosome antigen 1 	0.019675036519223	1
LOC100576610	-12553.759013	-12549.109695	9.29864	AllSol	Random	 mitochondrial ribonuclease P catalytic subunit 	0.00229324035371728	1
LOC100576615	-8938.090182	-8938.090182	0	AllSol	Random	 J domain-containing protein DDB_G0295729 	1	1
LOC100576621	-1127.995502	-1127.995502	0	AllSol	Random	 thyroid transcription factor 1-associated protein 26 homolog 	1	1
LOC100576625	-18281.076923	-18281.076923	0	AllSol	Random	 uncharacterized LOC100576625 	1	1
LOC100576640	-26026.530085	-26026.530085	0	AllSol	Random	 uncharacterized LOC100576640 	1	1
LOC100576647	-8851.855858	-8851.855858	0	AllSol	Random	 separin 	1	1
LOC100576662	-1692.037455	-1692.037455	0	AllSol	Random	 uncharacterized LOC100576662 	1	1
LOC100576666	-9436.578615	-9436.578615	0	AllSol	Random	 proton channel OtopLc 	1	1
LOC100576667	-6243.693306	-6243.693306	0	AllSol	Random	 E3 ubiquitin-protein ligase synoviolin A 	1	1
LOC100576669	-7000.397951	-7000.397951	0	AllSol	Random	 ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 	1	1
LOC100576671	-11751.239086	-11751.239086	0	AllSol	Random	 polycomb group protein Psc 	1	1
LOC100576677	-5651.728862	-5651.728862	0	AllSol	Random	 DNA repair protein RAD51 homolog 4 	1	1
LOC100576688	-2262.927949	-2262.927949	0	AllSol	Random	 histone H1, gonadal 	1	1
LOC100576702	-2332.65783	-2332.65783	0	AllSol	Random	 uncharacterized LOC100576702 	1	1
LOC100576703	-11060.594732	-11060.50197	0.185524	AllSol	Random	 sarcalumenin 	0.666668360345675	1
LOC100576708	-6936.730088	-6935.067996	3.32418	AllSol	Random	 recQ-mediated genome instability protein 1 	0.0682680497122505	1
LOC100576717	-22287.359863	-22287.359863	0	AllSol	Random	 restin homolog 	1	1
LOC100576730	-1327.949661	-1327.949661	0	AllSol	Random	 uncharacterized LOC100576730 	1	1
LOC100576733	-3161.031608	-3161.031608	0	AllSol	Random	 inositol-pentakisphosphate 2-kinase 	1	1
LOC100576735	-3074.84586	-3072.960592	3.77054	AllSol	Random	 peroxisomal membrane protein 11C 	0.0521627900498463	1
LOC100576744	-6723.968275	-6723.968275	0	AllSol	Random	 uncharacterized LOC100576744 	1	1
LOC100576748	-2534.599104	-2534.599104	0	AllSol	Random	 uncharacterized LOC100576748 	1	1
LOC100576754	-14730.786382	-14730.786382	0	AllSol	Random	 uncharacterized LOC100576754 	1	1
LOC100576765	-2883.825206	-2883.154681	1.34105	AllSol	Random	 uncharacterized LOC100576765 	0.246848883469958	1
LOC100576768	-8463.451045	-8463.451045	0	AllSol	Random	 nuclear cap-binding protein subunit 3 	1	1
LOC100576770	-5706.532521	-5705.540703	1.98364	AllSol	Random	 serine hydrolase-like protein 2 	0.159007464980344	1
LOC100576774	-9615.801768	-9615.801768	0	AllSol	Random	 uncharacterized LOC100576774 	1	1
LOC100576775	-11384.163926	-11384.163926	0	AllSol	Random	 nucleolar MIF4G domain-containing protein 1 homolog 	1	1
LOC100576784	-2142.208975	-2142.208975	0	AllSol	Random	 high mobility group B protein 6 	1	1
LOC100576789	-9592.001115	-9592.001115	0	AllSol	Random	 leucine-rich repeat protein SHOC-2 	1	1
LOC100576794	-3434.859716	-3434.859716	0	AllSol	Random	 pre-mRNA-splicing factor 38 	1	1
LOC100576796	-1466.658306	-1466.658306	0	AllSol	Random	 uncharacterized LOC100576796 	1	1
LOC100576799	-16115.03271	-16114.622113	0.821194	AllSol	Random	 uncharacterized LOC100576799 	0.364831299461867	1
LOC100576805	-3305.304999	-3305.304999	0	AllSol	Random	 chromatin assembly factor 1 subunit A-B 	1	1
LOC100576812	-4045.934657	-4042.084787	7.69974	AllSol	Random	 uncharacterized LOC100576812 	0.00552287803928774	1
LOC100576817	-10530.83338	-10530.83338	0	AllSol	Random	 zinc finger and BTB domain-containing protein 41 	1	1
LOC100576829	-10605.484823	-10605.484823	0	AllSol	Random	 serine/arginine repetitive matrix protein 2 	1	1
LOC100576843	-7708.446356	-7708.446356	0	AllSol	Random	 inner centromere protein 	1	1
LOC100576847	-2018.898687	-2017.159465	3.47844	AllSol	Random	 cytochrome c oxidase subunit 6B1 	0.0621733253004906	1
LOC100576848	-5713.266878	-5713.266878	0	AllSol	Random	 uncharacterized LOC100576848 	1	1
LOC100576850	-5281.38983	-5281.38983	0	AllSol	Random	 RNA 3'-terminal phosphate cyclase-like protein 	1	1
LOC100576855	-5085.53787	-5085.53787	0	AllSol	Random	 retinol-binding protein pinta-like 	1	1
LOC100576863	-6784.90867	-6784.90867	0	AllSol	Random	 uncharacterized LOC100576863 	1	1
LOC100576864	-16306.031808	-16306.031808	0	AllSol	Random	 myosin-2 heavy chain 	1	1
LOC100576866	-7013.946759	-7013.946759	0	AllSol	Random	 probable elongator complex protein 3 	1	1
LOC100576872	-5130.868288	-5130.868288	0	AllSol	Random	 cell cycle checkpoint control protein RAD9A 	1	1
LOC100576876	-14544.940627	-14544.940627	0	AllSol	Random	 uncharacterized LOC100576876 	1	1
LOC100576879	-17630.12164	-17630.12164	0	AllSol	Random	 GATOR complex protein DEPDC5 	1	1
LOC100576894	-8816.980264	-8816.980264	0	AllSol	Random	 keratin, type II cytoskeletal 74 	1	1
LOC100576908	-14831.676011	-14831.676011	0	AllSol	Random	 polycomb protein Asx 	1	1
LOC100576912	-5622.465514	-5622.37854	0.173948	AllSol	Random	 cyclic AMP response element-binding protein A 	0.676626668090985	1
LOC100576915	-10386.629816	-10386.539989	0.179654	AllSol	Random	 asparagine-rich protein 	0.671670756204171	1
LOC100576919	-20012.596551	-20012.568519	0.056064	AllSol	Random	 uncharacterized LOC100576919 	0.812828726956008	1
LOC100576930	-3383.519637	-3383.519637	0	AllSol	Random	 uncharacterized LOC100576930 	1	1
LOC100576934	-4336.575803	-4336.575803	0	AllSol	Random	 uncharacterized LOC100576934 	1	1
LOC100576938	-4851.217496	-4851.051164	0.332664	AllSol	Random	 centromere protein L 	0.56409462301162	1
LOC100576947	-7143.554075	-7143.554075	0	AllSol	Random	 meiosis-specific with OB domain-containing protein 	1	1
LOC100576951	-4988.823263	-4988.543947	0.558632	AllSol	Random	 uncharacterized LOC100576951 	0.45481195622489	1
LOC100576953	-6106.693195	-6106.693195	0	AllSol	Random	 adenylate kinase 8 	1	1
LOC100576956	-3276.931571	-3276.930019	0.003104	AllSol	Random	 metalloproteinase inhibitor 3 	0.955570002453929	1
LOC100576963	-7160.434255	-7160.434255	0	AllSol	Random	 zinc finger and BTB domain-containing protein 14 	1	1
LOC100576965	-6881.834672	-6881.834672	0	AllSol	Random	 uncharacterized LOC100576965 	1	1
LOC100576966	-5969.902169	-5969.902169	0	AllSol	Random	 trichohyalin 	1	1
LOC100576967	-1386.929348	-1386.929348	0	AllSol	Random	 histone deacetylase complex subunit SAP18 	1	1
LOC100576968	-6551.401272	-6551.401272	0	AllSol	Random	 merlin 	1	1
LOC100576972	-11794.347798	-11794.347798	0	AllSol	Random	 uncharacterized LOC100576972 	1	1
LOC100576974	-1812.219665	-1812.21679	0.00575	AllSol	Random	 uncharacterized LOC100576974 	0.939555339243122	1
LOC100576975	-3213.423016	-3213.423016	0	AllSol	Random	 zinc finger protein 567 	1	1
LOC100576982	-2607.709622	-2607.709622	0	AllSol	Random	 uncharacterized LOC100576982 	1	1
LOC100576990	-11875.393364	-11875.393364	0	AllSol	Random	 condensin complex subunit 2 	1	1
LOC100576993	-8429.878505	-8429.878505	0	AllSol	Random	 zinc finger protein 1 	1	1
LOC100576994	-2848.446265	-2848.339563	0.213404	AllSol	Random	 uncharacterized LOC100576994 	0.644112366330247	1
LOC100577000	-2332.291328	-2332.291328	0	AllSol	Random	 eukaryotic translation elongation factor 1 epsilon-1 	1	1
LOC100577003	-1748.270683	-1748.270683	0	AllSol	Random	 uncharacterized LOC100577003 	1	1
LOC100577004	-6536.925295	-6536.925295	0	AllSol	Random	 probable G-protein coupled receptor CG31760 	1	1
LOC100577026	-5138.675573	-5138.675573	0	AllSol	Random	 mitochondrial amidoxime-reducing component 1 	1	1
LOC100577027	-6777.90657	-6777.781682	0.249776	AllSol	Random	 DNA repair protein XRCC1 	0.617232846900245	1
LOC100577028	-1548.891602	-1548.890632	0.00194	AllSol	Random	 insulin-like growth factor I 	0.964868190210775	1
LOC100577030	-4816.842805	-4816.836209	0.013192	AllSol	Random	 QRFP-like peptide receptor 	0.908558918609034	1
LOC100577033	-3536.041467	-3536.041467	0	AllSol	Random	 zinc finger protein 33B 	1	1
LOC100577069	-3846.645946	-3846.484348	0.323196	AllSol	Random	 hairy/enhancer-of-split related with YRPW motif protein 	0.569693266831335	1
LOC100577081	-6296.646931	-6296.646931	0	AllSol	Random	 dihydroorotate dehydrogenase (quinone), mitochondrial 	1	1
LOC100577082	-11175.859353	-11175.859353	0	AllSol	Random	 uncharacterized LOC100577082 	1	1
LOC100577092	-3682.047764	-3681.869706	0.356116	AllSol	Random	 uncharacterized LOC100577092 	0.550671262595349	1
LOC100577094	-4561.809241	-4561.809241	0	AllSol	Random	 uncharacterized LOC100577094 	1	1
LOC100577098	-6315.743833	-6315.743833	0	AllSol	Random	 enolase-phosphatase E1 	1	1
LOC100577110	-5773.112518	-5773.112518	0	AllSol	Random	 uncharacterized LOC100577110 	1	1
LOC100577120	-11627.461042	-11627.461042	0	AllSol	Random	 dual specificity protein kinase TTK 	1	1
LOC100577127	-9407.825802	-9407.825802	0	AllSol	Random	 proline-, glutamic acid- and leucine-rich protein 1 	1	1
