#Each branch site analysis results in a LRT score that is compared to a chi-square distrubtion with 1 degree of freedom to give a pvalue
#This table shows the adjusted pvalues for each lineage per tested gene. NA means the test resulted in convergence failure

Gene	All_Advanced_Eusocial	All_Social	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
LOC410510	1	1	1	1	1	1	1	1	1	1	1	
LOC410575	1	1	1	1	1	1	8.29651160108623e-08	1	1	1	1	
LOC410719	1	1	1	1	1	1	1	1	1	1	1	
LOC410732	1	1	1	1	1	1	0.172808770753117	1	4.69509588571126e-06	1	1	
LOC410812	1	1	1	1	1	1	1	1	0.000121486664767979	1	1	
LOC410860	0.0185521389421209	1	1	1	1	1	1	1	7.53711447870398e-18	1	1	
LOC411115	1	1	1	2.35748696859583e-06	1	1	2.31297070274465e-05	1	1	1	1	
LOC411270	1	1	NA	1	1	NA	1	NA	1	NA	1	
LOC411295	1	1	1	1	1	1	1	1	1	1	1	
LOC411519	1	1	1	1	1	1	1	1	1	1	1	
LOC411566	1	1	1	1	1	1	1	1	1	1	1	
LOC411639	1	1	1	1	1	1	1	1	0.00105361757351137	1	1	
LOC411892	1	1	1	1	1	1	1	1	1	0.012209936487328	1	
LOC411915	1	1	1	1	1	1	0.696520378358408	1	1	1	1	
LOC411980	1	1	1	1	1	1	1	1	1	1	1	
LOC412097	1	1	1	1	1	1	1	1	1	1	1	
LOC412115	1	1	1	1	1	1	1	1	1	1	1	
LOC412235	1	1	1	1	1	1	1	1	1	1	1	
LOC412278	1	1	1	1	1	1	2.12585631343382e-27	1	1	1	1	
LOC412647	1	1	1	1	1	1	1	1	1	1	1	
LOC412687	1	1	1	1	1	0.038561620139166	1	1	1	1	1	
LOC412810	1	1	1	1	1	1	1	1	1	1	1	
LOC412816	1	1	1	1	1	1	1	1	1	1	1	
LOC413119	1	1	1	1	1	1	1	1	0.000538347216464294	1	1	
LOC413126	1	1	1	1	1	1	1	1	1	4.08653145602173e-06	1	
LOC413153	1	1	1	1	1	1	4.70756720813166e-09	1	1	1	1	
LOC413194	1	1	1	0.0169174128744126	1	1	1	0.403608948407139	1	1	0.657699970417761	
LOC413389	1	1	1	1	1	0.000236016751678184	1	1	1	1	1	
LOC413394	1	1	1	1	1	1	1	1	1	1	1	
LOC413411	1	1	1	1	1	1	1	1	3.80541824099672e-09	1	1	
LOC413430	1	1	1	1	1	0.00435508667104182	1	1	1	1	1	
LOC413489	1	1	1	1	1	1	1	1	1	1	1	
LOC413668	1	1	1	1	1	1	1	1	2.67471199891098e-05	1	1	
LOC413742	1	1	1	1	1	1	1	1	1	1	1	
LOC413772	1	1	1	1	1	1	1	1	1	1	1	
LOC413782	1	1	1	1	1	1	1	1	1	1	0.00980199335879318	
LOC413881	1	1	1	1	1	1	1	1	1	1	1	
LOC494509	1	1	1	1	1	1	1	1	1	1	1	
LOC550710	1	1	1	1	1	1	1	1	1	1	1	
LOC550716	1	1	1	1	1	1	0.0175420732330775	1	1	1	1	
LOC550869	1	1	1	1	1	0.181644918553895	1	1	1	1	1	
LOC550884	1	1	1	1	1	1	1	1	1	1	1	
LOC551012	1	1	1	1	1	1	1	1	3.03306458189315e-05	1	0.00898520101943623	
LOC551036	1	1	1	1	1	1	1	1	0.00680899257131882	1	1	
LOC551057	1	1	1	1	1	1	1	1	1	1	1	
LOC551093	1	1	1	1	1	1	1	1	1	1	1	
LOC551100	1	1	1	1	1	1	1	1	1	1	1	
LOC551198	1	1	1	1	1	1	1	1	1	1	1	
LOC551290	1	1	1	1	1	1	0.130349618348836	1	1	0.327273708791468	1	
LOC551314	1	1	1	1	1	1	1	1	1	1	1	
LOC551384	1	1	1	1	1	1	1	1	1	1	1	
LOC551467	1	1	1	1	1	1	1	1	1	1	1	
LOC551500	1	1	1	1	1	1	1	1	1.01945090379646e-12	1	1	
LOC551517	1	1	1	1	1	1	1	1	1.32882506045055e-09	1	1	
LOC551554	1	1	1	1	1	1	1	1	1.8090980993822e-08	1	1	
LOC551608	1	1	1	1	1	1	1	1	4.11325532322804e-06	1	1	
LOC551618	1	1	1	1	1	1	1	1	1	1	1	
LOC551664	1	1	1	1	1	1	1	1	1	1	1	
LOC551668	1	1	1	1	1	5.558740261984e-11	1	3.35758341896156e-06	1	1	1	
LOC551721	1	1	1	1	1	1	1	1	1	1	1	
LOC551819	1	1	1	1	1	1	1	1	1	1	1	
LOC551922	1	1	1	1	1	1	1	1	1	1	1	
LOC551961	1	1	1	1	1	1	1	1	1	1	1	
LOC551969	1	1	1	1	1	1	1	1	1	1	1	
LOC551970	1	1	1	1	1	1	1	1	1	1	1	
LOC551980	1	1	1	1	1	0.810978149665951	1	1	1	1	1	
LOC552036	1	1	1	1	1	1	1	1	1	1	1	
LOC552062	1	1	1	1	1	1	1	1	1	1	1	
LOC552091	1	1	1	1	1	1	0.120567229359165	1	1	1	1	
LOC552138	1	1	1	1	1	1	1	1	9.95265802829846e-08	1	1	
LOC552144	1	1	1	1	1	1	1	1	1	1	1	
LOC552150	1	1	1	1	1	1	1	1	1	1	1	
LOC552197	1	1	1	1	1	1	1	1	1	1	1	
LOC552247	1	1	1	1	1	1	1	1	1	1	1	
LOC552249	1	1	1	1	1	0.425888773685983	0.47809285916458	1	1	0.0341675401296867	1	
LOC552315	0.0119193958124599	1	1	1	1	3.68021270917216e-19	1	1	1.2940249734089e-12	1	1	
LOC552410	1	1	1	1	1	1	1	1	1	1	1	
LOC552419	1	1	1	1	1	1	1	1	1	1	1	
LOC552476	1	1	1	1	1	1	1	1	1	1	1	
LOC552520	1	1	1	1	1	0.000221504970010785	1	1	1	1	1	
LOC552528	1	1	1	1	1	1	1	1	1	1	1	
LOC552549	1	1	1	1	1	1	1	1	1	1	1	
LOC552571	1	1	1	1	1	1	1	1	1	4.54191945328404e-14	1	
LOC552720	1	1	1	1	1	0.515024400189444	1	1	1	1	1	
LOC552721	1	1	1	1	1	1	1	1	1.43572334475787e-10	1	1	
LOC552756	1	1	1	1	1	1	1	1	1	1	1	
LOC552766	1	1	1	1	1	1	1	1	1	1	1	
LOC724169	1	1	1	1	1	1	1	1	1	1	1	
LOC724188	1	1	1	1	1	1	1	1	1	1	1	
LOC724291	1	1	1	1	1	1	1	1	1	1	1	
LOC724303	1	1	1	1	1	1	1	1	1	1	1	
LOC724386	1	1	1	1	1	1	1	1	1	1	1	
LOC724408	1	1	1	1	1	1	1	1	1	1	1	
LOC724703	1	1	1	1	1	1	1	1	1	1	1	
LOC724930	1	1	1	1	1	1	1	0.651122160183043	1	1	1	
LOC725111	1	1	1	1	1	0.209247073718537	1	1	1	1	1	
LOC725178	1	1	1	1	1	1	0.576930682553786	1	1	1	1	
LOC725184	1	1	1	1	1	1	1	1	1	1	1	
LOC725368	1	1	1	1	1	1	1	1	0.430845917635273	1	1	
LOC725374	1	1	1	1	1	1	1	1	1	1	1	
LOC725388	1	1	1	1	1	1	1	1	1	1	1	
LOC725512	1	1	1	1	1	0.141605268047321	1	1	1	1	1	
LOC725551	1	1	1	1	1	1	1	1	1	1	1	
LOC725571	1	1	1	1	1	1	1	1	3.95493177747211e-06	1	1	
LOC725661	1	1	1	1	1	1	1	1	1	1	1	
LOC725688	1	1	1	1	1	1	1	1	1	1	1	
LOC725756	1	1	1	1	1	1	1	1	8.18892785820808e-11	1	1	
LOC725770	1	1	1	1	1	1	1	1	1	1	1	
LOC725899	1	1	1	1	1	1	1	1	1	1	1	
LOC726002	1	1	1	1	1	0.440592194639458	1	1	1	1	1	
LOC726167	1	1	1	1	1	1	8.81390051720107e-11	0.0466437558186627	5.77823712912546e-08	0.00124327620887236	1	
LOC726172	1	1	1	1	1	1	1	1	1	1	1	
LOC726187	1	1	1	1	1	1	1	1	0.000986616241049106	1	1	
LOC726197	1	1	1	1	1	1	1	1	1	1	1	
LOC726289	1	1	1	1	1	1	1	1	1	1	1	
LOC726497	1	1	1	1	1	1	1	1	1	1	1	
LOC726500	1	1	1	1	1	1	1	1	1	1	1	
LOC726562	1	1	1	1	1	1	1	1	1	1	1	
LOC726637	1	1	1	1	1	1	1	1	1	1	1	
LOC726721	1	1	1	1	1	1	1	1	1	1	1	
LOC726760	1	1	1	1	1	1	1	1	1	1	1	
LOC726947	1	1	1	1	1	1	1.87400482915317e-09	1	2.50371488832479e-34	1	1	
LOC726958	1	1	1	1	1	1	1	1	1	1	1	
LOC727146	1	1	1	1	1	1	1	1	1	1	1	
LOC727396	1	1	1	1	1	0.0208269593827022	1	1	1	1	1	
LOC727634	1	1	0.00339433050783705	1	1	1	1	1.12668104586902e-14	1	1	0.0448486197282468	
NOS	1	1	1	1	1	1	1	1	1	1	1	
PGRP-S3	1	1	1	1	1	1	1	1	1	1	1	
PPO	1	1	1	1	1	1	1	1	1	1	1	
Pten	1	1	1	1	1	1	1	1	1	1	1	
Tspan6	1	1	1	1	0.141988806635477	1	0.000984943269103738	0.12123436862587	1	1	1	
Vha16	1	0.763865427926968	1	1	1	1	1	1	1	1	1	
