Gene	dN.dS	AlnLength	GeneAverage	Function	Codon	GCProp
LOC100576220	0.21848	486	41.7127272727273	NA	162	0.417127272727273
LOC100576221	0.12619	1287	34.8545454545455	NA	429	0.348545454545454
LOC100576222	0.05806	732	50.8827272727273	NA	244	0.508827272727273
LOC100576226	0.12552	549	32.3081818181818	NA	183	0.323081818181818
LOC100576227	0.1841	2436	30.3490909090909	NA	812	0.303490909090909
LOC100576247	0.03663	1734	59.9509090909091	NA	578	0.599509090909091
LOC100576249	0.11437	1470	51.2	NA	490	0.512
LOC100576261	0.06875	1275	30.4381818181818	NA	425	0.304381818181818
LOC100576266	0.04129	1875	42.4245454545455	NA	625	0.424245454545455
LOC100576270	0.12165	369	34.5645454545455	NA	123	0.345645454545455
LOC100576272	0.07471	888	32.4327272727273	NA	296	0.324327272727273
LOC100576273	0.11995	1941	34.4145454545455	NA	647	0.344145454545455
LOC100576274	0.10825	927	30.97	NA	309	0.3097
LOC100576284	0.26749	945	48.2627272727273	NA	315	0.482627272727273
LOC100576293	0.06078	1368	47.9672727272727	NA	456	0.479672727272727
LOC100576298	0.15754	939	30.1781818181818	NA	313	0.301781818181818
LOC100576300	0.09753	1533	46.2127272727273	NA	511	0.462127272727273
LOC100576304	0.1072	1320	48.5954545454545	NA	440	0.485954545454545
LOC100576307	0.07232	900	52.1227272727273	NA	300	0.521227272727273
LOC100576320	0.13783	561	44.45	NA	187	0.4445
LOC100576321	0.13011	5004	40.0554545454545	NA	1668	0.400554545454545
LOC100576333	0.06871	1041	43.9263636363636	NA	347	0.439263636363636
LOC100576336	0.08849	543	43.2118181818182	NA	181	0.432118181818182
LOC100576337	0.18075	531	29.4481818181818	NA	177	0.294481818181818
LOC100576346	0.3136	3270	31.2490909090909	NA	1090	0.312490909090909
LOC100576348	0.19877	696	31.74	NA	232	0.3174
LOC100576349	0.05738	672	39.0145454545455	NA	224	0.390145454545455
LOC100576355	0.09481	588	55.3318181818182	NA	196	0.553318181818182
LOC100576359	0.00877	1785	35.7936363636364	NA	595	0.357936363636364
LOC100576361	0.17541	525	46.2681818181818	NA	175	0.462681818181818
LOC100576366	0.13343	1230	31.0045454545455	NA	410	0.310045454545455
LOC100576369	0.02549	666	57.6172727272727	NA	222	0.576172727272727
LOC100576374	0.12583	3294	29.5436363636364	NA	1098	0.295436363636364
LOC100576381	0.15901	477	39.0872727272727	NA	159	0.390872727272727
LOC100576383	0.04129	1719	36.2154545454545	NA	573	0.362154545454545
LOC100576384	0.03561	4122	49.9218181818182	NA	1374	0.499218181818182
LOC100576392	0.12158	1224	54.8954545454545	NA	408	0.548954545454545
LOC100576400	0.13218	705	34.4290909090909	NA	235	0.344290909090909
LOC100576402	0.0781	6441	34.6781818181818	NA	2147	0.346781818181818
LOC100576411	0.08979	1899	35.66	NA	633	0.3566
LOC100576414	0.20608	1326	45.5236363636364	NA	442	0.455236363636364
LOC100576422	0.18003	549	34.3754545454545	NA	183	0.343754545454545
LOC100576432	0.10741	2229	36.2445454545455	NA	743	0.362445454545455
LOC100576433	0.04129	1683	35.5227272727273	NA	561	0.355227272727273
LOC100576434	0.16914	504	47.8163636363636	NA	168	0.478163636363636
LOC100576435	0.05796	1728	47.7118181818182	NA	576	0.477118181818182
LOC100576436	0.15628	1464	29.8190909090909	NA	488	0.298190909090909
LOC100576438	0.05732	636	44.4109090909091	NA	212	0.444109090909091
LOC100576439	0.16204	234	29.7972727272727	NA	78	0.297972727272727
LOC100576447	0.05696	348	49.9472727272727	NA	116	0.499472727272727
LOC100576453	0.11438	234	29.3709090909091	NA	78	0.293709090909091
LOC100576460	0.10651	609	40.2	NA	203	0.402
LOC100576461	0.24772	1254	48.1154545454545	NA	418	0.481154545454545
LOC100576471	0.14654	774	56.4836363636364	NA	258	0.564836363636364
LOC100576472	0.06752	3042	36.0554545454545	NA	1014	0.360554545454545
LOC100576487	0.13738	498	34.6681818181818	NA	166	0.346681818181818
LOC100576492	0.22434	102	30.9245454545455	NA	34	0.309245454545455
LOC100576497	0.12522	1887	45.3236363636364	NA	629	0.453236363636364
LOC100576506	0.10107	519	31.7754545454545	NA	173	0.317754545454545
LOC100576512	0.09399	201	50.9727272727273	NA	67	0.509727272727273
LOC100576515	0.05488	393	35.2990909090909	NA	131	0.352990909090909
LOC100576527	0.08126	1506	38.6563636363636	Signalling	502	0.386563636363636
LOC100576528	0.07267	291	58.17	NA	97	0.5817
LOC100576531	0.06287	531	30.6790909090909	NA	177	0.306790909090909
LOC100576532	0.31215	378	34.9445454545455	NA	126	0.349445454545455
LOC100576542	0.0574	228	33.5318181818182	NA	76	0.335318181818182
LOC100576543	0.20349	564	33.4936363636364	NA	188	0.334936363636364
LOC100576547	0.04246	1803	49.77	NA	601	0.4977
LOC100576559	0.14315	615	32.9781818181818	NA	205	0.329781818181818
LOC100576565	0.13021	768	31.4145454545455	NA	256	0.314145454545455
LOC100576571	0.05373	321	33.1081818181818	NA	107	0.331081818181818
LOC100576572	0.05654	1335	32.4354545454545	NA	445	0.324354545454545
LOC100576586	0.02598	2031	38.5163636363636	NA	677	0.385163636363636
LOC100576592	0.21388	486	26.3936363636364	NA	162	0.263936363636364
LOC100576600	0.04303	2100	34.2790909090909	NA	700	0.342790909090909
LOC100576608	0.17049	855	28.6436363636364	NA	285	0.286436363636364
LOC100576610	0.34425	1344	29.9436363636364	NA	448	0.299436363636364
LOC100576615	0.16806	1407	46.8172727272727	NA	469	0.468172727272727
LOC100576621	0.04904	201	34.0572727272727	NA	67	0.340572727272727
LOC100576625	0.19127	2607	33.6263636363636	NA	869	0.336263636363636
LOC100576640	0.32165	2784	47.5772727272727	NA	928	0.475772727272727
LOC100576646	0.07574	705	38.6845454545455	NA	235	0.386845454545455
LOC100576647	0.12084	1644	33.0063636363636	NA	548	0.330063636363636
LOC100576649	0.10496	1611	29.6772727272727	NA	537	0.296772727272727
LOC100576662	0.40934	213	48.2709090909091	NA	71	0.482709090909091
LOC100576666	0.05814	1896	47.8009090909091	NA	632	0.478009090909091
LOC100576667	0.06403	1509	36.9009090909091	NA	503	0.369009090909091
LOC100576669	0.18527	1128	28.99	NA	376	0.2899
LOC100576671	0.11481	2160	53.8054545454545	NA	720	0.538054545454545
LOC100576677	0.17502	918	28.7372727272727	NA	306	0.287372727272727
LOC100576688	0.12702	306	46.8509090909091	NA	102	0.468509090909091
LOC100576702	0.19721	363	53.0927272727273	NA	121	0.530927272727273
LOC100576703	0.12092	2199	48.53	NA	733	0.4853
LOC100576708	0.16471	1068	30.3536363636364	NA	356	0.303536363636364
LOC100576717	0.11498	3594	37.4181818181818	NA	1198	0.374181818181818
LOC100576730	0.08161	258	48.3090909090909	NA	86	0.483090909090909
LOC100576733	0.20353	459	36.5036363636364	NA	153	0.365036363636364
LOC100576735	0.15629	534	34.1327272727273	NA	178	0.341327272727273
LOC100576742	0.17891	2244	44.4127272727273	Receptor	748	0.444127272727273
LOC100576744	0.16895	1086	33.0827272727273	NA	362	0.330827272727273
LOC100576748	0.22429	360	42.2981818181818	NA	120	0.422981818181818
LOC100576754	0.1966	2391	30.3181818181818	NA	797	0.303181818181818
LOC100576765	0.09479	561	33.43	NA	187	0.3343
LOC100576768	0.06905	1701	37.38	NA	567	0.3738
LOC100576770	0.19109	852	31.7754545454545	NA	284	0.317754545454545
LOC100576774	0.1913	1611	28.4618181818182	NA	537	0.284618181818182
LOC100576775	0.13464	1905	29.3427272727273	NA	635	0.293427272727273
LOC100576784	0.02297	495	37.9245454545455	NA	165	0.379245454545454
LOC100576789	0.23292	1209	32.8672727272727	NA	403	0.328672727272727
LOC100576794	0.00784	900	37.1209090909091	NA	300	0.371209090909091
LOC100576795	0.03076	981	40.7018181818182	NA	327	0.407018181818182
LOC100576796	0.16302	243	40.8145454545455	NA	81	0.408145454545455
LOC100576799	0.13272	2952	46.0554545454545	NA	984	0.460554545454545
LOC100576801	0.15496	522	38.8363636363636	NA	174	0.388363636363636
LOC100576805	0.03987	672	53.2990909090909	NA	224	0.532990909090909
LOC100576812	0.1796	672	31.25	NA	224	0.3125
LOC100576817	0.03163	2658	41.1181818181818	NA	886	0.411181818181818
LOC100576818	0.09635	972	33.3063636363636	NA	324	0.333063636363636
LOC100576819	0.14346	1221	33.4381818181818	Signalling	407	0.334381818181818
LOC100576826	0.01496	885	50.2718181818182	NA	295	0.502718181818182
LOC100576829	0.06798	2313	39.1609090909091	NA	771	0.391609090909091
LOC100576843	0.2058	1194	46.3227272727273	NA	398	0.463227272727273
LOC100576847	0.23672	309	36.4518181818182	NA	103	0.364518181818182
LOC100576848	0.1365	1011	34.43	NA	337	0.3443
LOC100576850	0.06868	1119	34.6336363636364	NA	373	0.346336363636364
LOC100576855	0.1246	864	40.52	NA	288	0.4052
LOC100576862	0.16792	1017	28.7654545454545	NA	339	0.287654545454545
LOC100576863	0.18809	996	31.57	NA	332	0.3157
LOC100576864	0.14315	3006	34.0945454545455	NA	1002	0.340945454545455
LOC100576866	0.0309	1650	38.6109090909091	NA	550	0.386109090909091
LOC100576872	0.13696	951	31.4990909090909	NA	317	0.314990909090909
LOC100576876	0.17777	2523	41.9981818181818	NA	841	0.419981818181818
LOC100576879	0.03719	4353	37.2154545454545	NA	1451	0.372154545454545
LOC100576894	0.19227	1389	45.6490909090909	NA	463	0.456490909090909
LOC100576908	0.06336	3318	43.3281818181818	NA	1106	0.433281818181818
LOC100576912	0.09225	1191	54.7527272727273	NA	397	0.547527272727273
LOC100576915	0.1853	1584	37.2472727272727	NA	528	0.372472727272727
LOC100576919	0.11835	3330	45.2354545454545	NA	1110	0.452354545454545
LOC100576930	0.18068	531	30.5618181818182	NA	177	0.305618181818182
LOC100576934	0.1231	783	46.9418181818182	NA	261	0.469418181818182
LOC100576938	0.24165	774	29.9036363636364	NA	258	0.299036363636364
LOC100576947	0.13718	1218	42.3063636363636	NA	406	0.423063636363636
LOC100576951	0.16979	810	30.3690909090909	NA	270	0.303690909090909
LOC100576953	0.15886	987	41.0145454545455	NA	329	0.410145454545455
LOC100576956	0.18134	504	50.0890909090909	NA	168	0.500890909090909
LOC100576963	0.0716	1365	45.6481818181818	NA	455	0.456481818181818
LOC100576965	0.04296	1407	55.9354545454545	NA	469	0.559354545454545
LOC100576966	0.05303	1359	33.4390909090909	NA	453	0.334390909090909
LOC100576967	0.00468	402	36.0481818181818	NA	134	0.360481818181818
LOC100576968	0.00396	1764	42.8672727272727	NA	588	0.428672727272727
LOC100576972	0.05156	2805	41.6081818181818	NA	935	0.416081818181818
LOC100576974	0.07452	354	36.8509090909091	NA	118	0.368509090909091
LOC100576975	0.04389	684	32.3627272727273	NA	228	0.323627272727273
LOC100576982	0.22988	354	49.4090909090909	NA	118	0.494090909090909
LOC100576990	0.20331	1827	30.9145454545455	NA	609	0.309145454545455
LOC100576993	0.1155	2130	53.5163636363636	NA	710	0.535163636363636
LOC100576994	0.19191	447	47.3254545454545	NA	149	0.473254545454545
LOC100577000	0.08957	477	33.5054545454545	NA	159	0.335054545454545
LOC100577002	0.18675	1314	44.6863636363636	NA	438	0.446863636363636
LOC100577003	0.24507	240	41.8209090909091	NA	80	0.418209090909091
LOC100577004	0.05526	1569	44.9790909090909	NA	523	0.449790909090909
LOC100577019	0.02354	114	47.3690909090909	NA	38	0.473690909090909
LOC100577026	0.11548	813	47.3781818181818	NA	271	0.473781818181818
LOC100577027	0.09958	1227	34.3036363636364	NA	409	0.343036363636364
LOC100577028	0.09042	279	56.5654545454545	NA	93	0.565654545454545
LOC100577030	0.08436	855	49.8372727272727	NA	285	0.498372727272727
LOC100577033	0.05828	951	34.5472727272727	NA	317	0.345472727272727
LOC100577050	0.06696	1770	37.2636363636364	NA	590	0.372636363636364
LOC100577053	0.1004	1641	40.0109090909091	NA	547	0.400109090909091
LOC100577069	0.06882	762	59.6872727272727	NA	254	0.596872727272727
LOC100577081	0.1021	1035	40.3327272727273	NA	345	0.403327272727273
LOC100577082	0.14672	1872	41.4190909090909	NA	624	0.414190909090909
LOC100577092	0.29433	504	47.6918181818182	NA	168	0.476918181818182
LOC100577094	0.10123	909	33.09	NA	303	0.3309
LOC100577098	0.17437	912	52.1527272727273	NA	304	0.521527272727273
LOC100577110	0.03752	1206	53.8663636363636	NA	402	0.538663636363636
LOC100577120	0.1573	2061	33.2454545454545	NA	687	0.332454545454545
LOC100577127	0.1712	1542	29.8190909090909	NA	514	0.298190909090909
LOC100577128	0.27308	282	31.4318181818182	NA	94	0.314318181818182
LOC100577135	0.19318	996	48.4327272727273	NA	332	0.484327272727273
LOC100577136	0.17919	978	35.3590909090909	NA	326	0.353590909090909
LOC100577140	0.17135	1380	43.8609090909091	NA	460	0.438609090909091
LOC100577147	0.2416	1269	49.2654545454545	NA	423	0.492654545454545
LOC100577149	0.09156	906	44.9109090909091	NA	302	0.449109090909091
LOC100577174	0.05792	3177	51.2236363636364	NA	1059	0.512236363636364
LOC100577180	0.11666	1041	40.7118181818182	NA	347	0.407118181818182
LOC100577192	0.16883	648	32.2381818181818	NA	216	0.322381818181818
LOC100577194	0.18902	1803	30.0872727272727	NA	601	0.300872727272727
LOC100577198	0.09294	3036	50.8063636363636	NA	1012	0.508063636363636
LOC100577213	0.07929	495	54.8036363636364	NA	165	0.548036363636364
LOC100577231	0.07091	2790	50.7209090909091	NA	930	0.507209090909091
LOC100577237	0.07027	1239	45.0518181818182	NA	413	0.450518181818182
LOC100577239	0.09087	1371	50.8790909090909	NA	457	0.508790909090909
LOC100577253	0.29438	621	35.9845454545455	NA	207	0.359845454545455
LOC100577263	0.03129	957	38.0936363636364	NA	319	0.380936363636364
LOC100577268	0.17432	312	51.8636363636364	NA	104	0.518636363636364
LOC100577272	0.15738	3933	39.1390909090909	NA	1311	0.391390909090909
LOC100577273	0.02771	1332	52.4436363636364	NA	444	0.524436363636364
LOC100577280	0.07979	5463	46.1581818181818	NA	1821	0.461581818181818
LOC100577293	0.10981	396	28.8818181818182	NA	132	0.288818181818182
LOC100577296	0.10245	813	37.6836363636364	NA	271	0.376836363636364
LOC100577300	0.07959	861	31.1163636363636	NA	287	0.311163636363636
LOC100577308	0.06338	1707	32.3163636363636	NA	569	0.323163636363636
LOC100577324	0.2458	759	34.47	NA	253	0.3447
LOC100577325	0.18036	525	45.1763636363636	NA	175	0.451763636363636
LOC100577341	0.10934	282	33.5263636363636	NA	94	0.335263636363636
LOC100577342	0.12175	780	39.8954545454545	NA	260	0.398954545454546
LOC100577344	0.18985	549	35.5354545454545	NA	183	0.355354545454545
LOC100577348	0.09232	1596	54.3581818181818	NA	532	0.543581818181818
LOC100577362	0.08933	501	51.0254545454545	NA	167	0.510254545454545
LOC100577363	0.04752	447	46.7763636363636	NA	149	0.467763636363636
LOC100577369	0.10953	2271	35.2790909090909	NA	757	0.352790909090909
LOC100577376	0.09601	3273	49.0881818181818	NA	1091	0.490881818181818
LOC100577377	0.24711	1053	47.5690909090909	NA	351	0.475690909090909
LOC100577378	0.09039	1107	36.2245454545455	NA	369	0.362245454545455
LOC100577382	0.15822	1653	35.6154545454545	NA	551	0.356154545454545
LOC100577385	0.11435	1179	53.8290909090909	NA	393	0.538290909090909
LOC100577386	0.10481	1614	32.7981818181818	NA	538	0.327981818181818
LOC100577393	0.03282	3831	50.3581818181818	NA	1277	0.503581818181818
LOC100577397	0.05336	630	54.7345454545455	NA	210	0.547345454545455
LOC100577401	0.17376	2886	32.8672727272727	NA	962	0.328672727272727
LOC100577409	0.06599	1863	54.0618181818182	NA	621	0.540618181818182
LOC100577410	0.08341	687	44.5272727272727	NA	229	0.445272727272727
LOC100577418	0.17594	459	41.5927272727273	NA	153	0.415927272727273
LOC100577423	0.09908	1113	31.0136363636364	NA	371	0.310136363636364
LOC100577430	0.28967	1521	32.5872727272727	NA	507	0.325872727272727
LOC100577449	0.18208	1971	31.9736363636364	NA	657	0.319736363636364
LOC100577450	0.12579	792	31.0372727272727	NA	264	0.310372727272727
LOC100577451	0.1713	621	35.3390909090909	NA	207	0.353390909090909
LOC100577452	0.13474	1728	38.5163636363636	NA	576	0.385163636363636
LOC100577454	0.09642	1476	31.59	NA	492	0.3159
LOC100577472	0.0247	1068	52.7918181818182	NA	356	0.527918181818182
LOC100577481	0.08538	1632	30.3027272727273	NA	544	0.303027272727273
LOC100577493	0.11538	1788	33.8672727272727	NA	596	0.338672727272727
LOC100577499	0.17398	1164	29.9181818181818	NA	388	0.299181818181818
LOC100577501	0.05785	5313	33.9081818181818	NA	1771	0.339081818181818
LOC100577506	0.23707	795	28.9518181818182	NA	265	0.289518181818182
LOC100577515	0.10002	1719	50.3618181818182	NA	573	0.503618181818182
LOC100577516	0.17221	945	37.0563636363636	NA	315	0.370563636363636
LOC100577520	0.0769	1173	33.2709090909091	NA	391	0.332709090909091
LOC100577525	0.10945	2127	36.0636363636364	NA	709	0.360636363636364
LOC100577527	0.24781	423	47.41	NA	141	0.4741
LOC100577530	0.06533	1728	53.7836363636364	NA	576	0.537836363636364
LOC100577533	0.24758	723	31.8127272727273	NA	241	0.318127272727273
LOC100577546	0.10793	1008	34.8290909090909	NA	336	0.348290909090909
LOC100577561	0.07422	1572	34.6463636363636	NA	524	0.346463636363636
LOC100577575	0.17628	723	34.5809090909091	NA	241	0.345809090909091
LOC100577576	0.02275	729	56.3536363636364	NA	243	0.563536363636364
LOC100577578	0.02748	1788	48.6063636363636	NA	596	0.486063636363636
LOC100577579	0.03726	558	35.32	NA	186	0.3532
LOC100577580	0.14957	924	32.4981818181818	NA	308	0.324981818181818
LOC100577596	0.13764	546	40.1927272727273	NA	182	0.401927272727273
LOC100577600	0.13145	909	54.8990909090909	NA	303	0.548990909090909
LOC100577606	0.213	702	30.6136363636364	NA	234	0.306136363636364
LOC100577610	0.01061	573	35.4281818181818	NA	191	0.354281818181818
LOC100577623	0.10228	1005	34.2190909090909	NA	335	0.342190909090909
LOC100577635	0.10925	1065	52.7445454545455	NA	355	0.527445454545455
LOC100577638	0.08091	843	50.4590909090909	NA	281	0.504590909090909
LOC100577644	0.17564	540	29.4290909090909	NA	180	0.294290909090909
LOC100577651	0.24964	717	28.0327272727273	NA	239	0.280327272727273
LOC100577656	0.09177	1206	57.1090909090909	NA	402	0.571090909090909
LOC100577669	0.10754	2733	51.8345454545455	NA	911	0.518345454545455
LOC100577673	0.26462	963	29.6045454545455	NA	321	0.296045454545455
LOC100577675	0.0815	2880	35.4109090909091	NA	960	0.354109090909091
LOC100577676	0.12461	702	31.3909090909091	NA	234	0.313909090909091
LOC100577680	0.1734	987	50.7990909090909	NA	329	0.507990909090909
LOC100577687	0.13789	1218	43.35	NA	406	0.4335
LOC100577689	0.12002	1989	31.5172727272727	NA	663	0.315172727272727
LOC100577690	0.18129	357	30.1990909090909	Signalling	119	0.301990909090909
LOC100577694	0.14284	1122	50.2927272727273	NA	374	0.502927272727273
LOC100577696	0.02136	600	52.8927272727273	NA	200	0.528927272727273
LOC100577697	0.15926	357	52.4563636363636	NA	119	0.524563636363636
