Gene	All_Advanced_Eusocial	All_Social	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
LOC100576100	1	1	1	1	1	1	1	1	1	1	1
LOC100576104	1	1	1	1	1	1	1	1	1	1	1
LOC100576110	1	1	1	1	1	1	1	1	1	1	1
LOC100576116	1	1	1	1	1	1	1	1	1	1	1
LOC100576128	1	1	1	1	1	1	1	1	1	1	1
LOC100576130	1	1	1	1	1	1	1	1	0.132062111890813	1	1
LOC100576131	1	1	1	1	1	1	1	1	1	1	1
LOC100576132	1	1	1	1	1	1	1	1	1	1	1
LOC100576134	1	1	1	1	1	1	0.269656630963159	1	1	1	1
LOC100576147	1	1	1	1	1	1	1	1	1	1	1
LOC100576152	1	1	1	1	1	1	1	1	1	1	1
LOC100576162	1	1	1	1	1	1	1	1	0.041386912248123	1	0.0341155408571186
LOC100576163	1	1	1	1	1	1	1	1	1	1	1
LOC100576165	1	1	1	1	1	1	1	1	1	1	7.58202894318654e-06
LOC100576167	1	1	1	1	1	1	1	1	1	1	1
LOC100576169	1	1	1	1	1	1	1	1	1	1	1
LOC100576174	1	1	1	1	1	1	1	1	1	1	1
LOC100576176	1	1	1	1	1	1	1	1	1	1	1
LOC100576182	1	1	1	1	1	1	1	1	1	1	1
LOC100576194	1	1	1	1	1	1	1	1	1	1	1
LOC100576198	1	1	1	1	1	1	0.429649725971751	0.00532655393577661	1	1	0.162565287816138
LOC100576215	1	1	1	1	1	1	1	1	1	1	1
LOC100576220	1	1	1	1	1	1	0.0623281363982379	1	1	1	1
LOC100576221	1	1	1	1	1	1	1	1	1	1	1
LOC100576222	1	1	1	1	1	1	1	1	1	1	1
LOC100576226	1	1	1	1	1	1	1	1	1	1	1
LOC100576227	1	1	1	1	1	1	1	1	1	1	1
LOC100576247	1	1	1	1	1	1	1	1	1	1	1
LOC100576249	1	1	1	1	1	1	1	1	1	1	1
LOC100576261	1	1	1	1	1	1	1	1	1	1	0.704134881746895
LOC100576266	1	1	1	1	1	1	1	1	1	1	1
LOC100576270	1	1	1	1	1	1	1	1	1	1	1
LOC100576272	1	1	1	1	1	1	1	1	1	1	1
LOC100576273	1	1	1	1	1	1	1	1	1	1	1
LOC100576274	1	1	1	1	1	1	1	1	1	1	1
LOC100576284	1	1	1	1	1	1	1	1	1	1	1
LOC100576293	1	1	1	1	1	1	1	1	1	1	1
LOC100576298	1	1	1	1	1	1	1	1	1	1	1
LOC100576300	1	1	1	1	1	1	1	1	1	1	1
LOC100576304	1	1	1	1	1	1	1	1	1	1	1
LOC100576307	1	1	1	1	1	1	1	1	1	1	1
LOC100576320	1	1	1	1	1	1	1	1	0.229055888447323	1	1
LOC100576321	1	1	1	1	1	1	0.0471386623388668	1	4.06801172197183e-15	1	1
LOC100576333	1	1	1	1	1	1	1	1	1	0.198316846020618	1
LOC100576336	1	1	1	1	1	1	1	1	1	1	1
LOC100576346	1	1	1	1	1	2.05243163631614e-05	5.4105000280908e-06	0.332725501630387	9.6673521145924e-06	0.0035704132360375	0.105245346000467
LOC100576348	1	1	1	1	1	1	1	1	1	1	1
LOC100576349	1	1	1	1	1	1	1	1	1	1	1
LOC100576355	1	1	1	1	1	1	1	1	1	1	1
LOC100576359	1	1	1	1	1	1	1	1	0.000114107727306849	1	1
LOC100576361	1	1	1	1	1	1	1	1	0.0367089701971186	1	1
LOC100576366	1	1	1	1	1	1	1	1	1	1	1
LOC100576369	1	1	1	0.00481590704558611	1	1	1	1	1	0.331143860628901	1
LOC100576374	1	1	1	1	1	0.00592701161162895	1	1	0.000483481770903162	1	1
LOC100576381	1	1	1	1	1	1	1	1	1	1	1
LOC100576384	1	1	1	1	1	1	1	1	0.00103388526203022	1	1
LOC100576392	1	1	1	1	1	1	1	1	1	1	1
LOC100576400	1	1	1	1	1	1	1	1	1	1	0.765131192577395
LOC100576402	1	1	1	1	1	1	0.751950601002962	1	1	6.11532058298986e-09	1
LOC100576414	1	1	1	1	1	1	1	1	1	1	1
LOC100576422	1	1	1	1	1	1	1	1	1	1	1
LOC100576432	1	1	1	1	1	1	1	1	1	1	1
LOC100576433	1	1	1	1	1	0.012199972938914	1	1	1	1	1
LOC100576434	1	1	1	1	1	1	1	1	0.319615306621042	1	1
LOC100576435	1	1	1	1	1	1	1	1	1	1	1
LOC100576436	1	1	1	1	1	1	1	1	1	1	1
LOC100576438	1	1	1	1	1	0.714283987019242	1	1	1	1	1
LOC100576439	1	1	1	0.157837725326423	1	1	1	1	1	1	1
LOC100576447	1	1	1	1	1	1	1	1	1	1	1
LOC100576453	1	1	1	1	1	1	1	1	1	1	1
LOC100576460	1	1	1	1	1	1	1	1	1	0.99196848884534	1
LOC100576461	1	1	1	1	1	0.0358572872802853	1	1	1	1	1
LOC100576471	1	1	1	1	NA	1	1	1	1	1	1
LOC100576472	1	1	1	1	1	4.81989957674057e-10	1	1	0.0495064359828759	1	1
LOC100576487	1	1	1	1	1	1	1	1	0.755586879705118	1	1
LOC100576492	1	1	1	1	1	1	1	1	1	1	1
LOC100576497	1	1	1	1	1	1	1	1	7.72823388248507e-16	1	1
LOC100576506	1	1	1	1	1	1	0.332728264921968	1	1	1	1
LOC100576512	1	1	1	1	1	1	6.05730199038792e-05	1	0.184753479445411	1	1
LOC100576515	1	1	1	1	1	1	1	1	1	1	1
LOC100576528	1	1	1	1	1	1	1	1	1	1	1
LOC100576531	1	1	1	1	1	1	1	1	1	1	1
LOC100576532	1	1	1	1	1	0.955908808260413	1	1	1	0.678439442063355	1
LOC100576542	1	1	1	1	1	1	1	1	1	1	1
LOC100576543	1	1	1	1	1	1	1	1	4.44033480735374e-05	1	1
LOC100576547	1	1	1	1	1	1	1	1	1	1	1
LOC100576559	1	1	1	1	1	1	1	1	1	1	1
LOC100576565	1	1	1	1	1	1	1	1	1	1	1
LOC100576571	1	1	1	1	1	1	1	1	1	1	1
LOC100576572	1	1	1	1	1	1	1	1	1	1	1
LOC100576586	1	1	1	1	1	1	1	1	1	1	1
LOC100576592	1	0.24676835686529	1	1	1	1	1	1	1	1	1
LOC100576600	1	1	1	1	1	1	1	1	1	1	1
LOC100576608	1	1	1	1	1	1	1	1	7.73143615080008e-06	1	1
LOC100576610	1	1	1	1	1	1	1	0.00164801972652853	1	1	1
LOC100576615	1	1	1	1	NA	1	1	1	0.000698606215396046	1	1
LOC100576621	1	1	1	1	1	1	1	1	1	1	1
LOC100576625	1	1	1	1	1	1	1	1	1	1	1
LOC100576640	1	1	1	5.12432783273285e-07	1	1	1	1	0.349769604924262	0.0047851497233519	0.00305364788226639
LOC100576647	1	1	1	1	1	1	1	1	1	1	1
LOC100576662	1	1	1	1	1	1	1	1	1	1	1
LOC100576666	1	1	1	1	1	1	1	0.00735884405205605	0.00880731041342723	1	1
LOC100576667	1	1	1	1	1	1	6.79749857323395e-07	1	1	1	1
LOC100576669	1	1	1	1	1	1	0.323047918616092	1	1	1	1
LOC100576671	1	1	1	1	1	1	0.00266006588810814	1	2.03752465956841e-09	1	1
LOC100576677	1	1	1	1	1	0.000327466504084101	1	1	0.295465484090615	1	1
LOC100576688	1	1	1	1	1	1	1	1	1	1	1
LOC100576702	1	1	1	1	1	1	1	1	1	1	1
LOC100576703	1	1	1	1	1	0.0141168783889382	1	0.0142612751989836	7.47214577894229e-16	1	1
LOC100576708	1	1	1	1	1	1	1	1	1	1	1
LOC100576717	1	1	1	1	1	1	0.0783670444848576	1	1	1	1
LOC100576730	1	1	1	1	1	1	1	1	1	1	1
LOC100576733	1	1	1	1	1	1	1	1	1	1	1
LOC100576735	1	1	1	1	1	1	1	1	1	1	1
LOC100576744	1	1	1	1	1	1	1	1	1	1	1
LOC100576748	1	1	1	1	1	1	1	1	1	1	1
LOC100576754	1	1	1	1	1	1	1	1	1	1	1
LOC100576765	1	1	1	1	1	1	1	1	1	1	1
LOC100576768	1	1	1	1	1	1	1	1	1	1	1
LOC100576770	1	1	1	1	1	1	1	1	1	1	1
LOC100576774	1	1	1	1	1	1	1	1	1	1	1
LOC100576775	1	1	1	1	1	1	1	1	1	1	1
LOC100576784	1	1	1	1	1	1	1	1	1	1	1
LOC100576789	1	1	1	1	1	1	1	1	1	1	1
LOC100576794	1	1	1	1	1	1	1	1	1	1	1
LOC100576796	1	1	1	1	1	1	1	1	1	1	1
LOC100576799	1	1	1	1	1	1	1	2.22495672628233e-05	1	1	1
LOC100576805	1	1	1	1	NA	1	1	1	3.87457665647571e-16	1	1
LOC100576812	1	1	1	1	1	1	5.08732734140641e-06	1	1	1	1
LOC100576817	1	1	1	1	1	1	1	1	1	1	1
LOC100576829	1	1	1	1	1	1	0.109913377973548	1	1	1	0.111758771323653
LOC100576843	1	1	1	1	1	1	1	1	1	1	1
LOC100576847	1	1	1	1	1	1	1	1	1	1	1
LOC100576848	1	1	1	1	1	1	1	1	1	1	1
LOC100576850	1	1	1	1	1	1	1	1	1	1	1
LOC100576855	1	1	1	1	1	1	1	1	1	1	1
LOC100576863	1	1	1	1	1	1	1	1	1	1	1
LOC100576864	1	1	1	1	1	1	1	1	1	1	1
LOC100576866	1	1	1	1	1	1	1	1	1.51813259705616e-08	1	1
LOC100576872	1	1	1	1	1	1	1	1	1	1	1
LOC100576876	1	1	1	1	1	1	1	1	1	1	1
LOC100576879	1	1	1	1	1	1	1	1	1	1	1
LOC100576894	1	1	1	1	1	1	1	1	1	1	1
LOC100576908	1	1	1	1	1	1	1	1	1	1	1
LOC100576912	1	1	1	1	1	1	0.000127953222162938	1	0.000321166761960565	1	1
LOC100576915	1	1	1	1	1	1.22461751146799e-08	1	1	1	1	0.0406790727763053
LOC100576919	1	1	1	1	1	1	0.850466614596737	1	1	1	1
LOC100576930	1	1	1	1	1	1	1	1	1	1	1
LOC100576934	1	1	1	1	1	1	1	1	1	1	1
LOC100576938	1	1	1	1	1	1	0.229814575728923	1	1	1	1
LOC100576947	1	1	1	1	1	1	0.0229907623631386	1	1	1	1
LOC100576951	1	1	1	1	1	1	1	1	1	1	1
LOC100576953	1	1	1	1	1	1	1	1	0.0112593639295773	1	1
LOC100576956	1	1	1	1	1	1	1	1	1	1	1
LOC100576963	1	1	1	1	1	6.16322294690694e-06	1	1	0.0689336808349232	1	1
LOC100576965	1	1	1	1	1	1	1	1	9.9932875911794e-10	1	1
LOC100576966	1	1	1	1	1	1	1	1	0.0587321639370898	1	1
LOC100576967	1	1	1	1	1	1	1	1	1	1	1
LOC100576968	1	1	1	1	1	1	1	1	1	1	1
LOC100576972	1	1	1	1	1	1	1	1	1	1	1
LOC100576974	1	1	1	1	1	1	1	1	0.0110350300560402	1	1
LOC100576975	1	1	1	1	1	1	1	1	1	1	1
LOC100576982	1	1	1	1	1	1	1	1	1	1	1
LOC100576990	1	1	1	1	1	1	1	1	1	1	1
LOC100576993	1	1	1	1	1	1	1	1	1	1	1
LOC100576994	1	1	1	1	1	1	1	1	1	1	1
LOC100577000	1	1	1	1	1	1	1	1	1	1	1
LOC100577003	1	1	1	1	1	1	1	1	1	1	1
LOC100577004	1	1	1	1	1	1	1	1	1	1	1
LOC100577026	1	1	1	1	1	1	1	1	1	1	1
LOC100577027	1	1	1	1	1	1	1	1	1	1	1
LOC100577028	1	1	1	1	1	1	1	1	1	1	1
LOC100577030	1	1	1	0.803341237886725	1	1	1	1	2.25271076145571e-12	1	1
LOC100577033	1	1	1	1	1	1	1	1	1	1	1
LOC100577069	1	1	1	1	1	1	1	1	0.0131007496417503	1	1
LOC100577081	1	1	1	1	1	1	1	1	1	1	1
LOC100577082	1	1	1	1	1	1	1	1	1	1	1
LOC100577092	1	1	1	0.187800195420475	1	1	1	1	1.2981461942085e-09	1	1
LOC100577094	1	1	1	1	1	1	1	1	1	1	1
LOC100577098	1	1	1	1	1	1	1	1	2.30245102960055e-05	1	1
LOC100577110	1	1	1	1	1	1	1	1	1	1	1
LOC100577120	1	1	1	1	1	1	1	1	0.000112916094742234	1	1
LOC100577127	1	1	1	1	1	1	0.169769842714391	1	1	1	1
LOC100577128	1	1	1	1	1	1	1	1	1	1	1
LOC100577135	1	1	1	1	1	1	1	1	1	1	1
LOC100577147	1	1	1	0.119305204024649	1	0.362788044747731	1	1	1	1	1
LOC100577149	1	1	1	1	1	1	1	1	8.35598540601364e-15	1	1
LOC100577180	1	1	1	1	1	1	1	1	1	1	1
LOC100577192	1	1	1	1	1	1	1	1	1	1	1
LOC100577194	1	1	1	9.75172272173644e-05	1	1	1	1	1	1	1
LOC100577198	1	1	1	1	1	1	0.000554063200940587	1	1	0.000215637614785824	1
LOC100577213	1	1	1	1	1	1	1	1	1	1	1
LOC100577231	1	1	1	1	1	1	9.74905847480271e-08	1	1	1	1
LOC100577237	1	1	1	1	1	1	1	1	1	1	1
LOC100577239	1	1	1	1	1	1	1	1	1	1	1
LOC100577253	1	1	1	1	1	1	1	0.0978482748259565	1	1	1
LOC100577263	1	1	1	1	1	1	1	1	1	1	1
LOC100577268	1	1	1	1	1	1	1	1	4.12506228344694e-09	1	1
LOC100577272	1	1	1	1	1	1	1	1	1	1	1
LOC100577273	1	1	1	1	1	1	1	1	1	1	1
LOC100577280	1	1	1	1	1	1	0.0295379535759063	0.103596671974314	0.311356895452228	1	1
LOC100577293	1	1	1	1	1	1	1	1	1	1	1
LOC100577296	1	1	1	1	1	1	1	1	0.00211879537393063	1	1
LOC100577300	1	1	1	1	1	1	1	1	1	1	1
LOC100577308	1	1	1	1	1	1	1	1	1	1	1
LOC100577324	1	1	1	1	1	1	1	1	0.382273337582756	1	1
LOC100577325	1	1	1	1	1	1	3.43037647588788e-12	1	1	1	1
LOC100577341	1	1	1	1	1	1	1	1	1	1	1
LOC100577342	1	1	1	1	1	1	1	1	1	1	1
LOC100577344	1	1	1	1	1	1	1	1	1	1	1
LOC100577348	1	1	1	1	1	1	1	1	1	1	1
LOC100577362	1	1	1	1	1	1	1	1	1	1	1
LOC100577363	1	1	1	1	1	1	0.0182162479969253	1	1	1	1
LOC100577369	1	1	1	1	1	1	0.000127748923579217	1	1	1	1
LOC100577376	1	1	1	1	1	1	0.00667960884428823	1	4.71509010755014e-11	1	1
LOC100577377	1	1	1	0.0510988496242973	1	1	1	1	1	1	1
LOC100577378	1	1	1	1	1	1	1	1	1	1	1
LOC100577382	1	1	1	1	1	1	1	1	1	1	1
LOC100577385	1	1	1	1	1	1	1	1	1	1	1
LOC100577386	1	1	1	1	1	0.153849891125008	1	1	1.11528543592541e-06	1	1
LOC100577393	1	1	1	1	1	1	1	1	1	1	1
LOC100577397	1	1	1	1	1	1	0.00227781622560963	1	1	1	1
LOC100577409	1	1	1	0.000114500053588618	1	1	1	1	1	1	1
LOC100577410	1	1	1	1	1	1	1	1	1	1	1
LOC100577418	1	1	1	1	1	1	0.773501550741419	1	1	1	1
LOC100577430	1	1	0.798969477715808	1	1	1	0.245971232762389	1	1	0.0441191247343987	1
LOC100577449	1	1	1	1	1	1	1	1	1	1	0.472609990286897
LOC100577450	1	1	1	1	1	1	1	1	1	1	1
LOC100577451	1	1	1	1	1	1	1	1	1	1	1
LOC100577452	1	1	1	1	1	1	1	1	1	1	1
LOC100577454	1	1	1	1	1	1	1	1	1	1	1
LOC100577472	1	1	1	1	1	1	9.73390391383167e-13	1	1	1	1
LOC100577499	1	1	1	1	1	1	1	1	1	1	1
LOC100577501	1	1	1	1	1	1	1	1	1	1	1
LOC100577506	1	1	1	1	1	1	1	1	1	1	1
LOC100577515	1	1	1	1	1	1	1	1	1	1	1
LOC100577516	1	1	1	1	NA	1	1	1	1	1	1
LOC100577520	1	1	1	1	1	1	1	1	1	1	1
LOC100577525	1	1	1	1	1	1	1	1	1	1	1
LOC100577527	1	1	1	0.0162322670401961	1	1	1	1	5.88406026136199e-06	1	1
LOC100577530	1	1	1	1	1	1	0.00686586290501229	1	1	1	1
LOC100577533	1	1	1	1	1	1	1	1	1	1	1
LOC100577546	1	1	1	1	1	1	1	1	1	1	1
LOC100577561	1	1	1	1	1	1	1	1	9.29522415325308e-14	1	1
LOC100577575	1	1	1	1	1	1	1	1	1	0.00497681896912184	1
LOC100577576	1	1	1	1	1	1	1	1	1	1	1
LOC100577578	1	1	1	1	1	1	1	1	1	1	1
LOC100577579	1	1	1	1	1	1	1	1	1	1	1
LOC100577580	1	1	1	1	1	1	1	1	1	1	1
LOC100577596	1	1	1	1	1	1	0.115229423877487	1	1	1	1
LOC100577600	1	1	1	1	1	1	1	1	7.82328976813613e-15	1	1
LOC100577606	1	1	1	1	1	1	1	1	0.0119566100705088	1	1
LOC100577610	1	1	1	1	1	1	1	1	1	1	1
LOC100577623	1	1	1	1	1	1	1	1	1	1	1
LOC100577635	1	1	1	1	1	1	1	1	1	1	1
LOC100577638	1	1	1	1	1	1	4.21913779741199e-07	1	1.1468301515807e-06	1	1
LOC100577644	1	1	1	1	1	1	0.0481688152539868	1	1	1	1
LOC100577651	1	1	1	1	1	1	1	1	0.729251270413206	1	1
LOC100577656	1	1	1	0.0227181680958042	1	1	1	1	0.00572521183010675	1	1
LOC100577669	1	1	1	1	1	1	1	1	1	1	1
LOC100577673	1	1	1	1	1	1	1	1	1	1	1
LOC100577675	1	1	1	1	1	1	1	1	1	1	1
LOC100577676	1	1	1	1	1	1	1	1	1	1	1
LOC100577680	1	1	1	1	1	1	1	1	1	1	1
LOC100577689	1	1	1	1	1	1	1	1	1	1	1
LOC100577694	1	1	1	1	1	1	1	1	1	1	1
LOC100577696	1	1	1	1	1	1	1	1	1	1	1
LOC100577697	1	1	1	1	1	1	1	1	2.60155821404041e-08	1	0.098825510175297
LOC100577699	1	1	1	1	1	1	1	1	1	1	1
LOC100577702	1	1	1	1	1	1	1	1	1	1	1
LOC100577712	1	1	1	1	1	1	1	1	1	1	1
LOC100577717	1	1	1	1	1	1	1	1	1	1	0.213662203330787
LOC100577719	1	1	1	1	1	1	1	1	1	1	1
LOC100577722	1	1	1	1	1	1	1	1	1	1	1
LOC100577724	1	1	1	1	1	1	1	1	1	1	1
LOC100577727	1	1	1	1	1	1	1	1	1	1	1
LOC100577739	1	1	1	1	1	1	1.42837431826847e-07	0.016517771132176	1	1	0.123216356047536
LOC100577742	1	1	1	1	1	1	1	1	1	1	1
LOC100577743	1	1	1	1	1	1	0.0699158394535858	1	1	0.156521335790115	1
LOC100577746	1	1	1	1	1	1	1	1	1	1	1
LOC100577753	1	1	1	1	1	1	1	1	1	1	1
LOC100577756	1	1	1	1	1	1	1	1	1	1	1
LOC100577758	1	1	1	1	1	1	1	1	1	1	1
LOC100577766	1	1	1	1	1	1	1	1	1	1	1
LOC100577769	1	1	1	1	1	1	1	1	1	1	1
LOC100577771	1	1	1	1	1	1	1	1	1	1	1
LOC100577801	1	1	1	1	1	1	1	1	1	1	1
LOC100577803	1	1	1	1	1	1	1	1	1	1	1
LOC100577816	1	1	1	1	1	1	0.620629614565977	1	1	0.372030636211897	1
LOC100577823	1	1	1	1	1	1	1	1	1	1	1
LOC100577836	1	1	1	1	1	1	1	1	1	1	1
LOC100577839	1	1	1	1	1	1	1	1	1	1	1
LOC100577845	1	1	1	1	1	1	0.15008053404839	1	1	0.10759350404925	1
LOC100577856	1	1	1	1	1	1	1	1	7.5839732412264e-20	1	1
LOC100577872	1	1	1	1	1	1	1	1	1	1	1
LOC100577875	1	1	1	1	1	1	1	1	1	1	1
LOC100577876	1	1	1	1	1	1	1	1	1	1	1
LOC100577877	1	1	1	1	1	1	1	1	1	1	1
LOC100577883	1	1	1	1	1	1	1	1	1	1	1
LOC100577885	1	1	1	1	1	1	1	1	1	1	1
LOC100577889	1	1	1	1	1	1	1	1	1	1	1
LOC100577899	1	1	1	1	1	1	1	1	1	1	1
LOC100577901	1	1	1	1	1	1	0.00130220580453935	1	0.0203473547659782	1	1
LOC100577905	1	1	1	1	1	3.76165389158437e-05	1	0.000236153711160216	2.47453678534718e-05	1	1
LOC100577909	1	1	1	1	1	1	1	1	1	1	1
LOC100577912	1	1	1	1	1	1	1	1	1	1	1
LOC100577920	1	1	1	1	1	1	1	1	1	1	1
LOC100577923	1	1	1	1	1	1	1	1	1	1	1
LOC100577927	1	1	1	1	1	1	1	1	1	1	1
LOC100577936	0.151049941695249	1	1	1	1	1	1	1	3.08818752945623e-19	1	1
LOC100577941	1	1	1	1	1	1	1	1	1	1	1
LOC100577942	1	1	1	1	1	1	1	1	1	1	1
LOC100577943	1	1	1	1	1	1	1	1	4.02278869762762e-09	1	1
LOC100577949	1	1	1	1	1	1	1	1	1	1	1
LOC100577955	1	1	1	1	1	1	1	1	0.048600482751876	1	1
LOC100577958	1	1	1	1	1	1	1	1	1	1	0.0062605089553421
LOC100577963	1	1	1	1	1	1	1	1	1	1	1
LOC100577966	1	1	1	1	NA	1	1	1	1	1	1
LOC100577967	1	1	1	1	1	1	1	1	1	1	1
LOC100577980	1	1	1	1	1	1	0.046217640811914	1	2.3138935835649e-44	1	1
LOC100577981	1	1	1	1	1	1	1	1	1	1	1
LOC100577982	1	1	1	1	1	1	1	1	1	1	1
LOC100577988	1	1	1	1	1	1	1	1	1	1	1
LOC100577995	1	1	1	1	1	1	1	1	0.00259237516499038	1	1
LOC100577998	1	1	1	1	1	1	1	1	1	0.10431977928201	1
LOC100578002	1	1	1	1	1	1	1	1	1	1	1
LOC100578005	1	1	1	1	1	1	1	1	1	1	1
LOC100578006	1	1	1	1	1	1	1	1	1	1	1
LOC100578011	1	1	1	1	1	1	1	1	0.000967553428173388	1	1
LOC100578014	1	1	1	1	1	1	1	1	1	1	1
LOC100578017	1	1	1	1	1	1	1	1	1	1	1
LOC100578031	1	1	1	1	1	1	7.00705916696887e-08	1	1	1	1
LOC100578046	1	1	1	1	1	1	0.425667314515123	1	1	1	1
LOC100578051	1	1	1	1	1	1	1	1	1	1	1
LOC100578066	1	1	1	1	1	1	1	1	1	1	1
LOC100578072	1	1	1	1	1	1	1	1	1	1	1
LOC100578085	1	1	1	1	1	1	1	1	1	0.15923941400636	1
LOC100578091	1	1	1	1	1	1	1	1	1	1	1
LOC100578105	1	1	1	1	1	1	1	1	0.0001342634895765	1	1
LOC100578106	1	1	1	1	1	1	1	1	1	1	1
LOC100578109	1	1	1	1	1	1	1	1	1	1	1
LOC100578112	1	1	1	1	1	1	1	1	1	1	1
LOC100578119	1	3.23133320846762e-05	1	1	1	1	1	1	1	1	1
LOC100578126	1	1	1	1	1	1	8.35789017815341e-15	1	1.58920647323776e-07	1	1
LOC100578132	1	1	1	1	1	6.86933273603488e-08	1	1	1	1	1
LOC100578144	1	1	1	1	1	1	1	1	1.60682127828926e-07	0.166772349689594	1
LOC100578146	1	1	1	1	1	1	1	3.14963593621350e-09	1	1	1
LOC100578159	1	1	1	1	1	1	1	1	1	1	1
