Gene	AlnLength	Codon	Function	dN.dS	GCProp	All_Advanced_Eusocial	All_Social	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
LOC100576383	1719	573	NA	0.04129	0.362154545454545	1	1	1	1	1	1	1	1	1	1	1
LOC100576384	4122	1374	NA	0.03561	0.499218181818182	1	1	1	1	1	1	1	1	0.00103388526203022	1	1
LOC100576392	1224	408	NA	0.12158	0.548954545454545	1	1	1	1	1	1	1	1	1	1	1
LOC100576400	705	235	NA	0.13218	0.344290909090909	1	1	1	1	1	1	1	1	1	1	0.765131192577395
LOC100576402	6441	2147	NA	0.0781	0.346781818181818	1	1	1	1	1	1	0.751950601002962	1	1	6.11532058298986e-09	1
LOC100576411	1899	633	NA	0.08979	0.3566	1	1	1	1	1	1	1	1	1	1	1
LOC100576414	1326	442	NA	0.20608	0.455236363636364	1	1	1	1	1	1	1	1	1	1	1
LOC100576422	549	183	NA	0.18003	0.343754545454545	1	1	1	1	1	1	1	1	1	1	1
LOC100576432	2229	743	NA	0.10741	0.362445454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576433	1683	561	NA	0.04129	0.355227272727273	1	1	1	1	1	0.012199972938914	1	1	1	1	1
LOC100576434	504	168	NA	0.16914	0.478163636363636	1	1	1	1	1	1	1	1	0.319615306621042	1	1
LOC100576435	1728	576	NA	0.05796	0.477118181818182	1	1	1	1	1	1	1	1	1	1	1
LOC100576436	1464	488	NA	0.15628	0.298190909090909	1	1	1	1	1	1	1	1	1	1	1
LOC100576438	636	212	NA	0.05732	0.444109090909091	1	1	1	1	1	0.714283987019242	1	1	1	1	1
LOC100576439	234	78	NA	0.16204	0.297972727272727	1	1	1	0.157837725326423	1	1	1	1	1	1	1
LOC100576447	348	116	NA	0.05696	0.499472727272727	1	1	1	1	1	1	1	1	1	1	1
LOC100576453	234	78	NA	0.11438	0.293709090909091	1	1	1	1	1	1	1	1	1	1	1
LOC100576460	609	203	NA	0.10651	0.402	1	1	1	1	1	1	1	1	1	0.99196848884534	1
LOC100576461	1254	418	NA	0.24772	0.481154545454545	1	1	1	1	1	0.0358572872802853	1	1	1	1	1
LOC100576471	774	258	NA	0.14654	0.564836363636364	1	1	1	1	NA	1	1	1	1	1	1
LOC100576472	3042	1014	NA	0.06752	0.360554545454545	1	1	1	1	1	4.81989957674057e-10	1	1	0.0495064359828759	1	1
LOC100576487	498	166	NA	0.13738	0.346681818181818	1	1	1	1	1	1	1	1	0.755586879705118	1	1
LOC100576492	102	34	NA	0.22434	0.309245454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576497	1887	629	NA	0.12522	0.453236363636364	1	1	1	1	1	1	1	1	7.72823388248507e-16	1	1
LOC100576506	519	173	NA	0.10107	0.317754545454545	1	1	1	1	1	1	0.332728264921968	1	1	1	1
LOC100576512	201	67	NA	0.09399	0.509727272727273	1	1	1	1	1	1	6.05730199038792e-05	1	0.184753479445411	1	1
LOC100576515	393	131	NA	0.05488	0.352990909090909	1	1	1	1	1	1	1	1	1	1	1
LOC100576527	1506	502	Signalling	0.08126	0.386563636363636	1	1	1	1	1	0.0184035981460449	1	1	1	1	1
LOC100576528	291	97	NA	0.07267	0.5817	1	1	1	1	1	1	1	1	1	1	1
LOC100576531	531	177	NA	0.06287	0.306790909090909	1	1	1	1	1	1	1	1	1	1	1
LOC100576532	378	126	NA	0.31215	0.349445454545455	1	1	1	1	1	0.955908808260413	1	1	1	0.678439442063355	1
LOC100576542	228	76	NA	0.0574	0.335318181818182	1	1	1	1	1	1	1	1	1	1	1
LOC100576543	564	188	NA	0.20349	0.334936363636364	1	1	1	1	1	1	1	1	4.44033480735374e-05	1	1
LOC100576547	1803	601	NA	0.04246	0.4977	1	1	1	1	1	1	1	1	1	1	1
LOC100576559	615	205	NA	0.14315	0.329781818181818	1	1	1	1	1	1	1	1	1	1	1
LOC100576565	768	256	NA	0.13021	0.314145454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576571	321	107	NA	0.05373	0.331081818181818	1	1	1	1	1	1	1	1	1	1	1
LOC100576572	1335	445	NA	0.05654	0.324354545454545	1	1	1	1	1	1	1	1	1	1	1
LOC100576586	2031	677	NA	0.02598	0.385163636363636	1	1	1	1	1	1	1	1	1	1	1
LOC100576592	486	162	NA	0.21388	0.263936363636364	1	0.24676835686529	1	1	1	1	1	1	1	1	1
LOC100576600	2100	700	NA	0.04303	0.342790909090909	1	1	1	1	1	1	1	1	1	1	1
LOC100576608	855	285	NA	0.17049	0.286436363636364	1	1	1	1	1	1	1	1	7.73143615080008e-06	1	1
LOC100576610	1344	448	NA	0.34425	0.299436363636364	1	1	1	1	1	1	1	0.00164801972652853	1	1	1
LOC100576615	1407	469	NA	0.16806	0.468172727272727	1	1	1	1	NA	1	1	1	0.000698606215396046	1	1
LOC100576621	201	67	NA	0.04904	0.340572727272727	1	1	1	1	1	1	1	1	1	1	1
LOC100576625	2607	869	NA	0.19127	0.336263636363636	1	1	1	1	1	1	1	1	1	1	1
LOC100576640	2784	928	NA	0.32165	0.475772727272727	1	1	1	5.12432783273285e-07	1	1	1	1	0.349769604924262	0.0047851497233519	0.00305364788226639
LOC100576646	705	235	NA	0.07574	0.386845454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576647	1644	548	NA	0.12084	0.330063636363636	1	1	1	1	1	1	1	1	1	1	1
LOC100576649	1611	537	NA	0.10496	0.296772727272727	1	1	1	1	1	1	1	1	1	1	1
LOC100576662	213	71	NA	0.40934	0.482709090909091	1	1	1	1	1	1	1	1	1	1	1
LOC100576666	1896	632	NA	0.05814	0.478009090909091	1	1	1	1	1	1	1	0.00735884405205605	0.00880731041342723	1	1
LOC100576667	1509	503	NA	0.06403	0.369009090909091	1	1	1	1	1	1	6.79749857323395e-07	1	1	1	1
LOC100576669	1128	376	NA	0.18527	0.2899	1	1	1	1	1	1	0.323047918616092	1	1	1	1
LOC100576671	2160	720	NA	0.11481	0.538054545454545	1	1	1	1	1	1	0.00266006588810814	1	2.03752465956841e-09	1	1
LOC100576677	918	306	NA	0.17502	0.287372727272727	1	1	1	1	1	0.000327466504084101	1	1	0.295465484090615	1	1
LOC100576688	306	102	NA	0.12702	0.468509090909091	1	1	1	1	1	1	1	1	1	1	1
LOC100576702	363	121	NA	0.19721	0.530927272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576703	2199	733	NA	0.12092	0.4853	1	1	1	1	1	0.0141168783889382	1	0.0142612751989836	7.47214577894229e-16	1	1
LOC100576708	1068	356	NA	0.16471	0.303536363636364	1	1	1	1	1	1	1	1	1	1	1
LOC100576717	3594	1198	NA	0.11498	0.374181818181818	1	1	1	1	1	1	0.0783670444848576	1	1	1	1
LOC100576730	258	86	NA	0.08161	0.483090909090909	1	1	1	1	1	1	1	1	1	1	1
LOC100576733	459	153	NA	0.20353	0.365036363636364	1	1	1	1	1	1	1	1	1	1	1
LOC100576735	534	178	NA	0.15629	0.341327272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576742	2244	748	Receptor	0.17891	0.444127272727273	1	1	1	1	1	1	0.274507430360968	1	1	1	1
LOC100576744	1086	362	NA	0.16895	0.330827272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576748	360	120	NA	0.22429	0.422981818181818	1	1	1	1	1	1	1	1	1	1	1
LOC100576754	2391	797	NA	0.1966	0.303181818181818	1	1	1	1	1	1	1	1	1	1	1
LOC100576765	561	187	NA	0.09479	0.3343	1	1	1	1	1	1	1	1	1	1	1
LOC100576768	1701	567	NA	0.06905	0.3738	1	1	1	1	1	1	1	1	1	1	1
LOC100576770	852	284	NA	0.19109	0.317754545454545	1	1	1	1	1	1	1	1	1	1	1
LOC100576774	1611	537	NA	0.1913	0.284618181818182	1	1	1	1	1	1	1	1	1	1	1
LOC100576775	1905	635	NA	0.13464	0.293427272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576784	495	165	NA	0.02297	0.379245454545454	1	1	1	1	1	1	1	1	1	1	1
LOC100576789	1209	403	NA	0.23292	0.328672727272727	1	1	1	1	1	1	1	1	1	1	1
LOC100576794	900	300	NA	0.00784	0.371209090909091	1	1	1	1	1	1	1	1	1	1	1
LOC100576795	981	327	NA	0.03076	0.407018181818182	1	1	1	1	1	1	1	1	1	1	1
LOC100576796	243	81	NA	0.16302	0.408145454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576799	2952	984	NA	0.13272	0.460554545454545	1	1	1	1	1	1	1	2.22495672628233e-05	1	1	1
LOC100576801	522	174	NA	0.15496	0.388363636363636	1	1	1	1	1	1	1	1	1	1	1
LOC100576805	672	224	NA	0.03987	0.532990909090909	1	1	1	1	NA	1	1	1	3.87457665647571e-16	1	1
LOC100576812	672	224	NA	0.1796	0.3125	1	1	1	1	1	1	5.08732734140641e-06	1	1	1	1
LOC100576817	2658	886	NA	0.03163	0.411181818181818	1	1	1	1	1	1	1	1	1	1	1
LOC100576818	972	324	NA	0.09635	0.333063636363636	1	1	1	0.0186827214462851	1	1	1	1	1	1	1
LOC100576819	1221	407	Signalling	0.14346	0.334381818181818	1	1	1	1	1	1	1	1	1	1	1
LOC100576826	885	295	NA	0.01496	0.502718181818182	1	1	1	1	1	1	1	1	1	1	1
LOC100576829	2313	771	NA	0.06798	0.391609090909091	1	1	1	1	1	1	0.109913377973548	1	1	1	0.111758771323653
LOC100576843	1194	398	NA	0.2058	0.463227272727273	1	1	1	1	1	1	1	1	1	1	1
LOC100576847	309	103	NA	0.23672	0.364518181818182	1	1	1	1	1	1	1	1	1	1	1
LOC100576848	1011	337	NA	0.1365	0.3443	1	1	1	1	1	1	1	1	1	1	1
LOC100576850	1119	373	NA	0.06868	0.346336363636364	1	1	1	1	1	1	1	1	1	1	1
LOC100576855	864	288	NA	0.1246	0.4052	1	1	1	1	1	1	1	1	1	1	1
LOC100576862	1017	339	NA	0.16792	0.287654545454545	1	1	1	1	1	1	1	0.103580601724705	1	1	1
LOC100576863	996	332	NA	0.18809	0.3157	1	1	1	1	1	1	1	1	1	1	1
LOC100576864	3006	1002	NA	0.14315	0.340945454545455	1	1	1	1	1	1	1	1	1	1	1
LOC100576866	1650	550	NA	0.0309	0.386109090909091	1	1	1	1	1	1	1	1	1.51813259705616e-08	1	1
LOC100576872	951	317	NA	0.13696	0.314990909090909	1	1	1	1	1	1	1	1	1	1	1
