Gene	NoSelectedCodons	No_2hitCMD	No_3hitCMD	BranchTest	Prop2H	Prop3H	BranchType
LOC408374	9	1	0	Apis	0.111111111111111	0	Elaboration of Sociality
LOC408414	5	4	4	Apis	0.8	0.8	Elaboration of Sociality
LOC408471	11	3	1	Apis	0.272727272727273	0.0909090909090909	Elaboration of Sociality
LOC408551	26	15	2	Apis	0.576923076923077	0.0769230769230769	Elaboration of Sociality
LOC408619	16	8	7	Apis	0.5	0.4375	Elaboration of Sociality
LOC408660	15	7	0	Apis	0.466666666666667	0	Elaboration of Sociality
LOC408708	24	0	1	Apis	0	0.0416666666666667	Elaboration of Sociality
LOC409000	9	1	3	Apis	0.111111111111111	0.333333333333333	Elaboration of Sociality
LOC409039	4	1	1	Apis	0.25	0.25	Elaboration of Sociality
LOC409221	20	8	10	Apis	0.4	0.5	Elaboration of Sociality
LOC409292	3	1	1	Apis	0.333333333333333	0.333333333333333	Elaboration of Sociality
LOC409671	6	6	3	Apis	1	0.5	Elaboration of Sociality
LOC409714	39	10	2	Apis	0.256410256410256	0.0512820512820513	Elaboration of Sociality
LOC409734	5	3	3	Apis	0.6	0.6	Elaboration of Sociality
LOC409756	3	3	3	Apis	1	1	Elaboration of Sociality
LOC409945	7	2	0	Apis	0.285714285714286	0	Elaboration of Sociality
LOC410067	5	3	2	Apis	0.6	0.4	Elaboration of Sociality
LOC410183	5	2	1	Apis	0.4	0.2	Elaboration of Sociality
LOC410352	5	1	1	Apis	0.2	0.2	Elaboration of Sociality
LOC410363	35	7	1	Apis	0.2	0.0285714285714286	Elaboration of Sociality
LOC410379	11	4	1	Apis	0.363636363636364	0.0909090909090909	Elaboration of Sociality
LOC410567	98	1	1	Apis	0.0102040816326531	0.0102040816326531	Elaboration of Sociality
LOC410622	50	3	0	Apis	0.06	0	Elaboration of Sociality
LOC410865	117	0	0	Apis	0	0	Elaboration of Sociality
LOC410925	11	8	1	Apis	0.727272727272727	0.0909090909090909	Elaboration of Sociality
LOC411115	5	4	4	Apis	0.8	0.8	Elaboration of Sociality
LOC411495	8	2	2	Apis	0.25	0.25	Elaboration of Sociality
LOC411599	3	3	2	Apis	1	0.666666666666667	Elaboration of Sociality
LOC411917	22	5	6	Apis	0.227272727272727	0.272727272727273	Elaboration of Sociality
LOC411920	9	7	8	Apis	0.777777777777778	0.888888888888889	Elaboration of Sociality
LOC411982	8	4	5	Apis	0.5	0.625	Elaboration of Sociality
LOC412000	8	3	0	Apis	0.375	0	Elaboration of Sociality
LOC412422	5	5	5	Apis	1	1	Elaboration of Sociality
LOC412787	1	0	0	Apis	0	0	Elaboration of Sociality
LOC413018	2	2	1	Apis	1	0.5	Elaboration of Sociality
LOC413194	4	0	0	Apis	0	0	Elaboration of Sociality
LOC413319	4	2	0	Apis	0.5	0	Elaboration of Sociality
LOC413427	14	4	0	Apis	0.285714285714286	0	Elaboration of Sociality
LOC413534	5	0	1	Apis	0	0.2	Elaboration of Sociality
LOC413582	82	0	0	Apis	0	0	Elaboration of Sociality
LOC413917	8	0	4	Apis	0	0.5	Elaboration of Sociality
LOC550964	11	8	3	Apis	0.727272727272727	0.272727272727273	Elaboration of Sociality
LOC551080	2	1	0	Apis	0.5	0	Elaboration of Sociality
LOC551111	9	0	0	Apis	0	0	Elaboration of Sociality
LOC551173	7	4	3	Apis	0.571428571428571	0.428571428571429	Elaboration of Sociality
LOC551207	4	1	1	Apis	0.25	0.25	Elaboration of Sociality
LOC551498	7	4	4	Apis	0.571428571428571	0.571428571428571	Elaboration of Sociality
LOC551506	6	1	1	Apis	0.166666666666667	0.166666666666667	Elaboration of Sociality
LOC551551	6	3	2	Apis	0.5	0.333333333333333	Elaboration of Sociality
LOC552017	8	7	7	Apis	0.875	0.875	Elaboration of Sociality
LOC552113	8	4	2	Apis	0.5	0.25	Elaboration of Sociality
LOC552257	23	10	2	Apis	0.434782608695652	0.0869565217391304	Elaboration of Sociality
LOC552317	5	1	2	Apis	0.2	0.4	Elaboration of Sociality
LOC552472	2	1	2	Apis	0.5	1	Elaboration of Sociality
LOC552505	8	3	0	Apis	0.375	0	Elaboration of Sociality
LOC552664	6	2	1	Apis	0.333333333333333	0.166666666666667	Elaboration of Sociality
LOC552740	14	9	2	Apis	0.642857142857143	0.142857142857143	Elaboration of Sociality
LOC552779	4	0	3	Apis	0	0.75	Elaboration of Sociality
LOC552849	9	1	0	Apis	0.111111111111111	0	Elaboration of Sociality
LOC724225	7	3	1	Apis	0.428571428571429	0.142857142857143	Elaboration of Sociality
LOC724252	14	4	5	Apis	0.285714285714286	0.357142857142857	Elaboration of Sociality
LOC724344	7	6	3	Apis	0.857142857142857	0.428571428571429	Elaboration of Sociality
LOC724603	14	12	9	Apis	0.857142857142857	0.642857142857143	Elaboration of Sociality
LOC724926	13	0	0	Apis	0	0	Elaboration of Sociality
LOC724935	2	1	2	Apis	0.5	1	Elaboration of Sociality
LOC724953	3	0	1	Apis	0	0.333333333333333	Elaboration of Sociality
LOC725149	2	2	2	Apis	1	1	Elaboration of Sociality
LOC725317	8	0	0	Apis	0	0	Elaboration of Sociality
LOC725336	2	0	0	Apis	0	0	Elaboration of Sociality
LOC725348	10	0	0	Apis	0	0	Elaboration of Sociality
LOC725405	16	7	2	Apis	0.4375	0.125	Elaboration of Sociality
LOC725515	2	2	2	Apis	1	1	Elaboration of Sociality
LOC725586	3	3	3	Apis	1	1	Elaboration of Sociality
LOC725589	9	2	3	Apis	0.222222222222222	0.333333333333333	Elaboration of Sociality
LOC725594	9	1	0	Apis	0.111111111111111	0	Elaboration of Sociality
LOC725893	16	0	0	Apis	0	0	Elaboration of Sociality
LOC725960	4	4	0	Apis	1	0	Elaboration of Sociality
LOC726215	19	1	0	Apis	0.0526315789473684	0	Elaboration of Sociality
LOC726219	5	0	1	Apis	0	0.2	Elaboration of Sociality
LOC726522	10	0	0	Apis	0	0	Elaboration of Sociality
LOC726890	1	0	0	Apis	0	0	Elaboration of Sociality
LOC727186	2	0	2	Apis	0	1	Elaboration of Sociality
LOC408752	5	5	3	CorbSoc	1	0.6	Origin of Sociality
LOC409318	3	1	1	CorbSoc	0.333333333333333	0.333333333333333	Origin of Sociality
LOC410398	8	0	0	CorbSoc	0	0	Origin of Sociality
LOC410694	4	0	0	CorbSoc	0	0	Origin of Sociality
LOC411181	2	0	2	CorbSoc	0	1	Origin of Sociality
LOC412422	26	21	13	CorbSoc	0.807692307692308	0.5	Origin of Sociality
LOC413280	11	5	4	CorbSoc	0.454545454545455	0.363636363636364	Origin of Sociality
LOC551073	27	3	18	CorbSoc	0.111111111111111	0.666666666666667	Origin of Sociality
LOC552074	14	3	4	CorbSoc	0.214285714285714	0.285714285714286	Origin of Sociality
LOC724195	2	2	0	CorbSoc	1	0	Origin of Sociality
LOC724936	6	3	1	CorbSoc	0.5	0.166666666666667	Origin of Sociality
LOC725336	29	2	0	CorbSoc	0.0689655172413793	0	Origin of Sociality
Amel_8916	7	4	1	Habro	0.571428571428571	0.142857142857143	Solitary
Brd7	9	0	0	Habro	0	0	Solitary
Dcr-1	11	4	0	Habro	0.363636363636364	0	Solitary
Dl	96	1	0	Habro	0.0104166666666667	0	Solitary
LOC100576346	11	0	0	Habro	0	0	Solitary
LOC100576374	11	0	0	Habro	0	0	Solitary
LOC100576433	3	0	1	Habro	0	0.333333333333333	Solitary
LOC100576461	5	0	0	Habro	0	0	Solitary
LOC100576472	14	0	0	Habro	0	0	Solitary
LOC100576527	6	0	0	Habro	0	0	Solitary
LOC100576677	5	0	0	Habro	0	0	Solitary
LOC100576703	2	2	0	Habro	1	0	Solitary
LOC100576915	10	2	1	Habro	0.2	0.1	Solitary
LOC100576963	19	0	0	Habro	0	0	Solitary
LOC100577905	11	0	0	Habro	0	0	Solitary
LOC100577972	10	0	0	Habro	0	0	Solitary
LOC100578132	15	0	0	Habro	0	0	Solitary
LOC100578246	22	1	2	Habro	0.0454545454545455	0.0909090909090909	Solitary
LOC100578406	3	0	0	Habro	0	0	Solitary
LOC100578450	9	0	1	Habro	0	0.111111111111111	Solitary
LOC100578828	7	0	2	Habro	0	0.285714285714286	Solitary
LOC102654365	3	0	0	Habro	0	0	Solitary
LOC102654510	5	0	0	Habro	0	0	Solitary
LOC102654653	17	0	0	Habro	0	0	Solitary
LOC107964404	10	1	1	Habro	0.1	0.1	Solitary
LOC113218829	14	0	0	Habro	0	0	Solitary
LOC408433	6	0	0	Habro	0	0	Solitary
LOC408526	6	5	0	Habro	0.833333333333333	0	Solitary
LOC408551	5	2	0	Habro	0.4	0	Solitary
LOC408586	37	2	6	Habro	0.0540540540540541	0.162162162162162	Solitary
LOC408708	3	3	2	Habro	1	0.666666666666667	Solitary
LOC408714	22	0	0	Habro	0	0	Solitary
LOC408791	9	0	0	Habro	0	0	Solitary
LOC408902	4	0	0	Habro	0	0	Solitary
LOC408923	18	1	3	Habro	0.0555555555555556	0.166666666666667	Solitary
LOC409026	3	2	0	Habro	0.666666666666667	0	Solitary
LOC409106	9	2	0	Habro	0.222222222222222	0	Solitary
LOC409134	13	0	3	Habro	0	0.230769230769231	Solitary
LOC409139	13	0	0	Habro	0	0	Solitary
LOC409170	19	3	6	Habro	0.157894736842105	0.315789473684211	Solitary
LOC409351	122	0	0	Habro	0	0	Solitary
LOC409410	11	0	0	Habro	0	0	Solitary
LOC409417	4	0	0	Habro	0	0	Solitary
LOC409440	10	0	4	Habro	0	0.4	Solitary
LOC409476	6	0	2	Habro	0	0.333333333333333	Solitary
LOC409483	13	0	2	Habro	0	0.153846153846154	Solitary
LOC409499	14	1	0	Habro	0.0714285714285714	0	Solitary
LOC409511	6	0	0	Habro	0	0	Solitary
LOC409536	2	0	0	Habro	0	0	Solitary
LOC409571	11	1	0	Habro	0.0909090909090909	0	Solitary
LOC409589	18	0	1	Habro	0	0.0555555555555556	Solitary
LOC409668	10	0	0	Habro	0	0	Solitary
LOC409673	20	0	0	Habro	0	0	Solitary
LOC409734	5	0	0	Habro	0	0	Solitary
LOC409778	33	1	1	Habro	0.0303030303030303	0.0303030303030303	Solitary
LOC409919	8	0	0	Habro	0	0	Solitary
LOC409934	7	0	0	Habro	0	0	Solitary
LOC409950	12	0	0	Habro	0	0	Solitary
LOC409979	24	1	1	Habro	0.0416666666666667	0.0416666666666667	Solitary
LOC410159	3	0	0	Habro	0	0	Solitary
LOC410355	7	0	0	Habro	0	0	Solitary
LOC410507	5	0	0	Habro	0	0	Solitary
LOC410541	21	0	0	Habro	0	0	Solitary
LOC410546	10	0	0	Habro	0	0	Solitary
LOC410565	11	0	3	Habro	0	0.272727272727273	Solitary
LOC410777	11	0	1	Habro	0	0.0909090909090909	Solitary
LOC410948	16	1	0	Habro	0.0625	0	Solitary
LOC411047	8	2	1	Habro	0.25	0.125	Solitary
LOC411053	5	0	0	Habro	0	0	Solitary
LOC411059	14	0	0	Habro	0	0	Solitary
LOC411062	6	0	2	Habro	0	0.333333333333333	Solitary
LOC411088	12	0	1	Habro	0	0.0833333333333333	Solitary
LOC411186	28	0	0	Habro	0	0	Solitary
LOC411199	8	2	1	Habro	0.25	0.125	Solitary
LOC411361	48	1	11	Habro	0.0208333333333333	0.229166666666667	Solitary
LOC411469	17	0	8	Habro	0	0.470588235294118	Solitary
LOC411510	21	0	0	Habro	0	0	Solitary
LOC411582	7	0	2	Habro	0	0.285714285714286	Solitary
LOC411589	16	3	4	Habro	0.1875	0.25	Solitary
LOC411619	9	1	0	Habro	0.111111111111111	0	Solitary
LOC411693	10	0	1	Habro	0	0.1	Solitary
LOC411707	11	1	0	Habro	0.0909090909090909	0	Solitary
LOC411724	2	0	0	Habro	0	0	Solitary
LOC411730	6	0	0	Habro	0	0	Solitary
LOC411758	8	0	0	Habro	0	0	Solitary
LOC411797	10	0	0	Habro	0	0	Solitary
LOC411805	19	0	0	Habro	0	0	Solitary
LOC411886	7	0	0	Habro	0	0	Solitary
LOC411942	16	0	0	Habro	0	0	Solitary
LOC411960	12	0	0	Habro	0	0	Solitary
LOC411985	5	0	2	Habro	0	0.4	Solitary
LOC411995	13	1	0	Habro	0.0769230769230769	0	Solitary
LOC412002	22	0	0	Habro	0	0	Solitary
LOC412018	3	2	0	Habro	0.666666666666667	0	Solitary
LOC412084	16	0	0	Habro	0	0	Solitary
LOC412104	2	0	0	Habro	0	0	Solitary
LOC412157	14	3	2	Habro	0.214285714285714	0.142857142857143	Solitary
LOC412224	12	0	0	Habro	0	0	Solitary
LOC412232	13	0	0	Habro	0	0	Solitary
LOC412245	24	0	0	Habro	0	0	Solitary
LOC412435	8	0	1	Habro	0	0.125	Solitary
LOC412491	5	3	2	Habro	0.6	0.4	Solitary
LOC412687	3	0	2	Habro	0	0.666666666666667	Solitary
LOC412764	9	1	0	Habro	0.111111111111111	0	Solitary
LOC412806	8	1	0	Habro	0.125	0	Solitary
LOC412815	6	0	0	Habro	0	0	Solitary
LOC412825	7	2	1	Habro	0.285714285714286	0.142857142857143	Solitary
LOC412834	7	0	0	Habro	0	0	Solitary
LOC412862	18	1	0	Habro	0.0555555555555556	0	Solitary
LOC412965	15	1	1	Habro	0.0666666666666667	0.0666666666666667	Solitary
LOC413001	15	1	3	Habro	0.0666666666666667	0.2	Solitary
LOC413018	7	5	2	Habro	0.714285714285714	0.285714285714286	Solitary
LOC413030	6	0	2	Habro	0	0.333333333333333	Solitary
LOC413032	4	0	0	Habro	0	0	Solitary
LOC413228	17	0	0	Habro	0	0	Solitary
LOC413299	6	0	0	Habro	0	0	Solitary
LOC413389	3	0	2	Habro	0	0.666666666666667	Solitary
LOC413407	8	0	1	Habro	0	0.125	Solitary
LOC413430	2	1	2	Habro	0.5	1	Solitary
LOC413498	7	0	0	Habro	0	0	Solitary
LOC413524	19	0	2	Habro	0	0.105263157894737	Solitary
LOC413547	9	0	0	Habro	0	0	Solitary
LOC413670	13	0	1	Habro	0	0.0769230769230769	Solitary
LOC413759	5	2	0	Habro	0.4	0	Solitary
LOC413785	10	0	0	Habro	0	0	Solitary
LOC413821	3	0	0	Habro	0	0	Solitary
LOC414009	5	0	3	Habro	0	0.6	Solitary
LOC414017	7	0	0	Habro	0	0	Solitary
LOC551016	16	0	0	Habro	0	0	Solitary
LOC551087	17	0	0	Habro	0	0	Solitary
LOC551193	6	0	0	Habro	0	0	Solitary
LOC551424	3	0	2	Habro	0	0.666666666666667	Solitary
LOC551435	10	0	0	Habro	0	0	Solitary
LOC551536	31	1	0	Habro	0.032258064516129	0	Solitary
LOC551566	5	0	0	Habro	0	0	Solitary
LOC551613	5	2	0	Habro	0.4	0	Solitary
LOC551636	12	0	0	Habro	0	0	Solitary
LOC551668	15	0	4	Habro	0	0.266666666666667	Solitary
LOC551724	11	1	3	Habro	0.0909090909090909	0.272727272727273	Solitary
LOC551738	14	0	0	Habro	0	0	Solitary
LOC551745	10	0	1	Habro	0	0.1	Solitary
LOC551907	6	1	0	Habro	0.166666666666667	0	Solitary
LOC551947	35	0	11	Habro	0	0.314285714285714	Solitary
LOC551958	2	0	0	Habro	0	0	Solitary
LOC551960	9	0	0	Habro	0	0	Solitary
LOC551997	9	0	2	Habro	0	0.222222222222222	Solitary
LOC552016	8	0	0	Habro	0	0	Solitary
LOC552053	4	0	1	Habro	0	0.25	Solitary
LOC552082	3	0	3	Habro	0	1	Solitary
LOC552156	3	1	2	Habro	0.333333333333333	0.666666666666667	Solitary
LOC552254	7	0	0	Habro	0	0	Solitary
LOC552315	22	0	1	Habro	0	0.0454545454545455	Solitary
LOC552319	8	1	2	Habro	0.125	0.25	Solitary
LOC552336	12	0	1	Habro	0	0.0833333333333333	Solitary
LOC552372	17	0	0	Habro	0	0	Solitary
LOC552497	7	0	0	Habro	0	0	Solitary
LOC552520	8	0	0	Habro	0	0	Solitary
LOC552574	6	0	1	Habro	0	0.166666666666667	Solitary
LOC552599	6	5	2	Habro	0.833333333333333	0.333333333333333	Solitary
LOC552642	14	0	0	Habro	0	0	Solitary
LOC552651	11	5	2	Habro	0.454545454545455	0.181818181818182	Solitary
LOC552677	8	4	2	Habro	0.5	0.25	Solitary
LOC552738	9	0	0	Habro	0	0	Solitary
LOC724287	21	0	0	Habro	0	0	Solitary
LOC724501	34	1	1	Habro	0.0294117647058824	0.0294117647058824	Solitary
LOC724502	8	2	2	Habro	0.25	0.25	Solitary
LOC724510	4	1	0	Habro	0.25	0	Solitary
LOC724548	5	0	0	Habro	0	0	Solitary
LOC724571	8	0	0	Habro	0	0	Solitary
LOC724656	8	0	0	Habro	0	0	Solitary
LOC724665	9	4	2	Habro	0.444444444444444	0.222222222222222	Solitary
LOC724724	6	1	0	Habro	0.166666666666667	0	Solitary
LOC724787	30	15	3	Habro	0.5	0.1	Solitary
LOC725197	4	0	0	Habro	0	0	Solitary
LOC725218	7	1	0	Habro	0.142857142857143	0	Solitary
LOC725294	12	7	2	Habro	0.583333333333333	0.166666666666667	Solitary
LOC725379	6	2	1	Habro	0.333333333333333	0.166666666666667	Solitary
LOC725400	13	0	0	Habro	0	0	Solitary
LOC725594	4	0	0	Habro	0	0	Solitary
LOC725896	5	0	0	Habro	0	0	Solitary
LOC726077	12	0	0	Habro	0	0	Solitary
LOC726110	5	0	0	Habro	0	0	Solitary
LOC726130	5	1	3	Habro	0.2	0.6	Solitary
LOC726354	10	1	0	Habro	0.1	0	Solitary
LOC726367	8	5	0	Habro	0.625	0	Solitary
LOC726524	11	0	1	Habro	0	0.0909090909090909	Solitary
LOC726537	24	1	0	Habro	0.0416666666666667	0	Solitary
LOC726874	2	0	0	Habro	0	0	Solitary
LOC726928	3	0	0	Habro	0	0	Solitary
LOC726949	9	0	2	Habro	0	0.222222222222222	Solitary
LOC727001	4	0	0	Habro	0	0	Solitary
LOC727396	4	0	0	Habro	0	0	Solitary
LOC727447	7	0	0	Habro	0	0	Solitary
LOC727652	5	0	0	Habro	0	0	Solitary
Ppib	6	0	0	Habro	0	0	Solitary
Tpcn1	8	0	1	Habro	0	0.125	Solitary
apd-3	4	4	2	Lasio	1	0.5	Origin of Sociality
CytC	7	0	0	Lasio	0	0	Origin of Sociality
Ef-1a-f1	8	2	1	Lasio	0.25	0.125	Origin of Sociality
Gfat2	26	0	2	Lasio	0	0.0769230769230769	Origin of Sociality
Grd	9	0	0	Lasio	0	0	Origin of Sociality
LOC100576321	3	0	0	Lasio	0	0	Origin of Sociality
LOC100576346	10	0	0	Lasio	0	0	Origin of Sociality
LOC100576512	11	2	3	Lasio	0.181818181818182	0.272727272727273	Origin of Sociality
LOC100576667	6	0	0	Lasio	0	0	Origin of Sociality
LOC100576671	7	0	0	Lasio	0	0	Origin of Sociality
LOC100576812	13	0	0	Lasio	0	0	Origin of Sociality
LOC100576912	7	0	0	Lasio	0	0	Origin of Sociality
LOC100576947	6	0	0	Lasio	0	0	Origin of Sociality
LOC100577053	6	1	0	Lasio	0.166666666666667	0	Origin of Sociality
LOC100577198	14	1	0	Lasio	0.0714285714285714	0	Origin of Sociality
LOC100577231	24	0	0	Lasio	0	0	Origin of Sociality
LOC100577280	8	0	0	Lasio	0	0	Origin of Sociality
LOC100577325	25	0	0	Lasio	0	0	Origin of Sociality
LOC100577363	18	0	0	Lasio	0	0	Origin of Sociality
LOC100577369	9	0	1	Lasio	0	0.111111111111111	Origin of Sociality
LOC100577376	9	0	0	Lasio	0	0	Origin of Sociality
LOC100577397	31	0	0	Lasio	0	0	Origin of Sociality
LOC100577401	2	0	0	Lasio	0	0	Origin of Sociality
LOC100577472	12	0	6	Lasio	0	0.5	Origin of Sociality
LOC100577530	20	2	0	Lasio	0.1	0	Origin of Sociality
LOC100577638	24	0	0	Lasio	0	0	Origin of Sociality
LOC100577644	8	0	0	Lasio	0	0	Origin of Sociality
LOC100577687	5	0	0	Lasio	0	0	Origin of Sociality
LOC100577739	9	0	0	Lasio	0	0	Origin of Sociality
LOC100577901	25	0	0	Lasio	0	0	Origin of Sociality
LOC100577972	36	0	0	Lasio	0	0	Origin of Sociality
LOC100577980	3	2	2	Lasio	0.666666666666667	0.666666666666667	Origin of Sociality
LOC100578031	23	0	0	Lasio	0	0	Origin of Sociality
LOC100578071	21	1	0	Lasio	0.0476190476190476	0	Origin of Sociality
LOC100578126	32	3	2	Lasio	0.09375	0.0625	Origin of Sociality
LOC100578201	5	0	0	Lasio	0	0	Origin of Sociality
LOC100578207	20	1	0	Lasio	0.05	0	Origin of Sociality
LOC100578237	5	0	0	Lasio	0	0	Origin of Sociality
