#Each branch site analysis results in a LRT score that is compared to a chi-square distribution with 1 degree of freedom to give a pvalue
#This table shows the adjusted pvalues for each lineage per tested gene. NA means the test resulted in convergence failure

Gene	All_Post_Elaboration_Sociality	All_Post_Origin_Sociality	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
LOC551086	1	1	1	1	1	1	1	1	2.565594e-28	1	1
LOC551143	1	1	1	1	1	1	1	1	1	1	1
LOC551223	1	1	1	1	1	1	1	1	1	1	1
LOC551400	1	1	1	1	1	1	1	1	1	1	1
LOC551405	1	1	1	1	1	1	1	1	1	1	0.5169314
LOC551560	1	1	1	1	1	1	1	1	1	1	1
LOC551582	1	1	1	1	1	1	0.4297453	1	1	1	1
LOC551587	0.953406542781299	1	1	0.1892554	1	1	1	1	2.518376e-12	1	1
LOC551597	1	1	1	1	1	1	1	1	1	1	1
LOC551761	1	1	1	1	1	1	1	1	1	1	1
LOC551806	1	1	1	1	1	1	1	1	1	1	1
LOC551991	1	1	1	1	1	1	1	1	1	1	1
LOC552024	1	1	1	1	1	1	1	1	1	1	1
LOC552293	1	1	1	1	1	1	1	1	1	1	1
LOC552297	1	1	1	1	1	1	1	1	1	1	0.004515739
LOC552447	1	1	1	1	1	1	1	1	1	1	1
LOC552461	1	1	1	1	1	1	1	1	1	1	1
LOC552523	1	1	1	1	1	1	1	1	1	1	1
LOC552583	1	1	1	1	1	1	1	1	1	1	1
LOC552636	1	1	1	1	1	1	1	1	1	1	9.868312e-05
LOC552686	1	1	1	1	1	1	1	1	1	1	1
LOC552771	1	1	1	1	1	1	1	1	1	1	2.766624e-16
LOC552804	1	1	1	1	1	1	1	1	1	1	1
LOC552832	1	1	1	1	1	1	1	1	1	1	1
LOC724178	1	1	1	1	1	1	1	1	1	1	0.0005527475
LOC724239	1	1	1	1	1	1	1	1	1	1	1
LOC724293	1	1	1	1	1	1	1	1	1	1	1
LOC724365	1	1	1	1	1	1	1	1	1	1	1
LOC724422	1	1	1	0.1075247	1	1	1	1	1	1	1
LOC724465	1	1	1	1	1	1	1	1	1	1	1
LOC724488	1	1	1	1	1	1	1	1	1	1	1
LOC724489	1	1	1	1	1	1	1	1	1	1	1
LOC724536	1	1	1	1	1	NA	1	1	1	1	1
LOC724552	1	1	1	1	1	1	1	1	0.002572232	0.3010984	1
LOC724625	1	1	1	1	1	1	1	1	1	1	1
LOC724640	1	1	1	1	1	1	1	1	1	1	3.609256e-11
LOC724654	1	1	1	1	1	1	1	1	1	1	1
LOC724658	1	1	1	1	1	1	1	1	1	1	1
LOC724779	1	1	1	1	1	1	1	1	1	1	1
LOC724780	1	1	1	1	1	1	1	1	1	1	1
LOC724864	1	1	1	1	1	1	1	1	1	1	1
LOC724865	1	1	1	1	1	1	1	1	1	1	1
LOC724874	1	1	1	1	1	1	1	1	1	1	1
LOC724885	1	1	1	1	1	1	1	1	1	1	4.253776e-06
LOC725026	1	1	1	1	1	1	1	1	0.07655288	1	1
LOC725085	1	1	1	1	1	1	1	1	1	1	1
LOC725106	1	1	1	1	1	1	1	1	1	1	1
LOC725202	1	1	1	1	1	1	1	1	1	1	1
LOC725225	1	1	1	1	1	1	1	1	1	1	1
LOC725238	1	1	1	1	1	1	1	1	1	1	1
LOC725335	1	1	1	1	1	1	1	1	1	1	1
LOC725922	1	1	1	1	1	1	1	1	1	1	1
LOC726040	1	1	1	1	1	1	1	1	1	1	1
LOC726056	1	1	1	1	1	1	1	1	1	1	1
LOC726315	1	1	1	1	1	1	1	1	1.15593e-05	1	1
LOC726318	1	1	1	1	1	1	1	1	1	1	0.6193463
LOC726414	1	1	1	1	1	1	1	1	1	1	1
LOC726418	1	1	1	1	1	1	1	1	1.815477e-07	1	1
LOC726441	1	1	1	1	1	1	1	1	1	1	1
LOC726543	1	1	1	1	1	1	1	1	1	1	1
LOC726601	1	1	1	1	1	1	1	1	1	1	0.02290511
LOC726746	1	1	1	1	1	1	1	1	1	1	1
LOC726839	1	1	1	1	1	1	1	1	1	1	1
LOC726853	1	1	1	1	1	1	1	1	1	1	9.252169e-12
LOC726965	1	1	1	0.5846016	1	1	1	1	1	1	0.4834172
LOC726981	1	1	1	1	1	NA	1	1	1	1	1
LOC727186	1	1	1	0.0009384872	1	1	1	1	1	1	1
LOC727284	1	1	1	1	1	1	1	1	1	1	1
Pban	1	1	1	1	1	1	1	1	1	1	1
Ppib	1	1	1	1	1	1	1	0.0003219178	1	1	1
TpnCIIb	1	1	1	1	1	1	1	1	1	1	0.07083012
Vg	1	1	1	1	6.937933e-05	1	0.000210866	1	1.681584e-06	1	1
Wat	1	1	1	1	1	1	1	1	1	1	1
