Gene	All_Post_Elaboration_Sociality	All_Post_Origin_Sociality	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
IF-2mt	1	1	1	1	1	1	1	1	1	1	1
InR-2	1	1	1	1	1	1	1	1	1	1	1
Ing3	1	1	1	1	1	1	1	1	1	1	1
Jtb	1	1	1	1	1	1	1	1	1	1	1
KAT2A	1	1	1	1	1	1	1	1	1	1	1.115094e-11
Kr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kr-h1	1	1	1	1	1	1	1	1	1	1	1
LCCH3	1	1	1	0.1466627	1	1	1	1	1	1	1.420907e-24
LOC100217360	1	1	1	1	1	1	1	1	1	1	1
LOC100379261	1	1	1	1	1	1	1	1	1	1	1
#Each branch site analysis results in a LRT score that is compared to a chi-square distribution with 1 degree of freedom to give a pvalue
#This table shows the adjusted pvalues for each lineage per tested gene. NA means the test resulted in convergence failure

Gene	All_Post_Elaboration_Sociality	All_Post_Origin_Sociality	All_Solitary	Apis	Social_Corbiculates	Habropoda	Lasioglossum	Megachilidae	Melipona	Dufourea	Ceratina
5-HT1	1	1	1	1	1	1	1	1	1	1	2.924831e-32
5-ht7	1	1	1	1	1	1	1.460161e-08	1	1	1	5.185443e-05
ACSF2	1	1	1	1	1	1	1	1	1	1	1
ATP5G2	1	1	1	1	1	1	1	1	1	1	1
Acph-1	1	1	1	1	1	1	1	1	1	1	1
Adar	1	1	1	1	1	1	1	1	1	1	1
Adk1	1	1	1	1	1	1	1	1	1	1	1
Akhr	1	1	1	1	1	1	1	1	1	1	1
Amel_8916	1	1	1	0.1249736	1	1	1	0.00712335	1	1	7.008442e-07
Ant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antp	1	1	1	1	1	1	1	1	1	1.386076e-20	3.90402e-21
Argk	1	1	1	1	1	1	1	1	1	1	1
BBIP1	1	1	1	1	1	1	1	1	1	1	0.01688649
Blop	1	1	1	1	1	1	1	1	1	1	1.751572e-07
Br-c	1	1	1	1	1	1	1	1	1	1	1
Brd7	1	1	1	1	1	1	1	0.002565966	1	1	1
CPF1	1	1	1	1	1	1	1	1	1	1	1
CPR13	1	1	1	1	1	1	1	1	1	1	1
CPR16	1	1	1	1	1	1	1	1	1	1	1
CPR17	1	1	1	1	1	1	1	1	1	1	1
CPR21	1	1	1	1	1	1	1	1	1	1	1
CPR22	1	1	1	1	1	1	1	1	1	1	1
CPR3	1	1	1	1	1	1	1	1	1	1	1
CPR5	1	1	1	1	1	1	1	1	1	1	1
CSP2	1	1	1	1	1	1	1	1	1	1	1
CSP3	1	1	1	1	1	1	1	1	1	1	1
CSP4	1	1	1	1	1	NA	1	1	1	1	0.2437565
CUTA	1	1	1	1	1	1	1	1	1	1	1
Cac	5.56680282007053e-09	1	1	0.1448425	1	1	1	1	1	1	1.085844e-12
Calpb	1	1	1	1	1	1	1	1	1	1	0.001624971
Cat	1	1	1	1	1	1	1	1	1	1	1
Cbs	1	1	1	1	1	1	1	1	1	1	1
Cdc37	1	1	1	1	1	1	1	1	1	1	1
Cdk5	1	1	1	1	1	1	1	1	1	0.1109755	1.622255e-17
Chmp1	1	1	1	1	1	1	1	1	1	1	1
Coq7	1	1	1	1	1	1	1	1	1	1	1
Cox6c	1	1	1	1	1	1	1	1	1	1	1
Cpap3-c	1	1	1	1	1	1	1	1	1	1	0.04904466
Cry2	1	1	1	1	1	1	1	1	1	1	1
Cyp4g11	1	1	1	1	1	1	1	1	1	1	1
Dat	1	1	1	1	1	1	1	1	1	1	1
Dnmt3	1	1	1	1	1	1	1	1	1	1	1
Dop1	1	1	1	0.003571959	1	1	1	1	1	1	3.695408e-10
DopR2	1	1	1	1	1	1	1	1	1	1	0.0001579351
E74	1	1	1	1	1	1	1	1	1	1	9.06865e-06
EF1a-F2	1	1	1	1	1	1	1	1	1	1	1
Eaat-2	1	1	1	1	1	1	1	1	1	1	1
Ecr	1	1	1	1	1	1	1	1	1	1	1
Ef-1a-f1	1	1	1	1	1	1	1	1	0.005032015	1	0.2369672
Eif3h	1	1	1	1	1	1	1	1	1	1	1
Eif4g	1	1	1	1	1	1	1	0.1619235	1	1	1.918147e-10
Emc	1	1	1	1	1	1	1	1	1	1	1
Err	1	1	1	1	1	1	1	1	1	1	1
Ets97D-like	1	1	1	1	1	1	1	1	1	1	0.0382072
Fem	1	1	1	1	1	1	1	1	1	1	1
For	1.29759643045816e-13	1	1	0.4399833	1	1	1	1	1	1	1
Foxp	1	1	1	1	1	1	1	1	1	1	9.561572e-10
Fstl5	1	1	1	1	1	1	5.037034e-09	1	1	1	1
Gat-1B	1	1	1	1	1	1	1	1	1	1	1.521136e-19
Gat-a	1	1	1	1	1	1	1	1	1	1	1
Gfat2	1	1	1	1	1	1	1	1	2.082693e-10	1	1
GlnS	1	1	1	1	1	1	1	1	1	1	1
Glob1	1	1	1	1	1	1	1	1	1	1	3.211177e-05
Grd	1	1	1	1	1	1	1	1	0.001846909	1	1
GstD1	1	1	1	1	1	1	1	1	1	1	1
GstS4	1	1	1	1	1	1	1	1	1	1	1
Gstcd	1	1	1	1	1	1	1	1	1	1	1
Gtpx1	1	1	1	1	1	1	1	1	1	1	1
Gycbeta1	1	1	1	1	1	1	0.1235441	1	1	1	1
Ho	1	1	1	1	1	1	1	1	1	1	1
Hsc70-3	1	1	1	1	1	1	1	1	1	1	1
Hsc70-5	1	1	1	1	1	1	1	1	1	1	1
IF-2mt	1	1	1	1	1	1	1	1	1	1	1
InR-2	1	1	1	1	1	1	1	1	1	1	1
Ing3	1	1	1	1	1	1	1	1	1	1	1
Jtb	1	1	1	1	1	1	1	1	1	1	1
KAT2A	1	1	1	1	1	1	1	1	1	1	1.115094e-11
Kr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kr-h1	1	1	1	1	1	1	1	1	1	1	1
LCCH3	1	1	1	0.1466627	1	1	1	1	1	1	1.420907e-24
LOC100217360	1	1	1	1	1	1	1	1	1	1	1
LOC100379261	1	1	1	1	1	1	1	1	1	1	1
LOC100576097	1	1	1	1	1	1	1	1	1	1	1
LOC100576099	1	1	1	1	1	1	1	1	1	1	1
LOC100576100	1	1	1	1	1	1	1	1	1	1	1
LOC100576104	1	1	1	1	1	1	1	1	1	1	1
LOC100576110	1	1	1	1	1	1	1	1	1	1	1
LOC100576116	1	1	1	1	1	1	1	1	1	1	1
LOC100576128	1	1	1	1	1	1	1	1	1	1	1
LOC100576130	1	1	1	1	1	1	1	1	1	1	0.1603089
LOC100576131	1	1	1	1	1	1	1	1	1	1	1
LOC100576132	1	1	1	1	1	1	1	1	1	1	1
LOC100576134	1	1	1	1	1	1	1	1	0.3271407	1	1
LOC100576147	1	1	1	1	1	1	1	1	1	1	1
LOC100576152	1	1	1	1	1	1	1	1	1	1	1
LOC100576162	1	1	1	1	0.04127298	1	1	1	1	1	0.05019083
LOC100576163	1	1	1	1	1	1	1	1	1	1	1
LOC100576165	1	1	1	1	9.170788e-06	1	1	1	1	1	1
LOC100576167	1	1	1	1	1	1	1	1	1	1	1
LOC100576169	1	1	1	1	1	1	1	1	1	1	1
LOC100576174	1	1	1	1	1	1	1	1	1	1	1
LOC100576176	1	1	1	1	1	1	1	1	1	1	1
LOC100576182	1	1	1	1	1	1	1	1	1	1	1
LOC100576186	1	1	1	1	1	1	1	1	1	1	1
LOC100576194	1	1	1	1	1	1	1	1	1	1	1
LOC100576195	1	1	1	1	1	1	1	1	1	1	1
LOC100576198	1	1	1	1	0.1967053	1	1	1	0.5213706	0.006442057	1
LOC100576215	1	1	1	1	1	1	1	1	1	1	1
LOC100576220	1	1	1	1	1	1	1	1	0.07560922	1	1
LOC100576221	1	1	1	1	1	1	1	1	1	1	1
LOC100576222	1	1	1	1	1	1	1	1	1	1	1
LOC100576226	1	1	1	1	1	1	1	1	1	1	1
LOC100576227	1	1	1	1	1	1	1	1	1	1	1
LOC100576247	1	1	1	1	1	1	1	1	1	1	1
LOC100576249	1	1	1	1	1	1	1	1	1	1	1
LOC100576261	1	1	1	1	0.8520445	1	1	1	1	1	1
LOC100576266	1	1	1	1	1	1	1	1	1	1	1
LOC100576270	1	1	1	1	1	1	1	1	1	1	1
LOC100576272	1	1	1	1	1	1	1	1	1	1	1
LOC100576273	1	1	1	1	1	1	1	1	1	1	1
LOC100576274	1	1	1	1	1	1	1	1	1	1	1
LOC100576293	1	1	1	1	1	1	1	1	1	1	1
LOC100576298	1	1	1	1	1	1	1	1	1	1	1
LOC100576300	1	1	1	1	1	1	1	1	1	1	1
LOC100576304	1	1	1	1	1	1	1	1	1	1	1
LOC100576307	1	1	1	1	1	1	1	1	1	1	1
LOC100576320	1	1	1	1	1	1	1	1	1	1	0.278238
LOC100576321	1	1	1	1	1	1	1	1	0.05717606	1	4.919398e-15
LOC100576333	1	1	1	1	1	1	0.2396865	1	1	1	1
LOC100576336	1	1	1	1	1	1	1	1	1	1	1
LOC100576337	1	1	1	1	1	1	1	1	1	1	0.3734337
LOC100576346	1	1	1	1	0.1273245	1	0.004318377	2.481483e-05	6.547697e-06	0.4025932	1.170258e-05
LOC100576348	1	1	1	1	1	1	1	1	1	1	1
LOC100576349	1	1	1	1	1	1	1	1	1	1	1
LOC100576355	1	1	1	1	1	1	1	1	1	1	1
LOC100576359	1	1	1	1	1	1	1	1	1	1	0.000138133
LOC100576361	1	1	1	1	1	1	1	1	1	1	0.04451423
LOC100576366	1	1	1	1	1	1	1	1	1	1	1
LOC100576369	1	1	1	0.005829426	1	1	0.4002023	1	1	1	1
LOC100576374	1	1	1	1	1	1	1	0.00716261	1	1	0.000585413
LOC100576381	1	1	1	1	1	1	1	1	1	1	1
LOC100576383	1	1	1	1	1	1	1	1	1	1	1
LOC100576384	1	1	1	1	1	1	1	1	1	1	0.001252003
LOC100576392	1	1	1	1	1	1	1	1	1	1	1
LOC100576400	1	1	1	1	0.9257639	1	1	1	1	1	1
LOC100576402	1	1	1	1	1	1	7.39264e-09	1	0.912073	1	1
LOC100576411	1	1	1	1	1	1	1	1	1	1	1
LOC100576422	1	1	1	1	1	1	1	1	1	1	1
LOC100576432	1	1	1	1	1	1	1	1	1	1	1
LOC100576433	1	1	1	1	1	1	1	0.01474692	1	1	1
LOC100576434	1	1	1	1	1	1	1	1	1	1	0.38828
LOC100576435	1	1	1	1	1	1	1	1	1	1	1
LOC100576436	1	1	1	1	1	1	1	1	1	1	1
LOC100576438	1	1	1	1	1	1	1	0.8638474	1	1	1
LOC100576439	1	1	1	0.1910246	1	1	1	1	1	1	1
LOC100576447	1	1	1	1	1	1	1	1	1	1	1
LOC100576453	1	1	1	1	1	1	1	1	1	1	1
LOC100576460	1	1	1	1	1	1	1	1	1	1	1
LOC100576461	1	1	1	1	1	1	1	0.04334405	1	1	1
LOC100576471	1	1	1	1	1	NA	1	1	1	1	1
LOC100576472	1	1	1	1	1	1	1	5.829408e-10	1	1	0.06004309
LOC100576487	1	1	1	1	1	1	1	1	1	1	0.9183643
LOC100576492	1	1	1	1	1	1	1	1	1	1	1
LOC100576497	1	1	1	1	1	1	1	1	1	1	9.340431e-16
LOC100576506	1	1	1	1	1	1	1	1	0.4035997	1	1
LOC100576512	1	1	1	1	1	1	1	1	7.33481e-05	1	0.2243924
LOC100576515	1	1	1	1	1	1	1	1	1	1	1
LOC100576528	1	1	1	1	1	1	1	1	1	1	1
LOC100576531	1	1	1	1	1	1	1	1	1	1	1
LOC100576532	1	1	1	1	1	1	0.8199485	1	1	1	1
LOC100576542	1	1	1	1	1	1	1	1	1	1	1
LOC100576543	1	1	1	1	1	1	1	1	1	1	5.37418e-05
LOC100576547	1	1	1	1	1	1	1	1	1	1	1
LOC100576559	1	1	1	1	1	1	1	1	1	1	1
LOC100576565	1	1	1	1	1	1	1	1	1	1	1
LOC100576571	1	1	1	1	1	1	1	1	1	1	1
LOC100576572	1	1	1	1	1	1	1	1	1	1	1
LOC100576586	1	1	1	1	1	1	1	1	1	1	1
LOC100576592	1	0.298559246577759	1	1	1	1	1	1	1	1	1
LOC100576600	1	1	1	1	1	1	1	1	1	1	1
LOC100576608	1	1	1	1	1	1	1	1	1	1	9.356314e-06
LOC100576610	1	1	1	1	1	1	1	1	1	0.001993535	1
LOC100576615	1	1	1	1	1	NA	1	1	1	1	0.0008458191
LOC100576621	1	1	1	1	1	1	1	1	1	1	1
LOC100576625	1	1	1	1	1	1	1	1	1	1	1
LOC100576640	1	1	1	6.199476e-07	0.003693379	1	0.005787432	1	1	1	0.4249652
LOC100576646	1	1	1	1	1	1	1	1	1	1	1
LOC100576647	1	1	1	1	1	1	1	1	1	1	1
LOC100576649	1	1	1	1	1	1	1	1	1	1	1
LOC100576662	1	1	1	1	1	1	1	1	1	1	1
LOC100576666	1	1	1	1	1	1	1	1	1	0.008900263	0.01066512
LOC100576667	1	1	1	1	1	1	1	1	8.22456e-07	1	1
LOC100576669	1	1	1	1	1	1	1	1	0.3918678	1	1
LOC100576671	1	1	1	1	1	1	1	1	0.003224373	1	2.466366e-09
LOC100576677	1	1	1	1	1	1	1	0.0003958321	1	1	0.3590205
LOC100576688	1	1	1	1	1	1	1	1	1	1	1
LOC100576702	1	1	1	1	1	1	1	1	1	1	1
LOC100576703	1	1	1	1	1	1	1	0.01706521	1	0.0172509	9.030605e-16
LOC100576708	1	1	1	1	1	1	1	1	1	1	1
LOC100576717	1	1	1	1	1	1	1	1	0.09510612	1	1
LOC100576730	1	1	1	1	1	1	1	1	1	1	1
LOC100576733	1	1	1	1	1	1	1	1	1	1	1
LOC100576735	1	1	1	1	1	1	1	1	1	1	1
LOC100576744	1	1	1	1	1	1	1	1	1	1	1
LOC100576748	1	1	1	1	1	1	1	1	1	1	1
LOC100576754	1	1	1	1	1	1	1	1	1	1	1
LOC100576768	1	1	1	1	1	1	1	1	1	1	1
LOC100576770	1	1	1	1	1	1	1	1	1	1	1
LOC100576774	1	1	1	1	1	1	1	1	1	1	1
LOC100576775	1	1	1	1	1	1	1	1	1	1	1
LOC100576784	1	1	1	1	1	1	1	1	1	1	1
LOC100576789	1	1	1	1	1	1	1	1	1	1	1
LOC100576794	1	1	1	1	1	1	1	1	1	1	1
LOC100576795	1	1	1	1	1	1	1	1	1	1	1
LOC100576796	1	1	1	1	1	1	1	1	1	1	1
LOC100576799	1	1	1	1	1	1	1	1	1	2.691037e-05	1
LOC100576801	1	1	1	1	1	1	1	1	1	1	1
LOC100576805	1	1	1	1	1	NA	1	1	1	1	4.681389e-16
LOC100576812	1	1	1	1	1	1	1	1	6.156381e-06	1	1
LOC100576817	1	1	1	1	1	1	1	1	1	1	1
LOC100576818	1	1	1	0.1074975	1	1	1	1	1	1	1
LOC100576826	1	1	1	1	1	1	1	1	1	1	1
LOC100576829	1	1	1	1	0.1352091	1	1	1	0.1333905	1	1
LOC100576843	1	1	1	1	1	1	1	1	1	1	1
LOC100576847	1	1	1	1	1	1	1	1	1	1	1
LOC100576848	1	1	1	1	1	1	1	1	1	1	1
LOC100576850	1	1	1	1	1	1	1	1	1	1	1
LOC100576855	1	1	1	1	1	1	1	1	1	1	1
LOC100576862	1	1	1	1	1	1	1	1	1	0.5932883	1
LOC100576863	1	1	1	1	1	1	1	1	1	1	1
LOC100576864	1	1	1	1	1	1	1	1	1	1	1
LOC100576866	1	1	1	1	1	1	1	1	1	1	1.837105e-08
LOC100576872	1	1	1	1	1	1	1	1	1	1	1
LOC100576876	1	1	1	1	1	1	1	1	1	1	1
LOC100576879	1	1	1	1	1	1	1	1	1	1	1
LOC100576894	1	1	1	1	1	1	1	1	1	1	1
LOC100576908	1	1	1	1	1	1	1	1	1	1	1
LOC100576912	1	1	1	1	1	1	1	1	0.0001549212	1	0.0003887845
LOC100576915	1	1	1	1	0.04921525	1	1	1.480836e-08	1	1	1
LOC100576919	1	1	1	1	1	1	1	1	1	1	1
LOC100576930	1	1	1	1	1	1	1	1	1	1	1
LOC100576934	1	1	1	1	1	1	1	1	1	1	1
LOC100576938	1	1	1	1	1	1	1	1	0.2788126	1	1
LOC100576947	1	1	1	1	1	1	1	1	0.0278878	1	1
LOC100576951	1	1	1	1	1	1	1	1	1	1	1
LOC100576953	1	1	1	1	1	1	1	1	1	1	0.01363415
LOC100576956	1	1	1	1	1	1	1	1	1	1	1
LOC100576963	1	1	1	1	1	1	1	7.453516e-06	1	1	0.08362628
LOC100576965	1	1	1	1	1	1	1	1	1	1	1.209267e-09
LOC100576966	1	1	1	1	1	1	1	1	1	1	0.07125238
LOC100576967	1	1	1	1	1	1	1	1	1	1	1
LOC100576968	1	1	1	1	1	1	1	1	1	1	1
LOC100576972	1	1	1	1	1	1	1	1	1	1	1
LOC100576974	1	1	1	1	1	1	1	1	1	1	0.01336145
LOC100576975	1	1	1	1	1	1	1	1	1	1	1
LOC100576982	1	1	1	1	1	1	1	1	1	1	1
LOC100576990	1	1	1	1	1	1	1	1	1	1	1
LOC100576993	1	1	1	1	1	1	1	1	1	1	1
LOC100576994	1	1	1	1	1	1	1	1	1	1	1
LOC100577000	1	1	1	1	1	1	1	1	1	1	1
LOC100577002	1	1	1	1	1	1	0.768385	1	1	1	1
LOC100577003	1	1	1	1	1	1	1	1	1	1	1
LOC100577004	1	1	1	1	1	1	1	1	1	1	1
LOC100577019	1	1	1	1	1	NA	1	1	1	1	1
LOC100577026	1	1	1	1	1	1	1	1	1	1	1
LOC100577027	1	1	1	1	1	1	1	1	1	1	1
LOC100577028	1	1	1	1	1	1	1	1	1	1	1
LOC100577030	1	1	1	0.9719822	1	1	1	1	1	1	2.726407e-12
LOC100577033	1	1	1	1	1	1	1	1	1	1	1
LOC100577050	1	1	1	1	1	1	1	1	1	1	1
LOC100577053	1	1	1	1	1	1	1	1	0.04948708	1	1
LOC100577069	1	1	1	1	1	1	1	1	1	1	0.01586951
LOC100577081	1	1	1	1	1	1	1	1	1	1	1
LOC100577082	1	1	1	1	1	1	1	1	1	1	1
LOC100577092	1	1	1	0.2272268	1	1	1	1	1	1	1.571086e-09
LOC100577094	1	1	1	1	1	1	1	1	1	1	1
LOC100577098	1	1	1	1	1	1	1	1	1	1	2.785792e-05
LOC100577110	1	1	1	1	1	1	1	1	1	1	1
LOC100577120	1	1	1	1	1	1	1	1	1	1	0.0001366853
LOC100577127	1	1	1	1	1	1	1	1	0.2059377	1	1
LOC100577128	1	1	1	1	1	1	1	1	1	1	1
LOC100577135	1	1	1	1	1	1	1	1	1	1	1
LOC100577136	1	1	1	1	1	1	1	1	1	1	0.00058767
LOC100577140	1	1	1	1	1	1	1	1	1	1	3.412688e-07
LOC100577147	1	1	1	0.144403	1	1	1	0.4386035	1	1	1
LOC100577174	1	1	1	1	1	1	1	1	1	1	1
LOC100577180	1	1	1	1	1	1	1	1	1	1	1
LOC100577192	1	1	1	1	1	1	1	1	1	1	1
LOC100577194	1	1	1	0.000118004	1	1	1	1	1	1	1
LOC100577198	1	1	1	1	1	1	0.0002606466	1	0.0006712755	1	1
LOC100577213	1	1	1	1	1	1	1	1	1	1	1
LOC100577231	1	1	1	1	1	1	1	1	1.179445e-07	1	1
LOC100577237	1	1	1	1	1	1	1	1	1	1	1
LOC100577239	1	1	1	1	1	1	1	1	1	1	1
LOC100577253	1	1	1	1	1	1	1	1	1	0.118419	1
LOC100577263	1	1	1	1	1	1	1	1	1	1	1
LOC100577268	1	1	1	1	1	1	1	1	1	1	4.99422e-09
LOC100577272	1	1	1	1	1	1	1	1	1	1	1
LOC100577273	1	1	1	1	1	1	1	1	1	1	1
LOC100577280	1	1	1	1	1	1	1	1	0.03582995	0.1253802	0.3782162
LOC100577293	1	1	1	1	1	1	1	1	1	1	1
LOC100577296	1	1	1	1	1	1	1	1	1	1	0.002565799
LOC100577300	1	1	1	1	1	1	1	1	1	1	1
LOC100577308	1	1	1	1	1	1	1	1	1	1	1
LOC100577324	1	1	1	1	1	1	1	1	1	1	0.4645336
LOC100577325	1	1	1	1	1	1	1	1	4.152163e-12	1	1
LOC100577341	1	1	1	1	1	1	1	1	1	1	1
LOC100577342	1	1	1	1	1	1	1	1	1	1	1
LOC100577344	1	1	1	1	1	1	1	1	1	1	1
LOC100577348	1	1	1	1	1	1	1	1	1	1	1
LOC100577362	1	1	1	1	1	1	1	1	1	1	1
LOC100577363	1	1	1	1	1	1	1	1	0.02209992	1	1
LOC100577369	1	1	1	1	1	1	1	1	0.0001546683	1	1
LOC100577376	1	1	1	1	1	1	1	1	0.008098746	1	5.705181e-11
LOC100577377	1	1	1	0.06185542	1	1	1	1	1	1	1
LOC100577378	1	1	1	1	1	1	1	1	1	1	1
LOC100577382	1	1	1	1	1	1	1	1	1	1	1
LOC100577385	1	1	1	1	1	1	1	1	1	1	1
LOC100577386	1	1	1	1	1	1	1	0.1860577	1	1	1.349671e-06
LOC100577393	1	1	1	1	1	1	1	1	1	1	1
LOC100577397	1	1	1	1	1	1	1	1	0.002761306	1	1
LOC100577401	1	1	1	1	1	1	1	1	0.0713242	1	1
LOC100577409	1	1	1	0.0001385595	1	1	1	1	1	1	1
LOC100577410	1	1	1	1	1	1	1	1	1	1	1
LOC100577418	1	1	1	1	1	1	1	1	0.9383212	1	1
LOC100577423	1	1	1	1	1	1	1	1	1	1	1
LOC100577449	1	1	1	1	0.5718762	1	1	1	1	1	1
LOC100577450	1	1	1	1	1	1	1	1	1	1	1
LOC100577451	1	1	1	1	1	1	1	1	1	1	1
LOC100577452	1	1	1	1	1	1	1	1	1	1	1
LOC100577454	1	1	1	1	1	1	1	1	1	1	1
LOC100577472	1	1	1	1	1	1	1	1	1.177915e-12	1	1
LOC100577481	1	1	1	1	1	1	1	1	1	1	1
LOC100577493	1	1	1	1	1	1	1	1	1	1	1
LOC100577499	1	1	1	1	1	1	1	1	1	1	1
LOC100577501	1	1	1	1	1	1	1	1	1	1	1
LOC100577506	1	1	1	1	1	1	1	1	1	1	1
LOC100577515	1	1	1	1	1	1	1	1	1	1	1
LOC100577516	1	1	1	1	1	NA	1	1	1	1	1
LOC100577520	1	1	1	1	1	1	1	1	1	1	1
LOC100577525	1	1	1	1	1	1	1	1	1	1	1
LOC100577527	1	1	1	0.01965286	1	1	1	1	1	1	7.121086e-06
LOC100577530	1	1	1	1	1	1	1	1	0.008325183	1	1
LOC100577533	1	1	1	1	1	1	1	1	1	1	1
LOC100577546	1	1	1	1	1	1	1	1	1	1	1
LOC100577561	1	1	1	1	1	1	1	1	1	1	1.124554e-13
LOC100577575	1	1	1	1	1	1	0.006019457	1	1	1	1
LOC100577576	1	1	1	1	1	1	1	1	1	1	1
LOC100577578	1	1	1	1	1	1	1	1	1	1	1
LOC100577579	1	1	1	1	1	1	1	1	1	1	1
LOC100577580	1	1	1	1	1	1	1	1	1	1	1
LOC100577596	1	1	1	1	1	1	1	1	0.1398579	1	1
LOC100577600	1	1	1	1	1	1	1	1	1	1	9.459689e-15
LOC100577606	1	1	1	1	1	1	1	1	1	1	0.01447959
LOC100577610	1	1	1	1	1	1	1	1	1	1	1
LOC100577623	1	1	1	1	1	1	1	1	1	1	1
LOC100577635	1	1	1	1	1	1	1	1	1	1	1
LOC100577638	1	1	1	1	1	1	1	1	5.103465e-07	1	1.387896e-06
