GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology	SocOrigin	Class	Immune
GO:0071035	nuclear polyadenylation-dependent rRNA c...	7	1	0.01	91	0.0138	0.01375	Biological Process	AllComplex	Background	0
GO:0071038	nuclear polyadenylation-dependent tRNA c...	7	1	0.01	92	0.0138	0.01375	Biological Process	AllComplex	Background	0
GO:0090278	negative regulation of peptide hormone s...	8	1	0.02	94	0.0157	0.0157	Biological Process	AllComplex	Background	0
GO:0043633	polyadenylation-dependent RNA catabolic ...	8	1	0.02	95	0.0157	0.0157	Biological Process	AllComplex	Background	0
GO:0043634	polyadenylation-dependent ncRNA cataboli...	8	1	0.02	96	0.0157	0.0157	Biological Process	AllComplex	Background	0
GO:0034475	U4 snRNA 3'-end processing	8	1	0.02	97	0.0157	0.0157	Biological Process	AllComplex	Background	0
GO:0046888	negative regulation of hormone secretion	8	1	0.02	98	0.0157	0.0157	Biological Process	AllComplex	Background	0
GO:0035418	protein localization to synapse	9	1	0.02	101	0.0176	0.01765	Biological Process	AllComplex	Background	0
GO:0010606	positive regulation of cytoplasmic mRNA ...	9	1	0.02	102	0.0176	0.01765	Biological Process	AllComplex	Background	0
GO:0034427	nuclear-transcribed mRNA catabolic proce...	9	1	0.02	104	0.0176	0.01765	Biological Process	AllComplex	Background	0
GO:0061323	cell proliferation involved in heart mor...	10	1	0.02	108	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:2000725	regulation of cardiac muscle cell differ...	10	1	0.02	109	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:2000727	positive regulation of cardiac muscle ce...	10	1	0.02	110	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0016075	rRNA catabolic process	10	1	0.02	111	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0031125	rRNA 3'-end processing	10	1	0.02	112	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:1905209	positive regulation of cardiocyte differ...	10	1	0.02	113	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0045844	positive regulation of striated muscle t...	10	1	0.02	114	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0003263	cardioblast proliferation	10	1	0.02	115	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0003264	regulation of cardioblast proliferation	10	1	0.02	116	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:2000136	regulation of cell proliferation involve...	10	1	0.02	117	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:2000138	positive regulation of cell proliferatio...	10	1	0.02	118	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:1905304	regulation of cardiac myofibril assembly	10	1	0.02	119	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:1905306	positive regulation of cardiac myofibril...	10	1	0.02	120	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:1905062	positive regulation of cardioblast proli...	10	1	0.02	121	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0055024	regulation of cardiac muscle tissue deve...	10	1	0.02	122	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0055025	positive regulation of cardiac muscle ti...	10	1	0.02	123	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0043928	exonucleolytic catabolism of deadenylate...	10	1	0.02	124	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:1901863	positive regulation of muscle tissue dev...	10	1	0.02	125	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0055003	cardiac myofibril assembly	10	1	0.02	126	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0002090	regulation of receptor internalization	10	1	0.02	127	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0002092	positive regulation of receptor internal...	10	1	0.02	128	0.0196	0.01959	Biological Process	AllComplex	Background	0
GO:0022407	regulation of cell-cell adhesion	112	2	0.22	131	0.0205	0.02046	Biological Process	AllComplex	Background	0
GO:1903429	regulation of cell maturation	114	2	0.23	134	0.0212	0.02115	Biological Process	AllComplex	Background	0
GO:0016078	tRNA catabolic process	11	1	0.02	136	0.0215	0.02153	Biological Process	AllComplex	Background	0
GO:0071028	nuclear mRNA surveillance	11	1	0.02	138	0.0215	0.02153	Biological Process	AllComplex	Background	0
GO:0006839	mitochondrial transport	118	2	0.23	141	0.0226	0.02256	Biological Process	AllComplex	Background	0
GO:0010603	regulation of cytoplasmic mRNA processin...	12	1	0.02	144	0.0235	0.02346	Biological Process	AllComplex	Background	0
GO:0046012	positive regulation of oskar mRNA transl...	12	1	0.02	145	0.0235	0.02346	Biological Process	AllComplex	Background	0
GO:0072337	modified amino acid transport	12	1	0.02	146	0.0235	0.02346	Biological Process	AllComplex	Background	0
GO:0000291	nuclear-transcribed mRNA catabolic proce...	12	1	0.02	147	0.0235	0.02346	Biological Process	AllComplex	Background	0
GO:0031623	receptor internalization	12	1	0.02	148	0.0235	0.02346	Biological Process	AllComplex	Background	0
GO:0042127	regulation of cell population proliferat...	564	4	1.11	150	0.0238	0.0238	Biological Process	AllComplex	Background	0
GO:0055059	asymmetric neuroblast division	125	2	0.25	153	0.0251	0.02512	Biological Process	AllComplex	Background	0
GO:0000290	deadenylation-dependent decapping of nuc...	13	1	0.03	154	0.0254	0.02539	Biological Process	AllComplex	Background	0
GO:0002792	negative regulation of peptide secretion	13	1	0.03	155	0.0254	0.02539	Biological Process	AllComplex	Background	0
GO:0036445	neuronal stem cell division	129	2	0.25	157	0.0266	0.02663	Biological Process	AllComplex	Background	0
GO:0055057	neuroblast division	129	2	0.25	158	0.0266	0.02663	Biological Process	AllComplex	Background	0
GO:0030710	regulation of border follicle cell delam...	14	1	0.03	161	0.0273	0.02732	Biological Process	AllComplex	Background	0
GO:0016199	axon midline choice point recognition	132	2	0.26	165	0.0278	0.02778	Biological Process	AllComplex	Background	0
GO:0098609	cell-cell adhesion	336	3	0.66	166	0.0279	0.02792	Biological Process	AllComplex	Background	0
GO:0009636	response to toxic substance	337	3	0.67	167	0.0281	0.02813	Biological Process	AllComplex	Background	0
GO:0098586	cellular response to virus	15	1	0.03	169	0.0292	0.02924	Biological Process	AllComplex	Background	1
GO:0034661	ncRNA catabolic process	15	1	0.03	170	0.0292	0.02924	Biological Process	AllComplex	Background	0
GO:0048103	somatic stem cell division	145	2	0.29	180	0.033	0.03303	Biological Process	AllComplex	Background	0
GO:0110154	RNA decapping	17	1	0.03	181	0.0331	0.03308	Biological Process	AllComplex	Background	0
GO:0110156	methylguanosine-cap decapping	17	1	0.03	182	0.0331	0.03308	Biological Process	AllComplex	Background	0
GO:1902414	protein localization to cell junction	17	1	0.03	183	0.0331	0.03308	Biological Process	AllComplex	Background	0
GO:0016198	axon choice point recognition	149	2	0.29	185	0.0347	0.03471	Biological Process	AllComplex	Background	0
GO:0000466	maturation of 5.8S rRNA from tricistroni...	19	1	0.04	187	0.0369	0.0369	Biological Process	AllComplex	Background	0
GO:0052128	positive energy taxis	19	1	0.04	188	0.0369	0.0369	Biological Process	AllComplex	Background	0
GO:0071025	RNA surveillance	19	1	0.04	189	0.0369	0.0369	Biological Process	AllComplex	Background	0
GO:0071027	nuclear RNA surveillance	19	1	0.04	190	0.0369	0.0369	Biological Process	AllComplex	Background	0
GO:0046956	positive phototaxis	19	1	0.04	191	0.0369	0.0369	Biological Process	AllComplex	Background	0
GO:0048636	positive regulation of muscle organ deve...	20	1	0.04	194	0.0388	0.0388	Biological Process	AllComplex	Background	0
GO:0022611	dormancy process	20	1	0.04	195	0.0388	0.0388	Biological Process	AllComplex	Background	0
GO:0060914	heart formation	20	1	0.04	197	0.0388	0.0388	Biological Process	AllComplex	Background	0
GO:0030155	regulation of cell adhesion	159	2	0.31	198	0.0391	0.03907	Biological Process	AllComplex	Background	0
GO:0034389	lipid droplet organization	21	1	0.04	200	0.0407	0.04071	Biological Process	AllComplex	Background	0
GO:0003723	RNA binding	967	8	1.89	1	0.00033	0.00033	Molecular Function	AllComplex	Background	0
GO:0000095	S-adenosyl-L-methionine transmembrane tr...	3	1	0.01	3	0.00586	0.00586	Molecular Function	AllComplex	Background	0
GO:0000099	sulfur amino acid transmembrane transpor...	7	1	0.01	5	0.01363	0.01363	Molecular Function	AllComplex	Background	0
GO:0015184	L-cystine transmembrane transporter acti...	7	1	0.01	6	0.01363	0.01363	Molecular Function	AllComplex	Background	0
GO:0005158	insulin receptor binding	9	1	0.02	9	0.01749	0.01749	Molecular Function	AllComplex	Background	0
GO:0030628	pre-mRNA 3'-splice site binding	9	1	0.02	10	0.01749	0.01749	Molecular Function	AllComplex	Background	0
GO:0004697	protein kinase C activity	9	1	0.02	11	0.01749	0.01749	Molecular Function	AllComplex	Background	0
GO:0072349	modified amino acid transmembrane transp...	12	1	0.02	12	0.02326	0.02326	Molecular Function	AllComplex	Background	0
GO:0035255	ionotropic glutamate receptor binding	15	1	0.03	13	0.02899	0.02899	Molecular Function	AllComplex	Background	0
GO:0000340	RNA 7-methylguanosine cap binding	16	1	0.03	14	0.0309	0.0309	Molecular Function	AllComplex	Background	0
GO:0035254	glutamate receptor binding	17	1	0.03	15	0.0328	0.0328	Molecular Function	AllComplex	Background	0
GO:0005154	epidermal growth factor receptor binding	19	1	0.04	16	0.03659	0.03659	Molecular Function	AllComplex	Background	0
GO:0000339	RNA cap binding	23	1	0.05	18	0.04413	0.04413	Molecular Function	AllComplex	Background	0
GO:0005102	signaling receptor binding	422	3	0.83	19	0.04789	0.04789	Molecular Function	AllComplex	Background	0
GO:0071212	subsynaptic reticulum	43	2	0.09	1	0.0035	0.0035	Cellular Component	AllComplex	Background	0
GO:1990904	ribonucleoprotein complex	745	6	1.54	2	0.0035	0.0035	Cellular Component	AllComplex	Background	0
GO:0016607	nuclear speck	58	2	0.12	5	0.0064	0.0064	Cellular Component	AllComplex	Background	0
GO:0000932	P-body	72	2	0.15	6	0.0096	0.0096	Cellular Component	AllComplex	Background	0
GO:0016323	basolateral plasma membrane	231	3	0.48	7	0.0117	0.0117	Cellular Component	AllComplex	Background	0
GO:0009925	basal plasma membrane	231	3	0.48	8	0.0117	0.0117	Cellular Component	AllComplex	Background	0
GO:0000177	cytoplasmic exosome (RNase complex)	9	1	0.02	9	0.0185	0.0185	Cellular Component	AllComplex	Background	0
GO:0045178	basal part of cell	279	3	0.58	10	0.0194	0.0194	Cellular Component	AllComplex	Background	0
GO:0060293	germ plasm	107	2	0.22	11	0.0205	0.0205	Cellular Component	AllComplex	Background	0
GO:0044754	autolysosome	10	1	0.02	12	0.0205	0.0205	Cellular Component	AllComplex	Background	0
GO:0005767	secondary lysosome	11	1	0.02	13	0.0226	0.0226	Cellular Component	AllComplex	Background	0
GO:0000176	nuclear exosome (RNase complex)	12	1	0.02	15	0.0246	0.0246	Cellular Component	AllComplex	Background	0
GO:0005652	nuclear lamina	12	1	0.02	16	0.0246	0.0246	Cellular Component	AllComplex	Background	0
GO:0045495	pole plasm	118	2	0.24	17	0.0246	0.0246	Cellular Component	AllComplex	Background	0
GO:0031252	cell leading edge	126	2	0.26	18	0.0278	0.0278	Cellular Component	AllComplex	Background	0
GO:0045179	apical cortex	137	2	0.28	20	0.0324	0.0324	Cellular Component	AllComplex	Background	0
GO:0000178	exosome (RNase complex)	16	1	0.03	21	0.0327	0.0327	Cellular Component	AllComplex	Background	0
GO:1905354	exoribonuclease complex	16	1	0.03	22	0.0327	0.0327	Cellular Component	AllComplex	Background	0
GO:0005764	lysosome	138	2	0.29	23	0.0328	0.0328	Cellular Component	AllComplex	Background	0
GO:0000323	lytic vacuole	139	2	0.29	24	0.0333	0.0333	Cellular Component	AllComplex	Background	1
GO:0035062	omega speckle	20	1	0.04	25	0.0407	0.0407	Cellular Component	AllComplex	Background	0
GO:0061689	tricellular tight junction	21	1	0.04	26	0.0426	0.0426	Cellular Component	AllComplex	Background	0
GO:1903461	Okazaki fragment processing involved in ...	3	1	0	3	0.0023	0.0023	Biological Process	AllOrigin	Background	0
GO:0001678	cellular glucose homeostasis	4	1	0	4	0.0031	0.0031	Biological Process	AllOrigin	Background	0
GO:0035291	specification of segmental identity, int...	5	1	0	5	0.0039	0.0039	Biological Process	AllOrigin	Background	0
GO:0007526	larval somatic muscle development	133	2	0.1	7	0.0045	0.0045	Biological Process	AllOrigin	Background	0
GO:0006266	DNA ligation	6	1	0	8	0.0046	0.0046	Biological Process	AllOrigin	Background	0
GO:0035167	larval lymph gland hemopoiesis	158	2	0.12	10	0.0064	0.0064	Biological Process	AllOrigin	Background	0
GO:0051156	glucose 6-phosphate metabolic process	10	1	0.01	13	0.0077	0.0077	Biological Process	AllOrigin	Background	0
GO:0048680	positive regulation of axon regeneration	11	1	0.01	15	0.0085	0.0085	Biological Process	AllOrigin	Background	0
GO:0048193	Golgi vesicle transport	190	2	0.15	17	0.0091	0.0091	Biological Process	AllOrigin	Background	0
GO:0048194	Golgi vesicle budding	17	1	0.01	19	0.0131	0.0131	Biological Process	AllOrigin	Background	0
GO:0010876	lipid localization	251	2	0.19	22	0.0155	0.0155	Biological Process	AllOrigin	Background	0
GO:0035289	posterior head segmentation	21	1	0.02	24	0.0162	0.0162	Biological Process	AllOrigin	Background	0
GO:0009608	response to symbiont	22	1	0.02	27	0.0169	0.0169	Biological Process	AllOrigin	Background	0
GO:0045332	phospholipid translocation	26	1	0.02	30	0.02	0.02	Biological Process	AllOrigin	Background	0
GO:0016204	determination of muscle attachment site	27	1	0.02	34	0.0208	0.0208	Biological Process	AllOrigin	Background	0
GO:0042866	pyruvate biosynthetic process	28	1	0.02	35	0.0215	0.0215	Biological Process	AllOrigin	Background	0
GO:0034204	lipid translocation	29	1	0.02	37	0.0223	0.0223	Biological Process	AllOrigin	Background	0
GO:0005975	carbohydrate metabolic process	306	2	0.24	38	0.0225	0.0225	Biological Process	AllOrigin	Background	0
GO:0042694	muscle cell fate specification	30	1	0.02	39	0.023	0.023	Biological Process	AllOrigin	Background	0
GO:0097035	regulation of membrane lipid distributio...	30	1	0.02	40	0.023	0.023	Biological Process	AllOrigin	Background	0
GO:1904894	positive regulation of receptor signalin...	30	1	0.02	43	0.023	0.023	Biological Process	AllOrigin	Background	1
GO:0046427	positive regulation of receptor signalin...	30	1	0.02	44	0.023	0.023	Biological Process	AllOrigin	Background	1
GO:0006890	retrograde vesicle-mediated transport, G...	32	1	0.02	45	0.0246	0.0246	Biological Process	AllOrigin	Background	0
GO:0006757	ATP generation from ADP	35	1	0.03	47	0.0268	0.0268	Biological Process	AllOrigin	Background	0
GO:0006096	glycolytic process	35	1	0.03	48	0.0268	0.0268	Biological Process	AllOrigin	Background	0
GO:0043486	histone exchange	35	1	0.03	49	0.0268	0.0268	Biological Process	AllOrigin	Background	0
GO:0046835	carbohydrate phosphorylation	36	1	0.03	50	0.0276	0.0276	Biological Process	AllOrigin	Background	0
GO:0035203	regulation of lamellocyte differentiatio...	36	1	0.03	51	0.0276	0.0276	Biological Process	AllOrigin	Background	0
GO:0045613	regulation of plasmatocyte differentiati...	36	1	0.03	52	0.0276	0.0276	Biological Process	AllOrigin	Background	0
GO:0046031	ADP metabolic process	37	1	0.03	54	0.0284	0.0284	Biological Process	AllOrigin	Background	0
GO:0019363	pyridine nucleotide biosynthetic process	38	1	0.03	55	0.0291	0.0291	Biological Process	AllOrigin	Background	0
GO:0019359	nicotinamide nucleotide biosynthetic pro...	38	1	0.03	56	0.0291	0.0291	Biological Process	AllOrigin	Background	0
GO:0090277	positive regulation of peptide hormone s...	38	1	0.03	57	0.0291	0.0291	Biological Process	AllOrigin	Background	0
GO:0006334	nucleosome assembly	38	1	0.03	58	0.0291	0.0291	Biological Process	AllOrigin	Background	0
GO:0009166	nucleotide catabolic process	39	1	0.03	60	0.0299	0.0299	Biological Process	AllOrigin	Background	0
GO:0015914	phospholipid transport	40	1	0.03	61	0.0306	0.0306	Biological Process	AllOrigin	Background	0
GO:0072525	pyridine-containing compound biosyntheti...	41	1	0.03	62	0.0314	0.0314	Biological Process	AllOrigin	Background	0
GO:1901292	nucleoside phosphate catabolic process	41	1	0.03	64	0.0314	0.0314	Biological Process	AllOrigin	Background	0
GO:1903706	regulation of hemopoiesis	42	1	0.03	65	0.0321	0.0321	Biological Process	AllOrigin	Background	0
GO:0035171	lamellocyte differentiation	42	1	0.03	66	0.0321	0.0321	Biological Process	AllOrigin	Background	0
GO:0046887	positive regulation of hormone secretion	42	1	0.03	67	0.0321	0.0321	Biological Process	AllOrigin	Background	0
GO:0006165	nucleoside diphosphate phosphorylation	44	1	0.03	69	0.0336	0.0336	Biological Process	AllOrigin	Background	0
GO:0046939	nucleotide phosphorylation	44	1	0.03	70	0.0336	0.0336	Biological Process	AllOrigin	Background	0
GO:0042387	plasmatocyte differentiation	45	1	0.03	72	0.0344	0.0344	Biological Process	AllOrigin	Background	1
GO:0090276	regulation of peptide hormone secretion	47	1	0.04	74	0.0359	0.0359	Biological Process	AllOrigin	Background	0
GO:0030072	peptide hormone secretion	47	1	0.04	75	0.0359	0.0359	Biological Process	AllOrigin	Background	0
GO:0035168	larval lymph gland hemocyte differentiat...	48	1	0.04	76	0.0366	0.0366	Biological Process	AllOrigin	Background	0
GO:0042693	muscle cell fate commitment	51	1	0.04	77	0.0389	0.0389	Biological Process	AllOrigin	Background	0
GO:0006090	pyruvate metabolic process	51	1	0.04	78	0.0389	0.0389	Biological Process	AllOrigin	Background	0
GO:0048580	regulation of post-embryonic development	52	1	0.04	79	0.0396	0.0396	Biological Process	AllOrigin	Background	0
GO:0034404	nucleobase-containing small molecule bio...	54	1	0.04	80	0.0411	0.0411	Biological Process	AllOrigin	Background	0
GO:0006900	vesicle budding from membrane	55	1	0.04	81	0.0419	0.0419	Biological Process	AllOrigin	Background	0
GO:0015748	organophosphate ester transport	56	1	0.04	82	0.0426	0.0426	Biological Process	AllOrigin	Background	0
GO:0046879	hormone secretion	59	1	0.05	85	0.0449	0.0449	Biological Process	AllOrigin	Background	0
GO:0090502	RNA phosphodiester bond hydrolysis, endo...	59	1	0.05	86	0.0449	0.0449	Biological Process	AllOrigin	Background	0
GO:0046883	regulation of hormone secretion	59	1	0.05	87	0.0449	0.0449	Biological Process	AllOrigin	Background	0
GO:0046434	organophosphate catabolic process	60	1	0.05	88	0.0456	0.0456	Biological Process	AllOrigin	Background	0
GO:0009914	hormone transport	60	1	0.05	89	0.0456	0.0456	Biological Process	AllOrigin	Background	0
GO:0006754	ATP biosynthetic process	62	1	0.05	90	0.0471	0.0471	Biological Process	AllOrigin	Background	0
GO:0009168	purine ribonucleoside monophosphate bios...	62	1	0.05	91	0.0471	0.0471	Biological Process	AllOrigin	Background	0
GO:0009127	purine nucleoside monophosphate biosynth...	62	1	0.05	92	0.0471	0.0471	Biological Process	AllOrigin	Background	0
GO:0019362	pyridine nucleotide metabolic process	64	1	0.05	94	0.0486	0.0486	Biological Process	AllOrigin	Background	0
GO:0009206	purine ribonucleoside triphosphate biosy...	64	1	0.05	95	0.0486	0.0486	Biological Process	AllOrigin	Background	0
GO:0009145	purine nucleoside triphosphate biosynthe...	64	1	0.05	96	0.0486	0.0486	Biological Process	AllOrigin	Background	0
GO:0046496	nicotinamide nucleotide metabolic proces...	64	1	0.05	97	0.0486	0.0486	Biological Process	AllOrigin	Background	0
GO:0008419	RNA lariat debranching enzyme activity	3	1	0	1	0.0026	0.0026	Molecular Function	AllOrigin	Background	0
GO:0004340	glucokinase activity	4	1	0	2	0.0034	0.0034	Molecular Function	AllOrigin	Background	0
GO:0019158	mannokinase activity	4	1	0	3	0.0034	0.0034	Molecular Function	AllOrigin	Background	0
GO:0008865	fructokinase activity	5	1	0	4	0.0043	0.0043	Molecular Function	AllOrigin	Background	0
GO:0003910	DNA ligase (ATP) activity	6	1	0.01	7	0.0051	0.0051	Molecular Function	AllOrigin	Background	0
GO:0019955	cytokine binding	20	1	0.02	10	0.0169	0.0169	Molecular Function	AllOrigin	Background	0
GO:0005548	phospholipid transporter activity	40	1	0.03	13	0.0336	0.0336	Molecular Function	AllOrigin	Background	0
GO:0030126	COPI vesicle coat	10	1	0.01	1	0.0072	0.0072	Cellular Component	AllOrigin	Background	0
GO:0010225	response to UV-C	3	1	0	1	0.0011	0.0011	Biological Process	AllSol	Background	0
GO:0097688	glutamate receptor clustering	5	1	0	3	0.0018	0.0018	Biological Process	AllSol	Background	0
GO:1900744	regulation of p38MAPK cascade	5	1	0	4	0.0018	0.0018	Biological Process	AllSol	Background	1
GO:1901562	response to paraquat	6	1	0	5	0.0021	0.0021	Biological Process	AllSol	Background	0
GO:0009635	response to herbicide	6	1	0	6	0.0021	0.0021	Biological Process	AllSol	Background	0
GO:0097753	membrane bending	15	1	0.01	8	0.0053	0.0053	Biological Process	AllSol	Background	0
GO:0045678	positive regulation of R7 cell different...	22	1	0.01	9	0.0077	0.0077	Biological Process	AllSol	Background	0
GO:0006749	glutathione metabolic process	30	1	0.01	12	0.0105	0.0105	Biological Process	AllSol	Background	0
GO:0043407	negative regulation of MAP kinase activi...	49	1	0.02	16	0.0172	0.0172	Biological Process	AllSol	Background	1
GO:0046528	imaginal disc fusion	53	1	0.02	18	0.0186	0.0186	Biological Process	AllSol	Background	0
GO:0046529	imaginal disc fusion, thorax closure	53	1	0.02	19	0.0186	0.0186	Biological Process	AllSol	Background	0
GO:0006575	cellular modified amino acid metabolic p...	55	1	0.02	20	0.0193	0.0193	Biological Process	AllSol	Background	0
GO:0071901	negative regulation of protein serine/th...	60	1	0.02	21	0.021	0.021	Biological Process	AllSol	Background	0
GO:0070303	negative regulation of stress-activated ...	64	1	0.02	22	0.0224	0.0224	Biological Process	AllSol	Background	0
GO:0032873	negative regulation of stress-activated ...	64	1	0.02	23	0.0224	0.0224	Biological Process	AllSol	Background	0
GO:0046329	negative regulation of JNK cascade	64	1	0.02	24	0.0224	0.0224	Biological Process	AllSol	Background	1
GO:0040034	regulation of development, heterochronic	73	1	0.03	25	0.0255	0.0255	Biological Process	AllSol	Background	0
GO:0043409	negative regulation of MAPK cascade	80	1	0.03	26	0.0279	0.0279	Biological Process	AllSol	Background	1
GO:0099173	postsynapse organization	82	1	0.03	27	0.0286	0.0286	Biological Process	AllSol	Background	0
GO:0046580	negative regulation of Ras protein signa...	88	1	0.03	28	0.0307	0.0307	Biological Process	AllSol	Background	0
GO:0006469	negative regulation of protein kinase ac...	99	1	0.03	29	0.0344	0.0344	Biological Process	AllSol	Background	0
GO:0051058	negative regulation of small GTPase medi...	102	1	0.04	30	0.0355	0.0355	Biological Process	AllSol	Background	0
GO:0033673	negative regulation of kinase activity	102	1	0.04	31	0.0355	0.0355	Biological Process	AllSol	Background	0
GO:0051348	negative regulation of transferase activ...	106	1	0.04	32	0.0368	0.0368	Biological Process	AllSol	Background	0
GO:0030522	intracellular receptor signaling pathway	119	1	0.04	34	0.0413	0.0413	Biological Process	AllSol	Background	0
GO:0043405	regulation of MAP kinase activity	129	1	0.05	35	0.0447	0.0447	Biological Process	AllSol	Background	1
GO:0016034	maleylacetoacetate isomerase activity	1	1	0	1	0.00034	0.00034	Molecular Function	AllSol	Background	0
GO:0004364	glutathione transferase activity	14	1	0	2	0.00476	0.00476	Molecular Function	AllSol	Background	0
GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	16	1	0.01	4	0.00544	0.00544	Molecular Function	AllSol	Background	0
GO:0004722	protein serine/threonine phosphatase act...	67	1	0.02	8	0.02263	0.02263	Molecular Function	AllSol	Background	0
GO:0004879	nuclear receptor activity	73	1	0.02	10	0.02464	0.02464	Molecular Function	AllSol	Background	0
GO:0098531	ligand-activated transcription factor ac...	73	1	0.02	11	0.02464	0.02464	Molecular Function	AllSol	Background	0
