Gene	AlnLength	Amel	Aflo	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
GlnS	1104	43.66	42.39	48.73	48.46	57.79	58.24	50.54	50.27	57.43	48.91	50.72
Glob1	456	47.15	46.93	44.52	45.39	56.58	41.89	47.37	45.83	48.68	46.71	41.89
Grd	1452	45.94	46.21	49.45	49.66	51.93	49.24	49.79	50.55	52.27	44.70	45.52
Gstcd	1440	32.64	31.67	36.39	37.08	49.38	45.62	36.88	38.89	51.11	39.51	37.71
GstD1	603	44.11	40.80	43.45	42.79	46.10	45.94	43.12	49.59	47.76	42.12	45.77
GstS4	582	41.75	42.44	42.78	42.27	46.56	46.05	45.70	46.05	51.72	44.85	46.05
Gtpx1	504	31.75	31.15	38.10	38.49	40.28	45.44	41.67	43.85	46.83	39.48	41.87
Gycbeta1	1473	51.32	51.60	49.90	49.56	49.49	52.82	51.19	51.12	53.16	54.31	49.97
Hex70a	1821	37.12	36.41	37.23	36.85	43.16	48.38	37.18	39.37	49.31	40.80	39.48
Ho	723	26.14	26.28	32.92	31.95	40.66	32.64	31.81	31.81	34.44	33.89	32.23
Hsc70-3	1947	35.08	34.87	39.75	39.29	52.23	40.93	36.21	39.09	47.46	38.57	38.62
Hsc70-4	1935	42.02	41.91	43.46	43.67	50.70	46.10	42.17	42.95	48.53	44.19	46.77
Hsc70-5	1023	37.15	35.97	39.49	39.69	41.74	40.57	37.44	37.54	42.13	37.24	42.91
Hsp90	2088	33.57	33.48	38.70	38.51	45.02	38.31	35.54	39.13	40.61	38.46	38.03
IF-2mt	1926	28.45	28.66	33.28	32.71	39.88	40.24	30.79	31.62	40.03	34.06	34.16
Imd	714	31.93	29.41	33.47	32.63	40.62	38.80	31.79	38.24	37.39	33.61	31.79
Ing3	1182	38.07	37.82	38.66	39.00	43.91	41.03	38.75	40.69	43.15	39.59	40.61
InR-2	2244	58.82	56.86	49.11	49.20	51.60	55.44	56.91	53.52	57.84	58.78	52.85
Jtb	1440	32.64	31.67	36.39	37.08	49.38	45.62	36.88	38.89	51.11	39.51	37.71
KAT2A	2325	30.28	30.41	34.32	34.67	44.13	37.08	32.39	34.54	41.68	39.31	35.23
Kr-h1	1371	40.48	40.34	45.30	45.59	53.61	52.74	41.58	43.25	52.59	43.84	42.45
Kr	1092	60.90	59.80	50.73	49.27	55.40	59.07	58.33	57.60	55.95	59.07	57.69
LCCH3	1371	40.77	42.30	46.32	46.97	50.11	45.22	45.15	44.64	49.02	43.69	41.43
Lin-52	330	35.45	34.85	39.09	38.79	43.64	40.91	37.27	36.97	43.94	36.36	39.70
LOC100217360	714	40.20	45.38	43.28	43.98	47.90	53.08	47.20	41.46	52.24	41.60	48.60
LOC100379261	1290	40.54	39.30	44.34	44.65	48.76	46.82	43.33	46.82	51.55	43.57	51.40
LOC100576097	1812	45.75	45.14	48.95	48.84	54.64	53.81	54.47	56.02	54.75	51.55	53.64
LOC100576099	354	27.68	28.81	31.64	31.64	40.11	34.46	32.49	33.62	40.96	29.66	48.87
LOC100576100	807	23.42	23.17	28.87	27.76	39.90	34.32	28.13	30.24	42.01	26.77	32.71
LOC100576104	840	31.19	31.31	34.64	35.12	37.26	36.07	32.14	34.05	42.02	33.93	37.02
LOC100576110	1638	42.61	42.00	51.10	50.92	53.17	55.86	49.27	52.69	51.77	49.15	50.67
LOC100576116	2154	35.93	35.75	44.52	44.75	48.98	50.79	42.76	49.63	52.27	44.01	48.19
LOC100576120	1809	28.08	28.75	31.79	31.56	38.58	35.93	31.45	32.95	41.18	35.27	33.17
LOC100576128	867	48.79	48.21	48.79	48.44	53.29	54.67	49.25	48.90	53.98	42.56	49.83
LOC100576130	336	42.56	43.45	44.05	44.05	52.38	59.52	41.07	44.94	52.08	55.06	46.73
LOC100576131	1761	31.91	31.69	35.49	35.43	38.33	43.33	34.47	33.56	38.96	35.66	36.46
LOC100576132	513	39.77	38.21	43.86	42.50	47.17	46.39	41.13	44.25	49.12	47.56	45.61
LOC100576134	477	57.86	58.07	58.07	57.23	58.49	60.80	58.70	60.80	61.01	55.56	57.44
LOC100576147	1059	62.80	62.89	52.22	52.69	57.51	57.70	56.37	53.26	59.40	58.55	60.25
LOC100576152	609	53.53	52.22	48.28	47.78	54.84	52.05	48.28	50.74	55.34	53.20	52.71
LOC100576162	1839	29.58	29.58	33.77	34.09	50.08	38.17	33.39	35.02	46.55	33.66	33.12
LOC100576163	276	34.42	36.59	41.67	41.67	42.03	43.48	39.13	38.77	47.10	39.13	38.04
LOC100576165	483	29.61	28.99	35.40	35.20	39.13	37.68	33.33	35.82	45.34	37.89	36.23
LOC100576167	867	40.25	42.68	41.75	41.18	38.41	45.91	42.91	46.02	51.56	40.02	36.91
LOC100576169	4161	33.31	33.36	36.53	36.60	40.69	42.08	34.87	39.58	48.23	36.15	39.15
LOC100576174	375	30.13	31.73	34.40	33.33	35.47	33.33	31.73	35.47	38.93	32.80	34.67
LOC100576176	1521	29.78	30.11	33.66	33.40	42.01	37.87	33.07	35.24	43.00	33.53	34.71
LOC100576182	570	52.11	53.16	60.53	60.88	58.60	58.42	59.30	58.60	62.98	51.58	58.77
LOC100576186	1329	32.28	32.28	38.30	38.68	42.89	41.23	35.89	40.71	43.34	48.98	36.57
LOC100576194	825	48.24	48.24	42.67	42.91	50.06	52.12	47.27	42.79	47.52	46.42	43.76
LOC100576195	198	27.27	26.77	35.35	33.33	39.90	34.34	32.32	31.82	38.38	33.33	34.34
LOC100576198	1920	31.20	30.36	37.45	36.82	44.11	46.88	34.53	38.23	48.65	33.44	43.75
LOC100576215	378	44.18	43.12	49.21	49.74	54.23	51.85	46.56	49.47	50.79	45.24	50.00
LOC100576220	486	36.21	37.24	41.36	41.36	49.79	49.59	41.36	39.09	45.68	39.09	38.07
LOC100576221	1287	28.21	28.52	34.19	33.57	42.81	36.60	32.87	33.49	42.35	34.81	35.98
LOC100576222	732	47.54	47.54	48.91	48.77	53.01	56.15	52.32	51.37	53.28	49.86	50.96
LOC100576226	549	27.32	27.69	31.15	30.97	36.07	37.16	29.51	32.24	39.53	32.42	31.33
LOC100576227	2436	25.53	25.62	30.38	30.13	34.20	34.40	28.57	29.89	34.44	30.30	30.38
LOC100576247	1734	62.05	60.67	56.75	56.75	60.78	58.36	60.21	58.48	64.53	60.15	60.73
LOC100576249	1470	50.14	50.00	48.30	48.37	53.67	51.56	52.18	53.47	49.80	55.03	50.68
LOC100576261	1275	25.88	25.25	29.25	29.18	41.80	31.06	28.39	28.63	34.75	30.12	30.51
LOC100576266	1875	37.87	37.92	41.71	40.85	45.60	45.12	39.89	41.92	45.71	47.73	42.35
LOC100576270	369	30.08	29.81	34.15	33.88	38.21	36.04	32.79	36.04	37.67	35.77	35.77
LOC100576272	888	27.82	27.48	31.53	31.19	40.99	33.22	31.98	31.87	40.88	30.18	29.62
LOC100576273	1941	29.83	29.88	32.30	32.66	39.16	35.09	32.61	34.05	46.21	34.00	32.77
LOC100576274	927	26.75	26.43	30.10	29.45	31.28	33.01	30.74	32.69	41.64	29.67	28.91
LOC100576277	1320	49.47	48.18	44.92	44.85	45.15	50.76	53.18	50.15	46.82	51.52	49.55
LOC100576284	945	50.69	50.79	42.96	43.39	48.04	49.84	53.54	47.94	48.25	51.96	43.49
LOC100576293	1368	41.74	40.42	46.64	46.13	50.80	54.46	44.08	50.37	54.75	44.52	53.73
LOC100576298	939	24.60	25.35	31.42	30.99	35.36	30.88	27.05	29.82	37.49	29.18	29.82
LOC100576300	1533	40.38	39.20	46.64	46.77	54.14	53.03	41.81	47.62	49.18	46.97	42.60
LOC100576304	1320	49.47	48.18	44.92	44.85	45.15	50.76	53.18	50.15	46.82	51.52	49.55
LOC100576307	900	57.00	56.56	51.56	51.67	51.11	54.00	49.89	49.89	54.22	49.89	47.56
LOC100576320	561	44.56	45.81	44.56	45.28	46.35	43.14	44.92	45.28	43.85	43.49	41.71
LOC100576321	5004	34.85	34.45	39.07	38.85	46.56	40.35	37.33	38.47	42.09	43.71	44.88
LOC100576333	1041	41.79	42.56	42.46	42.84	44.19	47.17	40.92	41.69	47.07	47.93	44.57
LOC100576336	543	39.78	39.23	43.46	44.38	51.57	45.49	39.96	43.46	45.86	43.65	38.49
LOC100576337	531	22.41	22.41	28.81	28.25	36.16	30.89	27.68	29.57	30.70	37.48	29.57
LOC100576346	3270	23.55	23.52	29.94	29.94	41.07	35.84	29.08	31.47	39.97	27.92	31.44
LOC100576348	696	25.86	26.29	33.91	32.90	36.78	31.47	32.90	30.89	34.63	31.47	32.04
LOC100576349	672	32.29	33.04	38.39	38.24	48.81	42.41	36.76	39.43	42.41	37.65	39.73
LOC100576355	588	59.52	59.52	52.38	53.57	54.93	54.93	56.80	54.25	55.78	55.78	51.19
LOC100576359	1785	32.04	32.55	35.13	34.85	43.36	35.85	33.89	34.29	41.40	35.24	35.13
LOC100576361	525	47.24	44.76	45.90	46.67	48.19	45.90	46.67	44.57	46.29	48.38	44.38
LOC100576366	1230	26.50	26.75	30.08	29.67	35.61	32.28	30.65	30.08	36.75	31.22	31.46
LOC100576369	666	52.85	54.20	59.91	59.76	59.91	59.61	57.81	56.16	59.01	57.51	57.06
LOC100576374	3294	24.83	24.86	27.87	27.81	35.52	35.19	26.93	29.02	35.64	27.50	29.81
LOC100576381	477	35.43	35.64	39.83	38.78	40.46	38.78	35.64	39.20	46.33	39.83	40.04
LOC100576383	1719	31.94	31.88	35.37	35.14	42.23	39.33	33.39	36.82	40.55	36.18	35.54
LOC100576384	4122	54.42	55.46	48.16	47.99	50.63	50.17	49.08	46.36	50.19	49.93	46.75
LOC100576392	1224	54.33	52.53	50.33	50.82	58.74	55.15	58.50	56.37	57.60	53.92	55.56
LOC100576400	705	29.50	29.08	33.76	34.18	42.70	35.74	32.20	35.74	42.13	31.49	32.20
LOC100576402	6441	29.50	29.87	33.10	33.08	41.05	39.02	32.45	34.84	41.02	32.74	34.79
LOC100576411	1899	31.28	31.70	34.33	34.07	39.76	38.65	34.18	34.97	44.02	35.07	34.23
LOC100576414	1326	31.98	33.03	47.21	46.61	47.36	48.64	45.25	49.55	55.28	43.59	52.26
LOC100576422	549	32.06	32.06	34.24	33.33	38.07	36.43	33.15	34.06	35.70	35.70	33.33
LOC100576432	2229	30.55	30.69	34.72	34.45	42.75	38.40	35.22	38.22	40.56	33.74	39.39
LOC100576433	1683	31.73	31.61	34.11	34.11	43.02	38.68	34.05	34.76	37.91	33.69	37.08
LOC100576434	504	44.44	43.45	49.60	47.62	50.79	51.39	47.02	41.67	53.57	54.96	41.47
LOC100576435	1728	46.12	43.98	47.92	47.34	45.49	49.02	46.01	50.69	53.88	48.84	45.54
LOC100576436	1464	24.93	25.07	29.23	29.17	33.95	32.38	26.43	29.03	36.82	29.51	31.49
LOC100576438	636	36.64	37.11	41.67	41.35	52.83	45.44	41.82	47.48	50.79	44.81	48.58
LOC100576439	234	26.50	26.50	29.91	30.34	38.46	32.05	25.64	30.34	33.33	26.92	27.78
LOC100576447	348	50.29	51.72	47.13	46.26	50.00	51.72	50.29	50.00	49.71	54.02	48.28
LOC100576453	234	23.08	23.93	27.78	27.78	38.03	32.91	26.92	31.62	34.62	26.07	30.34
LOC100576460	609	38.42	39.08	38.59	39.08	41.22	40.39	43.19	40.56	40.72	40.39	40.56
LOC100576461	1254	40.67	39.23	47.21	47.13	56.46	53.03	42.11	50.32	56.22	47.21	49.68
LOC100576471	774	58.01	59.56	56.46	53.36	54.91	56.46	58.27	54.52	56.20	58.01	55.56
LOC100576472	3042	33.23	33.14	35.70	35.83	40.99	38.10	35.21	34.58	37.97	35.31	36.55
LOC100576487	498	27.31	26.91	34.34	34.14	44.58	34.14	31.93	37.15	39.36	37.55	33.94
LOC100576492	102	25.49	25.49	35.29	35.29	34.31	30.39	27.45	31.37	34.31	28.43	32.35
LOC100576497	1887	36.94	37.73	45.36	44.83	53.63	47.48	44.36	47.16	47.64	44.73	48.70
LOC100576506	519	26.59	26.40	30.25	30.06	34.49	34.30	30.25	32.37	36.42	36.80	31.60
LOC100576512	201	50.25	51.74	48.76	46.77	52.24	53.73	56.72	52.74	55.22	45.27	47.26
LOC100576515	393	28.24	28.24	34.35	34.61	45.04	38.42	32.06	33.59	39.44	36.90	37.40
LOC100576527	1506	32.93	33.07	37.05	36.85	39.71	39.97	37.58	39.84	48.80	40.24	39.18
LOC100576528	291	59.11	60.14	60.14	60.14	58.76	53.95	57.04	56.36	58.76	62.89	52.58
LOC100576531	531	26.37	26.74	29.94	31.26	32.39	31.64	29.00	30.13	38.98	30.32	30.70
LOC100576532	378	30.69	29.63	35.45	34.39	43.65	39.15	32.01	35.45	39.95	32.01	32.01
LOC100576542	228	31.14	31.14	32.02	31.58	42.54	32.46	32.89	32.46	35.96	32.89	33.77
LOC100576543	564	26.77	27.48	33.33	34.04	35.11	36.35	32.62	34.57	38.48	34.93	34.75
LOC100576547	1803	44.59	45.65	49.64	49.36	56.24	50.92	48.81	51.80	52.63	49.97	47.86
LOC100576559	615	27.48	26.83	31.38	31.71	44.55	33.66	29.43	30.08	39.02	33.17	35.45
LOC100576565	768	27.60	27.73	30.86	30.60	34.11	32.16	29.95	31.77	36.72	30.47	33.59
LOC100576571	321	29.91	30.22	29.91	29.60	36.45	36.76	31.78	33.33	38.01	34.58	33.64
LOC100576572	1335	27.49	27.57	32.13	31.99	35.73	34.98	30.64	32.51	39.78	29.44	34.53
LOC100576586	2031	34.91	35.16	37.37	37.27	42.54	38.95	38.11	37.91	45.00	37.86	38.60
LOC100576592	486	22.43	23.25	23.87	24.69	30.04	27.37	25.51	29.01	32.10	24.69	27.37
LOC100576600	2100	30.33	30.38	31.90	31.90	49.19	33.76	31.95	32.14	40.81	32.14	32.57
LOC100576608	855	24.56	24.68	29.24	29.01	38.36	28.65	25.85	27.84	33.68	24.91	28.30
LOC100576610	1344	23.21	22.69	29.84	28.42	41.96	32.74	27.90	30.21	33.85	26.79	31.77
LOC100576615	1407	37.81	39.59	43.64	44.28	51.95	51.88	45.27	48.19	53.16	51.10	48.12
LOC100576621	201	28.36	28.86	41.79	38.31	33.33	34.33	29.85	34.83	39.30	31.84	33.83
LOC100576625	2607	27.46	27.81	32.95	32.95	45.68	36.79	30.96	32.30	38.28	30.34	34.37
LOC100576640	2784	48.38	46.66	43.86	43.68	43.53	51.58	48.28	46.59	51.76	50.07	48.96
LOC100576646	705	33.48	34.04	37.59	38.01	42.13	42.13	35.74	39.86	46.81	37.02	38.72
LOC100576647	1644	27.37	27.07	32.30	31.63	42.15	36.31	29.62	31.87	37.23	34.31	33.21
LOC100576649	1611	24.02	24.21	28.31	28.06	40.97	32.03	28.49	28.80	33.71	27.37	30.48
LOC100576660	1299	32.33	31.10	35.41	35.64	44.34	38.57	35.87	38.03	45.50	40.34	38.26
LOC100576662	213	46.01	51.64	44.13	42.72	48.83	49.30	52.58	47.89	52.11	44.60	51.17
LOC100576663	321	39.88	40.50	44.55	44.86	50.16	47.04	41.12	42.99	48.60	48.60	44.86
LOC100576666	1896	41.09	40.72	45.68	46.10	50.42	52.32	44.15	49.79	53.48	51.85	50.21
LOC100576667	1509	31.88	32.41	35.85	35.72	43.34	39.17	34.33	36.25	44.33	37.18	35.45
LOC100576669	1128	24.02	24.38	28.46	27.22	43.62	29.43	26.51	27.13	31.56	27.30	29.26
LOC100576671	2160	51.76	50.56	52.50	52.27	54.95	53.94	52.41	52.73	60.32	56.76	53.66
LOC100576677	918	24.07	24.18	29.52	29.52	34.20	30.39	25.82	27.56	34.64	27.78	28.43
LOC100576688	306	41.18	41.18	47.06	47.39	48.69	52.94	39.87	49.67	51.96	50.65	44.77
LOC100576702	363	52.89	53.72	54.27	52.62	55.10	51.24	56.75	52.62	52.89	48.48	53.44
LOC100576703	2199	46.79	45.75	45.48	45.20	49.52	52.57	45.34	48.75	53.84	51.07	49.52
LOC100576708	1068	24.44	24.34	33.99	32.96	34.83	33.33	28.09	29.31	33.90	28.18	30.52
LOC100576717	3594	30.41	30.91	35.36	35.70	50.67	38.48	33.19	36.12	43.52	43.74	33.50
LOC100576730	258	43.80	44.19	47.67	49.22	50.00	50.39	46.12	50.39	55.04	45.74	48.84
LOC100576733	459	28.32	30.28	35.08	35.08	52.07	44.01	35.95	33.99	40.74	32.03	33.99
LOC100576735	534	25.84	27.53	35.39	35.39	40.82	37.64	30.71	33.71	42.70	31.27	34.46
LOC100576742	2244	40.64	39.57	42.74	42.60	46.39	45.05	42.74	44.74	51.16	44.47	48.44
LOC100576744	1086	26.70	26.43	34.07	32.50	36.56	33.89	29.83	33.52	39.69	35.91	34.81
LOC100576748	360	31.94	33.06	43.61	45.56	41.94	44.17	39.17	48.33	50.28	40.28	46.94
LOC100576754	2391	25.14	25.26	28.77	29.32	35.63	33.42	28.86	29.28	38.60	28.65	30.57
LOC100576765	561	25.85	27.09	32.62	32.26	36.72	37.97	32.80	33.51	42.78	31.55	34.58
LOC100576768	1701	32.28	32.86	36.63	36.27	40.45	39.92	34.80	38.21	45.21	36.45	38.10
LOC100576770	852	26.64	26.06	31.69	32.39	35.33	33.69	30.28	30.28	38.26	33.22	31.69
LOC100576774	1611	23.84	24.33	28.24	27.93	31.72	29.30	26.75	29.73	33.64	27.68	29.92
LOC100576775	1905	22.99	23.25	28.45	28.45	34.65	32.23	25.67	29.87	34.96	32.49	29.76
LOC100576784	495	33.94	34.55	37.37	37.58	43.23	39.39	36.36	37.98	42.83	37.58	36.36
LOC100576789	1209	27.21	26.72	31.84	31.02	40.53	35.15	31.60	32.34	41.52	31.35	32.26
LOC100576794	900	31.22	31.78	36.33	36.11	42.44	40.89	35.11	36.22	40.56	40.56	37.11
LOC100576795	981	35.58	35.58	41.39	40.98	49.54	41.79	37.21	36.80	49.34	42.51	37.00
LOC100576796	243	34.57	32.51	38.27	39.09	46.50	45.27	34.98	43.62	51.44	41.56	41.15
LOC100576799	2952	37.67	39.70	44.88	44.34	48.20	48.85	45.77	47.53	51.90	48.04	49.73
LOC100576801	522	29.12	29.89	31.99	31.99	51.53	47.13	32.76	40.23	52.68	36.97	42.91
LOC100576805	672	55.21	54.76	51.19	51.19	55.80	56.40	52.53	51.93	55.65	49.70	51.93
LOC100576812	672	27.53	27.38	30.80	31.25	38.10	37.05	28.27	27.98	36.16	28.87	30.36
LOC100576817	2658	36.49	36.72	38.04	38.11	51.62	44.24	38.60	39.05	48.31	38.34	42.78
LOC100576818	972	29.22	28.09	32.20	32.51	37.96	34.16	31.38	33.54	42.90	30.97	33.44
LOC100576819	1221	28.26	28.17	32.35	32.19	35.38	35.79	32.02	35.71	37.76	34.32	35.87
LOC100576826	885	43.16	44.29	50.51	50.28	54.92	54.92	48.14	49.60	54.12	52.88	50.17
LOC100576829	2313	34.11	35.11	37.09	37.09	49.98	43.28	37.31	38.56	41.33	36.88	40.03
LOC100576843	1194	42.63	41.29	47.49	47.49	44.72	50.67	47.32	46.82	49.41	46.15	45.56
LOC100576847	309	33.98	33.01	36.25	36.25	39.16	41.10	32.36	35.92	42.39	33.66	36.89
LOC100576848	1011	29.18	29.28	32.34	32.84	46.98	37.39	31.75	33.23	38.48	32.84	34.42
LOC100576850	1119	28.60	29.67	33.78	33.78	40.48	37.18	32.80	34.23	41.64	32.71	36.10
LOC100576855	864	32.41	32.64	37.04	36.81	50.58	50.23	35.65	40.39	46.53	39.81	43.63
LOC100576862	1017	23.30	23.01	27.63	27.93	42.38	31.76	27.53	28.61	29.70	27.63	26.94
LOC100576863	996	26.31	26.00	31.12	30.42	38.65	33.73	30.22	32.53	35.74	32.53	30.02
