Gene	dN/dS
LOC100578168	  0.07842
LOC100578201	  0.14992
LOC100578209	  0.01936
LOC100578215	  0.04357
LOC100578235	  0.08747
LOC100578248	  0.08579
LOC100578255	  0.08230
LOC100578269	  0.20347
LOC100578277	  0.08817
LOC100578298	  0.24574
LOC100578321	  0.04541
LOC100578329	  0.21743
LOC100578356	  0.14420
LOC100578380	  0.07600
LOC100578417	  0.15675
LOC100578423	  0.06943
LOC100578433	  0.06958
LOC100578439	  0.08200
LOC100578442	  0.20131
LOC100578443	  0.13721
LOC100578450	  0.03472
LOC100578478	  0.12166
LOC100578498	  0.07412
LOC100578513	  0.13598
LOC100578519	  0.08876
LOC100578530	  0.14195
LOC100578537	  0.08410
LOC100578560	  0.08976
LOC100578579	  0.10613
LOC100578586	  0.12549
LOC100578597	  0.13630
LOC100578602	  0.13530
LOC100578641	  0.17416
LOC100578653	  0.13937
LOC100578660	  0.04655
LOC100578697	  0.09897
LOC100578704	  0.11731
LOC100578715	  0.06025
LOC100578721	  0.09186
LOC100578725	  0.07742
LOC100578726	  0.14000
LOC100578730	  0.17301
LOC100578732	  0.13825
LOC100578810	  0.02777
LOC100578824	  0.01700
LOC100578864	  0.16866
LOC100578875	  0.08541
LOC100578879	  0.09331
LOC100578893	  0.14485
LOC100578924	  0.07974
LOC100578927	  0.02149
LOC100578955	  0.15152
LOC100579007	  0.13423
LOC100579008	  0.17769
LOC102653588	  0.00545
LOC102653784	  0.14020
LOC102653793	  0.09222
LOC102653862	  0.25419
LOC102653875	  0.06946
LOC102653879	  0.08173
LOC102653930	  0.03564
LOC102653951	  0.00624
LOC102653965	  0.06927
LOC102654014	  0.17098
LOC102654159	  0.21527
LOC102654165	  0.07030
LOC102654188	  0.05101
LOC102654312	  0.05047
LOC102654349	  0.18662
LOC102654365	  0.16613
LOC102654448	
LOC102654490	  0.03302
LOC102654510	  0.23387
LOC102654534	  0.04562
LOC102654610	  0.07877
LOC102654621	  0.34003
LOC102654777	  0.04733
LOC102654839	  0.19742
LOC102654895	  0.13404
LOC102654959	  0.13208
LOC102654987	  0.02321
LOC102655030	  0.01433
LOC102655034	  0.08409
LOC102655219	  0.15378
LOC102655240	  0.12020
LOC102655244	  0.06843
LOC102655259	  0.17572
LOC102655436	  0.09512
LOC102655470	  0.15935
LOC102655485	  0.02932
LOC102655540	  0.15166
LOC102655679	  0.05811
LOC102655688	  0.17311
LOC102655689	  0.10461
LOC102655778	  0.09981
LOC102655836	  0.09432
LOC102655877	  0.07557
LOC102655904	  0.01657
LOC102655922	  0.20094
LOC102655945	  0.08603
LOC102655948	  0.07335
LOC102655995	  0.09544
LOC102656093	  0.07358
LOC102656170	  0.06209
LOC102656183	  0.10380
LOC102656263	  0.13800
LOC102656287	  0.03917
LOC102656425	  0.11312
LOC102656433	  0.10459
LOC102656485	  0.17144
LOC102656505	  0.04183
LOC102656594	  0.33658
LOC102656620	  0.20060
LOC102656685	  0.15437
LOC102656846	  0.07854
LOC102656890	  0.10118
LOC107963983	  0.06929
LOC107963991	  0.03172
LOC107963993	  0.05079
LOC107964020	  0.04774
LOC107964083	  0.06620
LOC107964089	  0.08156
LOC107964206	  0.01037
LOC107964349	  0.03397
LOC107964404	  0.12285
LOC107964422	  0.29807
LOC107964473	  0.24518
LOC107964507	  0.14608
LOC107964635	  0.16792
LOC107964828	  0.07566
LOC107964839	  0.13737
LOC107964891	  0.02825
LOC107964896	  0.03205
LOC107965021	  0.07869
LOC107965070	  0.25502
LOC107965199	  0.18245
LOC107965225	  0.07027
LOC107965250	  0.09894
LOC107965266	  0.15604
LOC107965335	  0.06598
LOC107965486	  0.17903
LOC107965508	  0.12579
LOC107965749	  0.08452
LOC107965828	  0.11349
LOC113218526	  0.05119
LOC113218534	  0.11807
LOC113218670	  0.17572
LOC113218723	
LOC113218965	  0.06581
LOC113219058	  0.07193
LOC113219119	  0.07108
LOC113219232	  0.03029
LOC113219244	  0.15514
LOC113219272	  0.05402
LOC113219309	  0.11376
LOC113219314	  0.19930
LOC113219328	  0.14100
LOC113219401	  0.18036
LOC113219418	  0.22026
LOC113219424	  0.12549
LOC406097	  0.02592
LOC406114	  0.13515
LOC408271	  0.02213
LOC408275	  0.05763
LOC408276	  0.06175
LOC408286	  0.03149
LOC408301	  0.07677
LOC408303	  0.15877
LOC408304	  0.09745
LOC408312	  0.04157
LOC408316	  0.07469
LOC408335	  0.12039
LOC408346	  0.03253
LOC408351	  0.17542
LOC408355	  0.15574
LOC408358	  0.08380
LOC408367	  0.03227
LOC408369	  0.12021
LOC408386	  0.03294
LOC408387	  0.08568
LOC408391	  0.00212
LOC408401	  0.03650
LOC408402	  0.07253
LOC408415	  0.00625
LOC408417	  0.02550
LOC408421	  0.22770
LOC408424	  0.11771
LOC408426	  0.10250
LOC408434	  0.07846
LOC408438	  0.09294
LOC408439	  0.14800
LOC408446	  0.04183
LOC408448	  0.02184
LOC408457	  0.09207
LOC408458	  0.02965
LOC408461	  0.09585
LOC408463	  0.03057
LOC408474	  0.14114
LOC408481	  0.00102
LOC408497	  0.14337
LOC408501	  0.10198
LOC408510	  0.13052
LOC408511	  0.08759
LOC408512	  0.14098
LOC408520	  0.04789
LOC408527	  0.01903
LOC408528	  0.07582
LOC408533	  0.03639
LOC408538	  0.11260
LOC408542	  0.18004
LOC408544	  0.05868
LOC408546	  0.07945
LOC408552	  0.15984
LOC408556	  0.05216
LOC408561	  0.12140
LOC408563	  0.08610
LOC408564	  0.09667
LOC408567	  0.08064
LOC408573	  0.02257
LOC408575	  0.01859
LOC408576	  0.00373
LOC408579	  0.17614
LOC408592	  0.11666
LOC408596	  0.04359
LOC408597	  0.04169
LOC408618	  0.03575
LOC408634	  0.11040
LOC408642	  0.13457
LOC408649	  0.03571
LOC408653	  0.04679
LOC408661	  0.08789
LOC408662	  0.06770
LOC408668	  0.13702
LOC408687	  0.04367
LOC408694	  0.01260
LOC408695	  0.14180
LOC408697	  0.10581
LOC408717	  0.53528
LOC408722	  0.07383
LOC408741	  0.08591
LOC408742	  0.10020
LOC408748	  0.04602
LOC408751	  0.05698
LOC408752	  0.10789
LOC408754	  0.00624
LOC408755	  0.08229
LOC408759	  0.04017
LOC408766	  0.08933
LOC408774	  0.10042
LOC408775	  0.04206
LOC408785	  0.09230
LOC408791	  0.05442
LOC408793	  0.08216
LOC408799	  0.01586
LOC408804	  0.02216
LOC408808	  0.16696
LOC408815	  0.09895
LOC408819	  0.05221
LOC408821	  0.08533
LOC408827	  0.05728
LOC408833	  0.16263
LOC408834	  0.01832
LOC408836	  0.02022
LOC408851	  0.09901
LOC408871	  0.10676
LOC408877	  0.04036
LOC408890	  0.03347
LOC408892	  0.11062
LOC408901	  0.03524
LOC408906	  0.04553
LOC408922	  0.06397
LOC408924	  0.26822
LOC408925	  0.09285
LOC408945	  0.04502
LOC408951	  0.01162
LOC408955	  0.09256
LOC408958	  0.05923
LOC408965	  0.03068
LOC408966	  0.09753
LOC408971	  0.04077
LOC408979	  0.02818
LOC408982	  0.01129
LOC408989	  0.17111
LOC409004	  0.07540
LOC409007	  0.04282
LOC409010	  0.11914
LOC409016	  0.06684
LOC409017	  0.05746
LOC409023	  0.05786
LOC409024	  0.02967
LOC409026	  0.07358
LOC409032	  0.16424
LOC409036	  0.02896
LOC409041	  0.03919
LOC409055	  0.02718
LOC409068	  0.07215
LOC409075	  0.08669
LOC409078	  0.19201
LOC409085	  0.06526
LOC409087	  0.04044
LOC409093	  0.06147
LOC409096	  0.09314
LOC409098	  0.05579
LOC409103	  0.11181
LOC409109	  0.10839
LOC409111	  0.07101
LOC409117	  0.06310
LOC409125	  0.07336
LOC409154	  0.04364
LOC409157	  0.06476
LOC409165	  0.04234
LOC409179	  0.03582
LOC409180	  0.08764
LOC409189	  0.13163
LOC409191	  0.05832
LOC409196	  0.08959
LOC409199	  0.07855
LOC409201	  0.06177
LOC409202	  0.00292
LOC409203	  0.23666
LOC409217	  0.02862
LOC409218	  0.10347
LOC409226	  0.07872
LOC409245	  0.04377
LOC409249	  0.11639
LOC409255	  0.03420
LOC409260	  0.15389
LOC409262	  0.06056
LOC409263	  0.08004
LOC409264	  0.03854
LOC409265	  0.02189
LOC409270	  0.04629
LOC409271	  0.02538
LOC409279	  0.01924
LOC409286	  0.02780
LOC409288	  0.05418
LOC409292	  0.02963
LOC409293	  0.06257
LOC409299	  0.05018
LOC409308	  0.00281
LOC409314	  0.13901
LOC409315	  0.03262
LOC409320	  0.07492
LOC409329	  0.02993
LOC409334	  0.13826
LOC409336	  0.08915
LOC409340	  0.09833
LOC409341	  0.09712
LOC409346	  0.07076
LOC409351	  0.07028
LOC409355	  0.10464
LOC409361	  0.13268
LOC409363	  0.09544
LOC409364	  0.17756
LOC409365	  0.13662
LOC409373	  0.04110
LOC409377	  0.02141
LOC409379	  0.13615
LOC409386	  0.00355
LOC409388	  0.05069
LOC409389	  0.03217
LOC409393	  0.01406
LOC409408	  0.05202
LOC409410	  0.08185
LOC409411	  0.07326
LOC409414	  0.11187
LOC409417	  0.16867
LOC409424	  0.09203
LOC409425	  0.07021
LOC409427	  0.13163
LOC409441	  0.10253
LOC409444	  0.02390
LOC409450	  0.00883
LOC409459	  0.06371
LOC409462	  0.01175
LOC409465	  0.01032
LOC409488	  0.12392
LOC409491	  0.11701
LOC409495	  0.25922
LOC409499	  0.04884
LOC409511	  0.15358
LOC409514	  0.06660
LOC409520	  0.03814
LOC409523	  0.02754
LOC409529	  0.03164
LOC409531	  0.03656
LOC409538	  0.08167
LOC409544	  0.00967
LOC409548	  0.07569
LOC409552	  0.02088
LOC409559	  0.01915
LOC409565	  0.06433
LOC409566	  0.00026
LOC409584	  0.14470
LOC409586	  0.11547
LOC409590	  0.03131
LOC409607	  0.04149
LOC409609	  0.04226
LOC409633	  0.06516
LOC409643	  0.03890
LOC409645	  0.04063
LOC409647	  0.03609
LOC409662	  0.02671
LOC409665	  0.05039
LOC409667	  0.05650
LOC409668	  0.18205
LOC409670	  0.05598
LOC409673	  0.07358
LOC409689	  0.02579
LOC409690	  0.10178
LOC409693	  0.07527
LOC409699	  0.03813
LOC409704	  0.04197
LOC409724	  0.08645
LOC409726	  0.06768
LOC409734	  0.11242
LOC409736	  0.06787
LOC409739	  0.14049
LOC409740	  0.07923
LOC409743	  0.01902
LOC409749	  0.03456
LOC409757	  0.03154
LOC409762	  0.02467
LOC409766	  0.05297
LOC409769	  0.18552
LOC409773	  0.05848
LOC409790	  0.12750
LOC409791	  0.01475
LOC409795	  0.08592
LOC409804	  0.01677
LOC409809	  0.03667
LOC409814	  0.08191
LOC409833	  0.15919
LOC409838	  0.07127
LOC409841	  0.07918
LOC409852	  0.07810
LOC409857	  0.05746
LOC409860	  0.08546
LOC409863	  0.07262
LOC409876	  0.03804
LOC409877	  0.11125
LOC409880	  0.04139
LOC409884	  0.08025
LOC409886	  0.00378
LOC409900	  0.01399
LOC409905	  0.17327
LOC409909	  0.07709
LOC409910	  0.06106
LOC409911	  0.08257
LOC409920	  0.02630
LOC409922	  0.10037
LOC409924	  0.06527
LOC409925	  0.01019
LOC409927	  0.03658
LOC409928	  0.16302
LOC409930	  0.19264
LOC409932	  0.03798
LOC409941	  0.11723
LOC409945	  0.04604
LOC409951	  0.13155
LOC409959	  0.03898
LOC409965	  0.04004
LOC409976	  0.13125
LOC409990	  0.02428
LOC409994	  0.01890
LOC410023	  0.15957
LOC410039	  0.06194
LOC410054	  0.08261
LOC410055	  0.04299
LOC410056	  0.01688
LOC410059	  0.07385
LOC410071	  0.09361
LOC410073	  0.08081
LOC410079	  0.02500
LOC410087	  0.13772
LOC410091	  0.05064
LOC410097	  0.16857
LOC410105	  0.09147
LOC410107	  0.06442
LOC410116	  0.11716
LOC410118	  0.03223
LOC410136	  0.16743
LOC410151	  0.01926
LOC410155	  0.20000
LOC410157	  0.01710
LOC410158	  0.07301
LOC410159	  0.03984
LOC410166	  0.02719
LOC410171	  0.04275
LOC410172	  0.10730
LOC410175	  0.04266
LOC410183	  0.04160
LOC410211	  0.01390
LOC410222	  0.01682
LOC410226	  0.08780
LOC410229	  0.05187
LOC410239	  0.15380
LOC410241	  0.01639
LOC410254	  0.09517
LOC410255	  0.04864
LOC410257	  0.06405
LOC410264	  0.06094
LOC410270	  0.05750
LOC410278	  0.07336
LOC410283	  0.14411
LOC410286	  0.15488
LOC410289	  0.15354
LOC410296	  0.09187
LOC410297	  0.03709
LOC410307	  0.03006
LOC410325	  0.11051
LOC410328	  0.07985
LOC410330	  0.05981
LOC410332	  0.03891
LOC410336	  0.06631
LOC410337	  0.20679
LOC410338	  0.05412
LOC410341	  0.01254
LOC410343	  0.05236
LOC410345	  0.04158
LOC410347	  0.03961
LOC410349	  0.13103
LOC410352	  0.04934
LOC410355	  0.06712
LOC410371	  0.04951
LOC410373	  0.11228
LOC410375	  0.08682
LOC410376	  0.11893
LOC410379	  0.07720
LOC410381	  0.02444
LOC410383	  0.02263
LOC410395	  0.02809
LOC410414	  0.00638
LOC410420	  0.08787
LOC410423	  0.12815
LOC410441	  0.12460
LOC410451	  0.11586
LOC410456	  0.07965
LOC410463	  0.13783
LOC410470	  0.03735
LOC410480	  0.04432
LOC410483	  0.08527
LOC410484	  0.17868
LOC410485	  0.05177
LOC410486	  0.03243
LOC410510	  0.07128
LOC410512	  0.09123
LOC410525	  0.02811
LOC410538	  0.13069
LOC410542	  0.02983
LOC410546	  0.06360
LOC410550	  0.14429
LOC410556	  0.08796
LOC410561	  0.02341
LOC410571	  0.13789
LOC410575	  0.04879
LOC410577	  0.14312
LOC410581	  0.02564
LOC410583	  0.08409
LOC410585	  0.04679
LOC410591	  0.18620
LOC410618	  0.07824
LOC410630	  0.03467
LOC410635	  0.05234
LOC410636	  0.12998
LOC410649	  0.02743
LOC410659	  0.05522
LOC410663	  0.03729
LOC410664	  0.10092
LOC410686	  0.02195
LOC410717	  0.10673
LOC410719	  0.12604
LOC410732	  0.05774
LOC410766	  0.08672
LOC410769	  0.11127
LOC410776	  0.05296
LOC410777	  0.03725
LOC410788	  0.13214
LOC410811	  0.00710
LOC410812	  0.04207
LOC410821	  0.06786
LOC410837	  0.18895
LOC410844	  0.04036
LOC410848	  0.03775
LOC410855	  0.00659
LOC410860	  0.10061
LOC410867	  0.06395
LOC410874	  0.03251
LOC410879	  0.07295
LOC410907	  0.01270
LOC410911	  0.06503
LOC410916	  0.10334
LOC410925	  0.07569
LOC410938	  0.06063
LOC410940	  0.10795
LOC410943	  0.05100
LOC410948	  0.03559
LOC410950	  0.04357
LOC410952	  0.10864
LOC410956	  0.05297
LOC410960	  0.06993
LOC410969	  0.02017
LOC410973	  0.00683
LOC410985	  0.05890
LOC410990	  0.15650
LOC410992	  0.03192
LOC411030	  0.02594
LOC411043	  0.01831
LOC411048	  0.01658
LOC411053	  0.20091
LOC411054	  0.02453
LOC411070	  0.03246
LOC411071	  0.05026
LOC411079	  0.02543
LOC411088	  0.02263
LOC411099	  0.07230
LOC411100	  0.07969
LOC411113	  0.03302
LOC411115	  0.09969
LOC411125	  0.02716
LOC411147	  0.01758
LOC411148	  0.04277
LOC411155	  0.02381
LOC411163	  0.05356
LOC411164	  0.08615
LOC411167	  0.06601
LOC411181	  0.05986
LOC411185	  0.13894
LOC411188	  0.09751
LOC411191	  0.03054
LOC411206	  0.06742
LOC411214	  0.02570
LOC411220	  0.03353
LOC411233	  0.08425
LOC411249	  0.12957
LOC411260	  0.02425
LOC411261	  0.11554
LOC411270	  0.07065
LOC411280	  0.00709
LOC411288	  0.02990
LOC411295	  0.03562
LOC411299	  0.08591
LOC411306	  0.12094
LOC411335	  0.10648
LOC411347	  0.16489
LOC411348	  0.17017
LOC411365	  0.05285
LOC411385	  0.10314
LOC411391	  0.05154
LOC411404	  0.04948
LOC411408	  0.08867
LOC411447	  0.07639
LOC411452	  0.04618
LOC411458	  0.03348
LOC411467	  0.17416
LOC411473	  0.10817
LOC411474	  0.07556
LOC411476	  0.09210
LOC411477	  0.07672
LOC411488	  0.04612
LOC411490	  0.03255
LOC411505	  0.11291
LOC411508	  0.00719
LOC411509	  0.07551
LOC411510	  0.05826
LOC411519	  0.02314
LOC411520	  0.05992
LOC411524	  0.03783
LOC411533	  0.09895
LOC411540	  0.01912
LOC411542	  0.07183
LOC411545	  0.04410
LOC411552	  0.03193
LOC411564	  0.35231
LOC411566	  0.02296
LOC411589	  0.01474
LOC411609	  0.04983
LOC411617	
LOC411618	  0.16390
LOC411633	  0.08592
LOC411637	  0.06393
LOC411639	  0.07834
LOC411649	  0.08058
LOC411654	  0.04303
LOC411665	  0.05238
LOC411683	  0.02127
LOC411698	  0.04918
LOC411699	  0.16808
LOC411704	  0.01035
LOC411715	  0.12533
LOC411719	  0.07241
LOC411722	  0.04589
LOC411724	  0.14959
LOC411730	  0.07990
LOC411731	  0.06739
LOC411732	  0.03958
LOC411739	  0.10662
LOC411753	  0.02808
LOC411789	  0.04399
LOC411794	  0.04495
LOC411799	  0.05549
LOC411806	  0.06958
LOC411807	  0.09819
LOC411820	  0.04379
LOC411828	  0.01144
LOC411839	  0.12623
LOC411850	  0.13606
LOC411852	  0.08311
LOC411856	  0.02721
LOC411861	  0.12438
LOC411863	  0.16146
LOC411865	  0.05175
LOC411875	  0.09409
LOC411879	  0.00373
LOC411882	  0.05906
LOC411890	  0.01835
LOC411892	  0.05843
LOC411903	  0.04901
LOC411904	  0.03061
LOC411905	  0.05044
LOC411906	  0.09225
LOC411915	  0.05363
LOC411922	  0.13519
LOC411923	  0.05868
LOC411937	  0.05081
LOC411947	  0.03915
LOC411955	  0.09440
LOC411972	  0.09642
LOC411974	  0.08484
LOC411980	  0.03971
LOC411982	  0.02658
LOC411983	  0.13485
LOC411985	  0.05631
LOC411989	  0.04003
LOC411995	  0.08444
LOC412003	  0.03650
LOC412005	  0.06221
LOC412010	  0.01138
LOC412017	  0.09582
LOC412018	  0.14189
LOC412024	  0.05396
LOC412025	  0.10011
LOC412027	  0.14204
LOC412030	  0.01194
LOC412035	  0.12329
LOC412046	  0.04456
LOC412064	  0.02055
LOC412069	  0.05008
LOC412074	  0.10995
LOC412079	  0.09395
LOC412082	  0.10075
LOC412092	  0.01026
LOC412094	  0.13335
LOC412097	  0.05190
LOC412099	  0.13607
LOC412103	  0.22513
LOC412108	  0.08084
LOC412111	  0.02701
LOC412115	  0.09948
LOC412116	  0.02001
LOC412119	  0.06713
LOC412125	  0.00762
LOC412128	  0.04748
LOC412129	  0.06085
LOC412148	  0.02366
LOC412150	  0.03690
LOC412160	  0.01901
LOC412167	  0.17335
LOC412176	  0.02272
LOC412177	  0.11382
LOC412195	  0.13430
LOC412198	  0.07966
LOC412199	  0.02720
LOC412200	  0.04863
LOC412219	  0.05946
LOC412227	  0.08910
LOC412232	  0.09302
LOC412235	  0.10323
LOC412245	  0.18450
LOC412247	  0.13779
LOC412256	  0.05270
LOC412259	  0.07277
LOC412263	  0.06961
LOC412267	  0.07724
LOC412274	  0.02540
LOC412276	  0.07433
LOC412277	  0.13294
LOC412278	  0.04893
LOC412282	  0.08175
LOC412286	  0.16805
LOC412287	  0.11187
LOC412294	  0.15330
LOC412302	  0.01280
LOC412303	  0.02581
LOC412305	  0.09351
LOC412308	  0.04587
LOC412313	  0.01318
LOC412323	  0.06366
LOC412328	  0.10106
LOC412332	  0.01727
LOC412339	  0.01366
LOC412346	  0.02887
LOC412348	  0.03124
LOC412366	  0.08742
LOC412372	  0.03815
LOC412378	  0.02841
LOC412379	  0.09124
LOC412401	  0.09282
LOC412406	  0.04571
LOC412407	  0.08545
LOC412410	  0.10111
LOC412422	  0.06794
LOC412423	  0.03004
LOC412439	  0.04877
LOC412449	  0.01970
LOC412452	  0.01928
LOC412453	  0.17525
LOC412456	  0.02468
LOC412464	  0.15105
LOC412467	  0.05988
LOC412470	  0.06176
LOC412475	  0.06547
LOC412488	  0.08344
LOC412505	  0.06040
LOC412526	  0.05302
LOC412536	  0.18645
LOC412540	  0.08684
LOC412547	  0.00490
LOC412552	  0.00780
LOC412554	  0.08206
LOC412563	  0.10845
LOC412573	  0.07190
LOC412578	  0.02522
LOC412580	  0.07343
LOC412589	  0.25573
LOC412591	  0.08310
LOC412593	  0.01829
LOC412598	  0.08437
LOC412601	  0.01804
LOC412606	  0.17973
LOC412608	  0.02634
LOC412611	  0.13704
LOC412612	  0.05078
LOC412613	  0.04633
LOC412619	  0.02110
LOC412623	  0.04350
LOC412624	  0.08464
LOC412630	  0.19078
LOC412636	  0.06063
LOC412644	  0.06866
LOC412647	  0.00924
LOC412655	  0.13361
LOC412670	  0.12516
LOC412675	  0.14437
LOC412687	  0.04384
LOC412690	  0.08398
LOC412707	  0.04794
LOC412727	  0.08183
LOC412735	  0.05649
LOC412739	  0.08215
LOC412746	  0.06667
LOC412748	  0.06890
LOC412750	  0.04329
LOC412762	  0.03609
LOC412764	  0.07046
LOC412767	  0.04612
LOC412788	  0.18539
LOC412795	  0.03775
LOC412804	  0.05538
LOC412810	  0.14319
LOC412816	  0.04381
LOC412843	  0.09116
LOC412851	  0.10141
LOC412855	  0.04243
LOC412870	  0.02187
LOC412876	  0.03819
LOC412878	  0.09923
LOC412883	  0.02587
LOC412889	  0.08536
LOC412897	  0.06240
LOC412931	  0.05664
LOC412933	  0.08774
LOC412941	  0.08074
LOC412943	  0.10483
LOC412950	  0.13512
LOC412955	  0.04324
LOC412956	  0.00991
LOC412959	  0.06459
LOC412975	  0.06438
LOC412979	  0.05352
LOC412984	  0.19683
LOC412986	  0.12942
LOC413001	  0.07968
LOC413006	  0.01718
LOC413011	  0.05429
LOC413020	  0.04899
LOC413030	  0.05216
LOC413032	  0.01558
LOC413052	  0.06279
LOC413054	  0.04860
LOC413065	  0.09848
LOC413071	  0.08332
LOC413074	  0.06388
LOC413087	  0.09739
LOC413101	  0.03516
LOC413106	  0.14464
LOC413110	  0.00681
LOC413119	  0.13004
LOC413126	  0.01990
LOC413133	  0.10270
LOC413147	  0.03666
LOC413152	  0.06913
LOC413153	  0.06601
LOC413166	  0.13018
LOC413179	  0.01823
LOC413186	  0.18719
LOC413189	  0.08521
LOC413194	  0.15231
LOC413196	  0.04116
LOC413204	  0.05325
LOC413208	  0.07736
LOC413228	  0.06395
LOC413233	  0.11733
LOC413240	  0.01602
LOC413242	  0.01668
LOC413246	  0.09362
LOC413250	  0.05204
LOC413255	  0.06287
LOC413270	  0.09157
LOC413271	  0.10712
LOC413275	  0.05505
LOC413278	  0.04533
LOC413279	  0.05741
LOC413297	  0.04398
LOC413305	  0.16364
LOC413309	  0.07469
LOC413311	  0.17829
LOC413336	  0.07241
LOC413354	  0.00783
LOC413356	  0.03683
LOC413357	  0.03433
LOC413365	  0.03389
LOC413369	  0.09999
LOC413383	  0.08406
LOC413389	  0.04951
LOC413394	  0.04555
LOC413398	  0.16650
LOC413408	  0.09063
LOC413411	  0.08734
LOC413427	  0.05367
LOC413430	  0.02923
LOC413439	  0.10686
LOC413440	  0.04020
LOC413448	  0.03244
LOC413460	  0.05525
LOC413464	  0.01433
LOC413481	  0.04482
LOC413489	  0.15961
LOC413490	  0.12532
LOC413495	  0.01455
LOC413501	  0.02827
LOC413510	  0.08095
LOC413517	  0.07354
LOC413520	  0.02453
LOC413529	  0.09275
LOC413533	  0.11802
LOC413534	  0.15251
LOC413542	  0.17403
LOC413544	  0.02455
LOC413557	  0.17295
LOC413567	  0.13316
LOC413573	  0.01630
LOC413575	  0.18935
LOC413576	  0.12315
LOC413579	  0.04129
LOC413583	  0.10629
LOC413592	  0.06789
LOC413601	  0.13664
LOC413607	  0.08169
LOC413614	  0.00258
LOC413619	  0.01758
LOC413627	  0.12431
LOC413643	  0.04716
LOC413652	  0.03084
LOC413660	  0.06975
LOC413668	  0.10924
LOC413672	  0.08238
LOC413678	  0.18969
