TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0072525", "pyridine-containing compound biosynthetic process", 0.468, 4.495, -3.858, 5.023, -1.445, 0.867, 0.224, -1, False
"GO:0019359", "nicotinamide nucleotide biosynthetic process", 0.326, null, null, 4.866, -1.534, 0.762, 0.948, 72525, True
"GO:0019363", "pyridine nucleotide biosynthetic process", 0.328, null, null, 4.869, -1.534, 0.762, 0.976, 72525, True
"GO:0015748", "organophosphate ester transport", 0.182, 1.763, 6.436, 4.611, -1.395, 0.943, 0.234, -1, False
"GO:0035291", "specification of segmental identity, intercalary segment", 0.000, -6.641, 0.994, 0.301, -2.642, 0.780, 0.286, -1, False
"GO:0007318", "pole plasm protein localization", 0.000, null, null, 1.778, -1.646, 0.649, 0.620, 35291, True
"GO:0048469", "cell maturation", 0.040, null, null, 3.957, -1.366, 0.674, 0.731, 35291, True
"GO:0035289", "posterior head segmentation", 0.000, null, null, 1.613, -1.606, 0.750, 0.829, 35291, True
"GO:0071695", "anatomical structure maturation", 0.052, null, null, 4.068, -1.356, 0.707, 0.962, 35291, True
"GO:0006266", "DNA ligation", 0.107, 5.335, -3.838, 4.381, -2.166, 0.905, 0.296, -1, False
"GO:0045175", "basal protein localization", 0.000, -1.632, 7.334, 1.756, -1.606, 0.945, 0.301, -1, False
"GO:0046835", "carbohydrate phosphorylation", 0.285, -0.013, -7.367, 4.807, -1.692, 0.865, 0.301, -1, False
"GO:0042387", "plasmatocyte differentiation", 0.000, -6.651, -1.760, 1.892, -1.502, 0.740, 0.308, -1, False
"GO:0035171", "lamellocyte differentiation", 0.000, null, null, 1.491, -1.534, 0.696, 0.903, 42387, True
"GO:0035168", "larval lymph gland hemocyte differentiation", 0.000, null, null, 1.898, -1.419, 0.685, 0.938, 42387, True
"GO:0018107", "peptidyl-threonine phosphorylation", 0.019, 0.782, -6.542, 3.637, -1.473, 0.882, 0.317, -1, False
"GO:0009608", "response to symbiont", 0.001, 5.367, 3.254, 2.447, -2.042, 0.967, 0.331, -1, False
"GO:0043113", "receptor clustering", 0.008, -0.201, 6.761, 3.277, -1.866, 0.915, 0.357, -1, False
"GO:0016070", "RNA metabolic process", 8.111, 4.514, -4.274, 6.261, -1.371, 0.861, 0.362, -1, False
"GO:0021700", "developmental maturation", 0.061, -7.308, -1.190, 4.136, -2.143, 0.723, 0.392, -1, False
"GO:0051668", "localization within membrane", 0.013, -1.052, 5.901, 3.469, -1.606, 0.939, 0.400, -1, False
"GO:0030714", "anterior/posterior axis specification, follicular epithelium", 0.000, -6.914, 0.197, 0.602, -2.342, 0.717, 0.400, -1, False
"GO:0045476", "nurse cell apoptotic process", 0.000, null, null, 1.908, -1.419, 0.735, 0.552, 30714, True
"GO:0048056", "R3/R4 cell differentiation", 0.000, -6.831, -0.724, 1.949, -1.534, 0.702, 0.406, -1, False
"GO:0016358", "dendrite development", 0.021, null, null, 3.684, -1.501, 0.626, 0.563, 48056, True
"GO:0007416", "synapse assembly", 0.018, null, null, 3.601, -1.394, 0.644, 0.608, 48056, True
"GO:0016199", "axon midline choice point recognition", 0.004, null, null, 2.906, -1.395, 0.625, 0.677, 48056, True
"GO:0048813", "dendrite morphogenesis", 0.012, null, null, 3.445, -1.554, 0.629, 0.725, 48056, True
"GO:0051124", "synaptic growth at neuromuscular junction", 0.002, null, null, 2.545, -1.527, 0.680, 0.766, 48056, True
"GO:0007464", "R3/R4 cell fate commitment", 0.000, null, null, 1.813, -1.568, 0.662, 0.787, 48056, True
"GO:0045467", "R7 cell development", 0.000, null, null, 1.881, -1.372, 0.699, 0.792, 48056, True
"GO:0031175", "neuron projection development", 0.177, null, null, 4.601, -1.337, 0.587, 0.821, 48056, True
"GO:0007528", "neuromuscular junction development", 0.011, null, null, 3.385, -1.366, 0.898, 0.837, 48056, True
"GO:0016198", "axon choice point recognition", 0.004, null, null, 2.961, -1.372, 0.623, 0.882, 48056, True
"GO:0018210", "peptidyl-threonine modification", 0.021, -2.062, -5.367, 3.677, -1.445, 0.955, 0.410, -1, False
"GO:0046939", "nucleotide phosphorylation", 0.625, 0.510, -7.298, 5.148, -1.419, 0.858, 0.418, -1, False
"GO:0010876", "lipid localization", 0.428, 0.007, 7.005, 4.984, -1.855, 0.920, 0.430, -1, False
"GO:0034204", "lipid translocation", 0.082, null, null, 4.267, -1.800, 0.762, 0.509, 10876, True
"GO:0048194", "Golgi vesicle budding", 0.003, null, null, 2.754, -1.606, 0.861, 0.585, 10876, True
"GO:0097035", "regulation of membrane lipid distribution", 0.085, null, null, 4.281, -1.692, 0.817, 0.731, 10876, True
"GO:0006900", "vesicle budding from membrane", 0.046, null, null, 4.011, -1.445, 0.842, 0.740, 10876, True
"GO:0015914", "phospholipid transport", 0.119, null, null, 4.428, -1.606, 0.910, 0.794, 10876, True
"GO:0045332", "phospholipid translocation", 0.033, null, null, 3.871, -1.866, 0.772, 0.935, 10876, True
"GO:1902742", "apoptotic process involved in development", 0.006, -6.453, -0.771, 3.097, -1.372, 0.741, 0.432, -1, False
"GO:0007552", "metamorphosis", 0.013, -7.464, -0.215, 3.468, -1.325, 0.725, 0.454, -1, False
"GO:0051156", "glucose 6-phosphate metabolic process", 0.254, 0.105, -6.907, 4.757, -1.945, 0.824, 0.456, -1, False
"GO:0009629", "response to gravity", 0.015, 5.711, 2.285, 3.540, -1.310, 0.968, 0.473, -1, False
"GO:0001708", "cell fate specification", 0.027, -7.443, -0.833, 3.786, -1.954, 0.687, 0.475, -1, False
"GO:0045165", "cell fate commitment", 0.075, null, null, 4.226, -1.736, 0.689, 0.591, 1708, True
"GO:0045196", "establishment or maintenance of neuroblast polarity", 0.001, null, null, 2.220, -1.395, 0.680, 0.718, 1708, True
"GO:0045167", "asymmetric protein localization involved in cell fate determination", 0.001, null, null, 2.267, -1.395, 0.686, 0.722, 1708, True
"GO:0042694", "muscle cell fate specification", 0.001, null, null, 2.274, -1.800, 0.722, 0.723, 1708, True
"GO:0042693", "muscle cell fate commitment", 0.003, null, null, 2.822, -1.534, 0.707, 0.772, 1708, True
"GO:0031099", "regeneration", 0.030, -7.150, -1.050, 3.833, -1.372, 0.726, 0.479, -1, False
"GO:0046434", "organophosphate catabolic process", 0.516, -0.627, -7.282, 5.065, -1.310, 0.811, 0.487, -1, False
"GO:0016332", "establishment or maintenance of polarity of embryonic epithelium", 0.000, -6.958, 0.556, 1.643, -1.743, 0.709, 0.495, -1, False
"GO:0009792", "embryo development ending in birth or egg hatching", 0.160, null, null, 4.556, -1.356, 0.677, 0.590, 16332, True
"GO:0001738", "morphogenesis of a polarized epithelium", 0.014, null, null, 3.493, -1.690, 0.698, 0.599, 16332, True
"GO:0000132", "establishment of mitotic spindle orientation", 0.014, null, null, 3.485, -1.419, 0.804, 0.650, 16332, True
"GO:0001700", "embryonic development via the syncytial blastoderm", 0.005, null, null, 3.011, -1.394, 0.728, 0.704, 16332, True
"GO:0060562", "epithelial tube morphogenesis", 0.084, null, null, 4.277, -1.352, 0.664, 0.828, 16332, True
"GO:0051294", "establishment of spindle orientation", 0.015, null, null, 3.521, -1.329, 0.805, 0.968, 16332, True
"GO:0040001", "establishment of mitotic spindle localization", 0.016, null, null, 3.564, -1.310, 0.848, 0.978, 16332, True
"GO:0042332", "gravitaxis", 0.001, 5.976, 2.333, 2.199, -1.310, 0.958, 0.495, -1, False
