TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0046889", "positive regulation of lipid biosynthetic process", 0.016, null, null, 3.561, -1.328, 0.651, 0.859, 50810, True
"GO:0010893", "positive regulation of steroid biosynthetic process", 0.003, null, null, 2.865, -1.761, 0.653, 0.901, 50810, True
"GO:0045940", "positive regulation of steroid metabolic process", 0.004, null, null, 2.991, -1.761, 0.660, 0.915, 50810, True
"GO:0016199", "axon midline choice point recognition", 0.004, 5.083, -1.243, 2.906, -2.573, 0.867, 0.244, -1, False
"GO:0007414", "axonal defasciculation", 0.000, null, null, 1.929, -1.368, 0.882, 0.790, 16199, True
"GO:0046012", "positive regulation of oskar mRNA translation", 0.000, -7.479, 0.223, 0.699, -1.885, 0.797, 0.255, -1, False
"GO:0007528", "neuromuscular junction development", 0.011, 5.022, -4.395, 3.385, -1.594, 0.937, 0.259, -1, False
"GO:0034476", "U5 snRNA 3'-end processing", 0.003, 0.774, -6.889, 2.890, -2.060, 0.768, 0.261, -1, False
"GO:0000467", "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)", 0.009, null, null, 3.298, -1.885, 0.709, 0.735, 34476, True
"GO:0031125", "rRNA 3'-end processing", 0.010, null, null, 3.349, -1.586, 0.722, 0.777, 34476, True
"GO:0034473", "U1 snRNA 3'-end processing", 0.003, null, null, 2.787, -2.060, 0.771, 0.822, 34476, True
"GO:0000459", "exonucleolytic trimming involved in rRNA processing", 0.010, null, null, 3.342, -1.885, 0.746, 0.833, 34476, True
"GO:0034475", "U4 snRNA 3'-end processing", 0.007, null, null, 3.175, -1.761, 0.761, 0.858, 34476, True
"GO:0000466", "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)", 0.048, null, null, 4.037, -1.328, 0.725, 0.885, 34476, True
"GO:1905062", "positive regulation of cardioblast proliferation", 0.000, -6.282, 3.686, 1.643, -2.360, 0.822, 0.276, -1, False
"GO:0110154", "RNA decapping", 0.035, 0.241, -6.657, 3.896, -1.463, 0.824, 0.300, -1, False
"GO:0006829", "zinc ion transport", 0.046, 0.910, 6.468, 4.019, -1.368, 0.946, 0.349, -1, False
"GO:0022611", "dormancy process", 0.002, 4.800, 0.696, 2.744, -1.665, 0.957, 0.356, -1, False
"GO:0007616", "long-term memory", 0.006, 6.377, -0.766, 3.155, -1.558, 0.957, 0.363, -1, False
"GO:1902414", "protein localization to cell junction", 0.016, 3.242, 4.708, 3.548, -1.413, 0.952, 0.376, -1, False
"GO:0007586", "digestion", 0.020, 6.498, -0.139, 3.660, -1.328, 0.955, 0.398, -1, False
"GO:0006417", "regulation of translation", 1.450, -6.125, -1.753, 5.513, -1.329, 0.764, 0.421, -1, False
"GO:0002092", "positive regulation of receptor internalization", 0.004, -6.460, 0.871, 3.002, -2.360, 0.700, 0.459, -1, False
"GO:0000389", "mRNA 3'-splice site recognition", 0.001, 1.848, -5.680, 2.415, -1.885, 0.758, 0.473, -1, False
"GO:0006376", "mRNA splice site selection", 0.022, null, null, 3.689, -1.463, 0.724, 0.773, 389, True
"GO:0045450", "bicoid mRNA localization", 0.001, 4.702, 2.136, 2.270, -1.413, 0.884, 0.485, -1, False
"GO:0007318", "pole plasm protein localization", 0.000, null, null, 1.778, -1.368, 0.837, 0.845, 45450, True
"GO:0046011", "regulation of oskar mRNA translation", 0.000, -5.969, -4.491, 1.799, -1.413, 0.845, 0.489, -1, False
"GO:0048863", "stem cell differentiation", 0.042, 4.507, 0.720, 3.976, -1.457, 0.941, 0.506, -1, False
"GO:0016078", "tRNA catabolic process", 0.000, -0.883, -7.134, 2.000, -1.665, 0.721, 0.542, -1, False
"GO:0090278", "negative regulation of peptide hormone secretion", 0.007, -4.431, -0.615, 3.181, -1.761, 0.619, 0.543, -1, False
"GO:0051048", "negative regulation of secretion", 0.023, null, null, 3.706, -1.328, 0.738, 0.802, 90278, True
"GO:0090276", "regulation of peptide hormone secretion", 0.032, null, null, 3.855, -1.413, 0.638, 0.883, 90278, True
"GO:0046888", "negative regulation of hormone secretion", 0.009, null, null, 3.304, -1.761, 0.614, 0.899, 90278, True
"GO:0002792", "negative regulation of peptide secretion", 0.012, null, null, 3.441, -1.520, 0.735, 0.916, 90278, True
"GO:1903531", "negative regulation of secretion by cell", 0.020, null, null, 3.656, -1.368, 0.727, 0.958, 90278, True
"GO:0051965", "positive regulation of synapse assembly", 0.011, -5.686, 1.836, 3.403, -2.027, 0.719, 0.601, -1, False
"GO:0032352", "positive regulation of hormone metabolic process", 0.002, -5.636, 0.806, 2.673, -1.761, 0.624, 0.619, -1, False
"GO:0007553", "regulation of ecdysteroid metabolic process", 0.000, null, null, 1.699, -1.665, 0.616, 0.798, 32352, True
"GO:0046886", "positive regulation of hormone biosynthetic process", 0.001, null, null, 2.515, -1.761, 0.616, 0.867, 32352, True
"GO:0045998", "positive regulation of ecdysteroid biosynthetic process", 0.000, null, null, 1.643, -1.761, 0.573, 0.887, 32352, True
"GO:0046885", "regulation of hormone biosynthetic process", 0.005, null, null, 3.021, -1.665, 0.652, 0.916, 32352, True
"GO:0090030", "regulation of steroid hormone biosynthetic process", 0.003, null, null, 2.760, -1.761, 0.594, 0.925, 32352, True
"GO:0090031", "positive regulation of steroid hormone biosynthetic process", 0.001, null, null, 2.182, -1.761, 0.579, 0.935, 32352, True
"GO:0007554", "regulation of ecdysteroid biosynthetic process", 0.000, null, null, 1.643, -1.761, 0.602, 0.990, 32352, True
"GO:0045966", "positive regulation of ecdysteroid metabolic process", 0.000, null, null, 1.643, -1.761, 0.575, 0.990, 32352, True
"GO:0048582", "positive regulation of post-embryonic development", 0.006, -6.203, 2.770, 3.150, -1.761, 0.788, 0.641, -1, False
"GO:0071027", "nuclear RNA surveillance", 0.013, -0.705, -6.777, 3.469, -1.413, 0.679, 0.654, -1, False
"GO:0071577", "zinc ion transmembrane transport", 0.027, 0.610, 6.496, 3.790, -1.368, 0.943, 0.656, -1, False
"GO:0071042", "nuclear polyadenylation-dependent mRNA catabolic process", 0.003, -2.595, -4.966, 2.805, -2.060, 0.556, 0.660, -1, False
"GO:0071038", "nuclear polyadenylation-dependent tRNA catabolic process", 0.007, null, null, 3.211, -1.885, 0.644, 0.928, 71042, True
"GO:0071029", "nuclear ncRNA surveillance", 0.009, null, null, 3.286, -1.885, 0.656, 0.946, 71042, True
"GO:0071028", "nuclear mRNA surveillance", 0.011, null, null, 3.407, -1.586, 0.521, 0.969, 71042, True
"GO:0071035", "nuclear polyadenylation-dependent rRNA catabolic process", 0.008, null, null, 3.268, -1.885, 0.631, 0.989, 71042, True
"GO:0043634", "polyadenylation-dependent ncRNA catabolic process", 0.009, null, null, 3.288, -1.761, 0.660, 0.989, 71042, True
"GO:0071046", "nuclear polyadenylation-dependent ncRNA catabolic process", 0.009, null, null, 3.285, -1.885, 0.641, 0.998, 71042, True
"GO:0032350", "regulation of hormone metabolic process", 0.007, -5.172, -1.129, 3.227, -1.586, 0.696, 0.660, -1, False
"GO:0071025", "RNA surveillance", 0.022, -0.899, -6.823, 3.692, -1.413, 0.706, 0.675, -1, False
"GO:0030072", "peptide hormone secretion", 0.012, -2.041, 3.323, 3.446, -1.413, 0.678, 0.682, -1, False
"GO:0010606", "positive regulation of cytoplasmic mRNA processing body assembly", 0.004, -6.581, 2.512, 2.905, -2.060, 0.780, 0.682, -1, False
